sod,sat,const,alfa_ppp,beta_ppp,alfa_ind,beta_ind,coeff_ok,PPP_PIF,ind_PIF,PIF_diff_mm,PPP_LIF,ind_LIF,LIF_diff_mm,PASS
90.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20073243.1384,20073243.1384,0.0000,20073245.8105,20073245.8105,0.0000,1
90.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21840826.9678,21840826.9678,0.0000,21840831.8618,21840831.8618,0.0000,1
90.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23462715.0301,23462715.0301,0.0000,23462725.9068,23462725.9068,0.0000,1
90.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23144568.9842,23144568.9842,0.0000,23144579.9710,23144579.9710,0.0000,1
120.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26401339.8138,26401339.8138,0.0000,26401355.9685,26401355.9685,0.0000,1
120.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26838982.6955,26838982.6955,0.0000,26838988.0447,26838988.0447,0.0000,1
120.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25043110.0201,25043110.0201,0.0000,25043115.1978,25043115.1978,0.0000,1
120.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23782286.9489,23782286.9489,0.0000,23782293.6763,23782293.6763,0.0000,1
120.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23115368.1471,23115368.1471,0.0000,23115373.1626,23115373.1626,0.0000,1
120.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20564286.0751,20564286.0751,0.0000,20564288.7310,20564288.7310,0.0000,1
120.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23118387.7379,23118387.7379,0.0000,23118391.6758,23118391.6758,0.0000,1
120.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23907676.5218,23907676.5218,0.0000,23907668.9193,23907668.9193,0.0000,1
120.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20073691.0776,20073691.0776,0.0000,20073695.3748,20073695.3748,0.0000,1
120.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21856098.1770,21856098.1770,0.0000,21856101.7827,21856101.7827,0.0000,1
120.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23451205.6044,23451205.6044,0.0000,23451220.7869,23451220.7869,0.0000,1
120.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23158057.7260,23158057.7260,0.0000,23158069.6239,23158069.6239,0.0000,1
150.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26403047.4924,26403047.4924,0.0000,26403064.0938,26403064.0938,0.0000,1
150.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26831858.4986,26831858.4986,0.0000,26831863.7796,26831863.7796,0.0000,1
150.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25039061.3074,25039061.3074,0.0000,25039066.2843,25039066.2843,0.0000,1
150.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23773714.3184,23773714.3184,0.0000,23773720.5727,23773720.5727,0.0000,1
150.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23124179.8139,23124179.8139,0.0000,23124183.1946,23124183.1946,0.0000,1
150.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20557249.3094,20557249.3094,0.0000,20557252.8103,20557252.8103,0.0000,1
150.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23106896.1358,23106896.1358,0.0000,23106899.3525,23106899.3525,0.0000,1
150.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23894562.0934,23894562.0934,0.0000,23894560.8571,23894560.8571,0.0000,1
150.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20074262.2906,20074262.2906,0.0000,20074266.1116,20074266.1116,0.0000,1
150.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21871439.1083,21871439.1083,0.0000,21871443.2151,21871443.2151,0.0000,1
150.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23439697.3001,23439697.3001,0.0000,23439710.8585,23439710.8585,0.0000,1
150.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23171531.9037,23171531.9037,0.0000,23171542.9356,23171542.9356,0.0000,1
180.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26404770.8357,26404770.8357,0.0000,26404786.3603,26404786.3603,0.0000,1
180.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26824706.2851,26824706.2851,0.0000,26824712.2597,26824712.2597,0.0000,1
180.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25035003.3282,25035003.3282,0.0000,25035007.6636,25035007.6636,0.0000,1
180.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23765204.4917,23765204.4917,0.0000,23765210.4208,23765210.4208,0.0000,1
180.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23133008.3240,23133008.3240,0.0000,23133011.6491,23133011.6491,0.0000,1
180.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20550318.4567,20550318.4567,0.0000,20550322.5930,20550322.5930,0.0000,1
180.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23095382.4830,23095382.4830,0.0000,23095387.5156,23095387.5156,0.0000,1
180.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23881417.5079,23881417.5079,0.0000,23881417.7052,23881417.7052,0.0000,1
180.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20074956.3432,20074956.3432,0.0000,20074959.2323,20074959.2323,0.0000,1
180.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21886852.2313,21886852.2313,0.0000,21886856.7676,21886856.7676,0.0000,1
180.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23428186.5001,23428186.5001,0.0000,23428197.7758,23428197.7758,0.0000,1
180.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23184988.7893,23184988.7893,0.0000,23185000.7930,23185000.7930,0.0000,1
210.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26406506.9345,26406506.9345,0.0000,26406522.2389,26406522.2389,0.0000,1
210.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26817525.5123,26817525.5123,0.0000,26817532.6746,26817532.6746,0.0000,1
210.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25030934.0468,25030934.0468,0.0000,25030938.7267,25030938.7267,0.0000,1
210.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23756755.9306,23756755.9306,0.0000,23756762.6894,23756762.6894,0.0000,1
210.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23141852.8376,23141852.8376,0.0000,23141857.2213,23141857.2213,0.0000,1
210.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20543493.9822,20543493.9822,0.0000,20543497.5709,20543497.5709,0.0000,1
210.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23083852.5085,23083852.5085,0.0000,23083855.5664,23083855.5664,0.0000,1
210.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23868241.4104,23868241.4104,0.0000,23868239.0490,23868239.0490,0.0000,1
210.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20075770.5698,20075770.5698,0.0000,20075773.8845,20075773.8845,0.0000,1
210.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21902336.7881,21902336.7881,0.0000,21902341.1268,21902341.1268,0.0000,1
210.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23416669.6923,23416669.6923,0.0000,23416681.2754,23416681.2754,0.0000,1
210.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23198429.6341,23198429.6341,0.0000,23198442.1671,23198442.1671,0.0000,1
240.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26408256.6653,26408256.6653,0.0000,26408272.5565,26408272.5565,0.0000,1
