sod,sat,const,phase_cycles_L1,phase_cycles_L2,lambda1,lambda2,PPP_phase_range_L1,PPP_phase_range_L2,independent_phase_range_L1,independent_phase_range_L2,difference_L1_mm,difference_L2_mm,PASS
180.0,G08,G,125497715.9810,97790437.5650,0.190293673,0.244210213,23881421.3018,23881423.6286,23881421.3018,23881423.6286,0.0000,0.0000,1
180.0,G16,G,105494634.5500,82203617.2630,0.190293673,0.244210213,20074961.4690,20074962.9161,20074961.4690,20074962.9161,0.0000,0.0000,1
180.0,G26,G,115016248.8370,89623071.3210,0.190293673,0.244210213,21886864.4227,21886869.3751,21886864.4227,21886869.3751,0.0000,0.0000,1
180.0,G27,G,123115988.9000,95934526.0290,0.190293673,0.244210213,23428193.7080,23428191.0763,23428193.7080,23428191.0763,0.0000,0.0000,1
180.0,G31,G,121837998.4450,94938698.5440,0.190293673,0.244210213,23185000.2105,23184999.8337,23185000.2105,23184999.8337,0.0000,0.0000,1
210.0,E04,E,138767248.0310,103624914.9660,0.190293673,0.254828049,26406529.2919,26406534.8869,26406529.2919,26406534.8869,0.0000,0.0000,1
210.0,E05,E,140927057.3960,105237721.0860,0.190293673,0.254828049,26817527.3486,26817523.1235,26817527.3486,26817523.1235,0.0000,0.0000,1
210.0,E09,E,131538533.5350,98226864.1410,0.190293673,0.254828049,25030950.6609,25030960.1279,25030950.6609,25030960.1279,0.0000,0.0000,1
210.0,E16,E,124842608.6480,93226610.3660,0.190293673,0.254828049,23756758.5214,23756755.2150,23756758.5214,23756755.2150,0.0000,0.0000,1
210.0,G01,G,121611259.5140,94762009.8180,0.190293673,0.244210213,23141853.2266,23141850.6422,23141853.2266,23141850.6422,0.0000,0.0000,1
210.0,G03,G,107956811.1990,84122191.9640,0.190293673,0.244210213,20543498.1067,20543498.4533,20543498.1067,20543498.4533,0.0000,0.0000,1
210.0,G04,G,121306479.8460,94524529.7970,0.190293673,0.244210213,23083855.5841,23083855.5956,23083855.5841,23083855.5956,0.0000,0.0000,1
210.0,G08,G,125428461.7960,97736473.3260,0.190293673,0.244210213,23868242.6686,23868245.0103,23868242.6686,23868245.0103,0.0000,0.0000,1
210.0,G16,G,105498915.5780,82206953.1300,0.190293673,0.244210213,20075776.1216,20075777.5689,20075776.1216,20075777.5689,0.0000,0.0000,1
210.0,G26,G,115097619.6910,89686477.1800,0.190293673,0.244210213,21902348.7813,21902353.7334,21902348.7813,21902353.7334,0.0000,0.0000,1
