SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
1170.0,FWD,1337935.3194,6070317.7176,1427878.1934,1337935.5599,6070317.2377,1427877.5071,-240.529,+479.875,+686.290,+338.180,+574.721,+560.765,871.279,10,2,0,2.0909,0.1197,2.2105,1814.15,3235.734
1200.0,FWD,1337935.3073,6070317.6611,1427878.1960,1337935.5599,6070317.2377,1427877.5071,-252.640,+423.382,+688.937,+337.847,+590.317,+505.073,847.180,10,2,0,2.0909,0.1197,2.2105,3525.05,3052.104
1230.0,FWD,1337935.2782,6070317.6200,1427878.2055,1337935.5599,6070317.2377,1427877.5071,-281.735,+382.348,+698.391,+357.428,+609.968,+462.059,844.580,10,2,0,2.0909,0.1197,2.2105,1312.35,3216.327
1260.0,FWD,1337935.2910,6070317.6209,1427878.2248,1337935.5599,6070317.2377,1427877.5071,-268.928,+383.207,+717.690,+345.106,+627.960,+469.910,856.883,10,2,0,2.0909,0.1197,2.2106,1799.00,3222.110
1290.0,FWD,1337935.3221,6070317.6277,1427878.2388,1337935.5599,6070317.2377,1427877.5071,-237.833,+389.951,+731.698,+316.192,+638.616,+486.004,862.559,10,2,0,2.0909,0.1197,2.2106,1409.50,3065.021
1320.0,FWD,1337935.2861,6070317.5886,1427878.2388,1337935.5599,6070317.2377,1427877.5071,-273.767,+350.881,+731.684,+342.874,+648.943,+441.292,856.404,10,2,0,2.0909,0.1197,2.2106,1661.11,3254.042
1350.0,FWD,1337935.2856,6070317.5591,1427878.2229,1337935.5599,6070317.2377,1427877.5071,-274.322,+321.406,+715.846,+337.072,+640.024,+409.563,831.258,10,2,0,2.0909,0.1197,2.2106,1298.55,3089.675
1380.0,FWD,1337935.3076,6070317.5489,1427878.2199,1337935.5599,6070317.2377,1427877.5071,-252.349,+311.248,+712.821,+313.428,+638.246,+403.825,817.722,10,2,0,2.0909,0.1197,2.2106,1453.18,3101.746
1410.0,FWD,1337935.3430,6070317.5453,1427878.2229,1337935.5599,6070317.2377,1427877.5071,-216.861,+307.628,+715.830,+277.992,+640.253,+408.501,808.750,10,2,0,2.0909,0.1197,2.2106,1700.75,3055.531
1440.0,FWD,1337935.3763,6070317.5197,1427878.2544,1337935.5599,6070317.2377,1427877.5071,-183.592,+281.991,+747.288,+239.984,+674.930,+398.173,819.552,10,2,0,2.0909,0.1197,2.2106,1960.14,3060.322
1470.0,FWD,1337935.3873,6070317.5699,1427878.2553,1337935.5599,6070317.2377,1427877.5071,-172.588,+332.229,+748.189,+240.052,+664.220,+448.482,836.630,9,2,0,2.0909,0.1197,2.2106,1702.55,3231.960
1500.0,FWD,1337935.4200,6070317.5946,1427878.2327,1337935.5599,6070317.2377,1427877.5071,-139.929,+356.929,+725.589,+213.475,+635.182,+473.740,820.645,9,2,0,2.0909,0.1197,2.2106,2424.15,3234.977
1530.0,FWD,1337935.4412,6070317.5448,1427878.1973,1337935.5599,6070317.2377,1427877.5071,-118.705,+307.101,+690.248,+182.023,+610.685,+422.819,764.751,9,2,0,2.0909,0.1197,2.2106,1929.66,3213.852
1560.0,FWD,1337935.4418,6070317.5603,1427878.1959,1337935.5599,6070317.2377,1427877.5071,-118.059,+322.621,+688.814,+184.733,+605.841,+437.398,769.732,9,2,0,2.0909,0.1197,2.2106,581.69,3214.854
1590.0,FWD,1337935.4469,6070317.5663,1427878.1806,1337935.5599,6070317.2377,1427877.5071,-112.999,+328.604,+673.502,+181.080,+589.362,+440.701,757.862,9,2,0,2.0909,0.1197,2.2106,1467.67,3234.607
1620.0,FWD,1337935.4224,6070317.5438,1427878.1614,1337935.5599,6070317.2377,1427877.5071,-137.539,+306.119,+654.323,+200.204,+576.813,+409.841,735.367,9,2,0,2.0909,0.1198,2.2106,1749.43,3196.300
1650.0,FWD,1337935.4132,6070317.5277,1427878.1531,1337935.5599,6070317.2377,1427877.5071,-146.705,+290.049,+645.991,+205.697,+572.676,+390.751,723.157,9,2,0,2.0909,0.1198,2.2106,1829.87,3187.978
1680.0,FWD,1337935.4132,6070317.4899,1427878.1465,1337935.5599,6070317.2377,1427877.5071,-146.681,+252.225,+639.390,+197.531,+574.565,+353.282,702.817,9,2,0,2.0909,0.1198,2.2106,1502.25,3180.400
1710.0,FWD,1337935.3962,6070317.4786,1427878.1358,1337935.5599,6070317.2377,1427877.5071,-163.721,+240.921,+628.669,+211.739,+567.434,+336.537,692.872,9,2,0,2.0909,0.1198,2.2106,3034.58,3172.194
1740.0,FWD,1337935.3846,6070317.5217,1427878.1459,1337935.5599,6070317.2377,1427877.5071,-175.350,+284.028,+638.799,+232.374,+568.383,+377.396,720.752,9,2,0,2.0909,0.1198,2.2106,1534.90,3403.546
1770.0,FWD,1337935.3968,6070317.5594,1427878.1500,1337935.5599,6070317.2377,1427877.5071,-163.118,+321.738,+642.938,+228.546,+563.524,+416.772,737.219,9,2,0,2.0909,0.1198,2.2106,2759.04,3535.158
1800.0,FWD,1337935.4347,6070317.5832,1427878.1554,1337935.5599,6070317.2377,1427877.5071,-125.249,+345.466,+648.303,+196.671,+561.694,+448.499,745.205,10,2,0,2.0909,0.1198,2.2106,2635.88,3226.514
1830.0,FWD,1337935.4464,6070317.5692,1427878.1780,1337935.5599,6070317.2377,1427877.5071,-113.493,+331.545,+670.907,+182.195,+586.210,+442.811,756.914,10,2,0,2.0909,0.1198,2.2106,1922.21,3076.569
1860.0,FWD,1337935.4470,6070317.5509,1427878.1854,1337935.5599,6070317.2377,1427877.5071,-112.883,+313.155,+678.315,+177.641,+597.444,+427.111,755.592,10,2,0,2.0909,0.1198,2.2106,2523.55,1677.880
1890.0,FWD,1337935.4433,6070317.5121,1427878.1717,1337935.5599,6070317.2377,1427877.5071,-116.649,+274.362,+664.555,+172.969,+592.756,+386.312,728.364,10,2,0,2.0909,0.1198,2.2106,1815.54,1654.898
1920.0,FWD,1337935.4233,6070317.4926,1427878.1737,1337935.5599,6070317.2377,1427877.5071,-136.634,+254.880,+666.623,+188.291,+600.027,+364.050,726.649,9,2,0,2.0909,0.1198,2.2106,1150.06,1725.193
1950.0,FWD,1337935.4243,6070317.4793,1427878.1729,1337935.5599,6070317.2377,1427877.5071,-135.573,+241.616,+665.820,+184.401,+602.112,+351.472,721.162,8,2,0,2.0909,0.1198,2.2106,826.13,1344.452
1980.0,FWD,1337935.4243,6070317.4841,1427878.1601,1337935.5599,6070317.2377,1427877.5071,-135.623,+246.399,+652.982,+185.479,+588.553,+353.119,710.979,8,2,0,2.0909,0.1198,2.2106,1333.84,1428.529
2010.0,FWD,1337935.4264,6070317.4789,1427878.1543,1337935.5599,6070317.2377,1427877.5071,-133.535,+241.225,+647.242,+182.327,+583.998,+347.341,703.522,8,2,0,2.0909,0.1198,2.2106,1207.18,1665.027
