epoch,sat_id,state_index,active,observable,lifecycle_state,lineage_id,generation,parent_lineage_id,sigma_mm,resets,accepts,rejects,born_epoch,lifetime_epochs,rejection_streak,acceptance_streak,continuous_active_epochs,continuous_filter_epochs,rolling_sigma_mm,convergence_score
900,E16,8,0,0,DORMANT,LIN-001662,75,LIN-001660,19983.57,75,2,455,532,368,0,0,0,0,20000.00,0.0000
900,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,759,0,0,0,0,20000.00,0.0000
900,E25,20,1,1,ACTIVE,LIN-001767,1,LIN-001430,64.47,1,111,739,689,211,3,0,212,32,65.73,0.1678
900,E34,32,1,1,ACTIVE,LIN-001782,1,LIN-001777,64.49,1,28,144,753,147,3,0,148,24,65.78,0.1678
900,G01,9,0,0,DORMANT,LIN-001857,73,LIN-001856,19999.62,78,60,340,864,36,0,0,0,0,19999.96,0.0000
900,G02,18,0,0,DORMANT,LIN-001766,55,LIN-001765,19997.81,59,16,153,684,216,1,0,0,0,19999.79,0.0000
900,G03,10,0,0,DORMANT,LIN-001497,20,LIN-001494,19958.01,20,27,335,381,519,1,0,0,0,20000.00,0.0000
900,G04,11,0,0,DORMANT,LIN-001712,9,LIN-001711,19987.13,9,4,577,590,310,0,0,0,0,20000.00,0.0000
900,G06,31,1,1,ACTIVE,LIN-001781,0,,59.35,1,19,165,734,166,3,0,167,18,60.77,0.1703
900,G07,19,1,1,ACTIVE,LIN-001444,1,LIN-001425,49.88,1,84,732,102,798,10,0,799,84,50.18,0.1751
900,G08,12,0,0,DORMANT,LIN-001705,7,LIN-001703,19978.27,98,55,383,570,330,0,0,0,0,20000.00,0.0000
900,G09,21,0,0,DORMANT,LIN-001780,13,LIN-001779,19944.83,13,70,567,731,169,0,0,0,0,19996.64,0.0000
900,G11,33,1,1,ACTIVE,LIN-001866,3,LIN-001865,20000.00,8,1,4,900,0,0,0,1,0,20000.00,0.0000
900,G13,30,1,1,ACTIVE,LIN-001747,0,,59.36,0,32,198,664,236,3,0,237,32,60.74,0.1703
900,G14,23,1,1,ACTIVE,LIN-001458,0,,49.99,0,57,550,270,630,10,0,631,57,50.30,0.1750
