epoch,sat,constellation,residual_mm,S_phase_mm2,NIS,gate_mode,accepted,K_amb,clk_sigma_mm,amb_sigma_mm
149,G07,G,-49.0296,300000001463.9866,8.01300307e-09,absolute,1,0.000000,547722.6008,251.6580
149,G08,G,-4.0130,300000001309.2032,5.36798171e-11,absolute,1,0.000000,547722.6008,156.2751
149,G09,G,29.4074,300000003917.4407,2.88264191e-09,absolute,1,0.000000,547722.6008,279.4791
150,G03,G,16.9944,300000000234.8608,9.62693911e-10,absolute,1,0.000000,547722.5792,128.9136
151,E05,E,0.9046,300000001710.8673,2.72738490e-12,absolute,1,0.000000,547722.5780,127.6207
151,G27,G,0.5303,300000001698.0373,9.37218179e-13,absolute,1,0.000000,547722.5780,126.0366
160,E25,E,31.6091,300000428028.3762,3.33045128e-09,absolute,1,0.000000,547722.9560,140.9062
160,G07,G,11.0189,300000428148.9505,4.04723108e-10,absolute,1,0.000000,547722.9560,137.0665
160,G08,G,30.8666,300000428100.6963,3.17582580e-09,absolute,1,0.000000,547722.9560,110.3567
160,G09,G,10.1395,300000428216.3381,3.42695116e-10,absolute,1,0.000000,547722.9560,122.0621
167,G03,G,16.9429,300000423677.2181,9.56872321e-10,absolute,1,0.000000,547722.9497,118.2421
168,G07,G,-20.6322,300000000576.3916,1.41895328e-09,absolute,1,0.000000,547722.5741,127.3640
168,G08,G,-42.1102,300000000613.7542,5.91090824e-09,absolute,1,0.000000,547722.5741,105.8119
171,G03,G,-35.2452,300000421206.4664,4.14075060e-09,absolute,1,0.000000,547722.9465,115.7897
173,G03,G,-26.8661,300000420006.8959,2.40595319e-09,absolute,1,0.000000,547722.9454,115.0690
181,G03,G,23.3855,300000418515.1570,1.82293130e-09,absolute,1,0.000000,547722.9439,113.4648
183,G09,G,29.4465,300000417565.2062,2.89032475e-09,absolute,1,0.000000,547722.9429,104.6742
189,E05,E,-20.4784,300000415334.1566,1.39788164e-09,absolute,1,0.000000,547722.9400,110.0128
189,G27,G,39.8787,300000415585.7638,5.30103033e-09,absolute,1,0.000000,547722.9400,113.3421
196,E25,E,28.5811,300000410895.0899,2.72292108e-09,absolute,1,0.000000,547722.9357,119.8516
196,G07,G,2.3753,300000411020.2763,1.88068823e-11,absolute,1,0.000000,547722.9357,120.6233
196,G09,G,32.3870,300000411023.2770,3.49639573e-09,absolute,1,0.000000,547722.9357,96.4802
198,G07,G,36.7430,300000409965.0841,4.50016044e-09,absolute,1,0.000000,547722.9333,114.4930
202,E25,E,7.4487,300000408041.3528,1.84943302e-10,absolute,1,0.000000,547722.9316,114.9952
202,G07,G,-16.5238,300000408121.8578,9.10118327e-10,absolute,1,0.000000,547722.9316,113.6140
202,G08,G,43.1768,300000408248.9896,6.21412139e-09,absolute,1,0.000000,547722.9316,95.0959
202,G09,G,9.7565,300000408087.9031,3.17299989e-10,absolute,1,0.000000,547722.9316,91.4540
203,G03,G,-49.8570,300000001314.0598,8.28574528e-09,absolute,1,0.000000,547722.5709,91.6148
208,G07,G,-49.4501,300000405361.0184,8.15101906e-09,absolute,1,0.000000,547722.9283,103.1616
208,G08,G,-47.2451,300000405399.0247,7.44033565e-09,absolute,1,0.000000,547722.9283,92.5121
209,G03,G,14.1404,300000001487.4489,6.66505944e-10,absolute,1,0.000000,547722.5703,90.3794
214,E05,E,-43.4482,300000403503.2101,6.29246944e-09,absolute,1,0.000000,547722.9257,95.5440
214,G27,G,-47.4927,300000403545.5292,7.51850043e-09,absolute,1,0.000000,547722.9257,97.0400
215,G08,G,-37.7766,300000000417.5718,4.75691548e-09,absolute,1,0.000000,547722.5720,90.1642
218,E05,E,25.9643,300000401851.1667,2.24714095e-09,absolute,1,0.000000,547722.9242,93.7887
218,G27,G,34.3444,300000401874.4362,3.93178516e-09,absolute,1,0.000000,547722.9242,95.8550
221,G03,G,4.1228,300000400354.6964,5.66572999e-11,absolute,1,0.000000,547722.9232,87.8469
222,E25,E,40.5560,300000001904.6578,5.48261999e-09,absolute,1,0.000000,547722.5655,101.6817
222,G07,G,30.8429,300000001845.5486,3.17094984e-09,absolute,1,0.000000,547722.5655,99.1002
222,G09,G,40.6516,300000001861.4016,5.50850072e-09,absolute,1,0.000000,547722.5655,84.5235
228,E05,E,-38.1483,300000398292.3427,4.85095788e-09,absolute,1,0.000000,547722.9208,91.5155
228,G27,G,-35.8460,300000398312.5695,4.28311127e-09,absolute,1,0.000000,547722.9208,92.2381
230,E25,E,36.8576,300000396993.8594,4.52827357e-09,absolute,1,0.000000,547722.9202,99.4712
230,G07,G,36.7297,300000397051.5313,4.49689805e-09,absolute,1,0.000000,547722.9202,96.9967
230,G09,G,32.0930,300000396993.0659,3.43318719e-09,absolute,1,0.000000,547722.9202,82.8802
234,E25,E,10.2026,300000395767.7702,3.46977737e-10,absolute,1,0.000000,547722.9190,98.3727
234,G07,G,-24.3376,300000395823.1287,1.97438560e-09,absolute,1,0.000000,547722.9190,96.0238
234,G08,G,34.9093,300000395918.4919,4.06218611e-09,absolute,1,0.000000,547722.9190,85.8317
234,G09,G,3.3569,300000395765.4822,3.75615435e-11,absolute,1,0.000000,547722.9190,82.1468
236,G08,G,-49.3471,300000395143.0555,8.11711601e-09,absolute,1,0.000000,547722.9180,84.4596
245,G03,G,10.9743,300000393392.6381,4.01450281e-10,absolute,1,0.000000,547722.9159,81.5824
251,E05,E,-2.2075,300000391935.1232,1.62440331e-11,absolute,1,0.000000,547722.9147,87.0096
251,G27,G,-24.7588,300000391919.7300,2.04332166e-09,absolute,1,0.000000,547722.9147,87.4646
256,E05,E,35.9770,300000390929.5019,4.31447400e-09,absolute,1,0.000000,547722.9137,86.0845
256,G27,G,28.0383,300000390923.1909,2.62047659e-09,absolute,1,0.000000,547722.9137,86.8135
257,E25,E,-29.1304,300000000327.7062,2.82860921e-09,absolute,1,0.000000,547722.5692,91.4604
257,G08,G,-22.6603,300000000310.6763,1.71162504e-09,absolute,1,0.000000,547722.5692,82.0709
261,G09,G,41.8550,300000389547.6575,5.83947081e-09,absolute,1,0.000000,547722.9128,77.8225
267,E25,E,25.1766,300000395099.4221,2.11287403e-09,absolute,1,0.000000,547722.9179,88.7420
267,G07,G,13.8458,300000395128.6053,6.39023314e-10,absolute,1,0.000000,547722.9179,84.8420
267,G08,G,27.1083,300000395163.8268,2.44952188e-09,absolute,1,0.000000,547722.9179,80.7423
267,G09,G,-21.4629,300000395029.8627,1.53551378e-09,absolute,1,0.000000,547722.9179,77.2610
268,E25,E,-14.2572,300000000019.9806,6.77556700e-10,absolute,1,0.000000,547722.5667,86.5538
268,G07,G,-13.0466,300000000082.5293,5.67382796e-10,absolute,1,0.000000,547722.5667,82.9468
268,G08,G,-11.9133,300000000023.9728,4.73090797e-10,absolute,1,0.000000,547722.5667,79.1960
268,G09,G,-32.2412,300000000026.4252,3.46499109e-09,absolute,1,0.000000,547722.5667,76.7434
268,G27,G,47.9049,300000000315.8965,7.64959614e-09,absolute,1,0.000000,547722.5667,83.0703
269,G16,G,38.4166,300400006779.7914,4.91290698e-09,absolute,1,0.001332,547722.5663,20000.0000
270,E05,E,-2.0805,300000387982.8935,1.44281472e-11,absolute,1,0.000000,547722.9107,81.9759
