epoch,sod,sat,ki,alive_epochs,sigma_mm,accepted_phase_updates,rejected_phase_updates,phase_rows_present,phase_rows_missing,last_H_norm,participated_in_update,kalman_gain_norm,last_successful_update_epoch,epochs_since_last_accept,is_newborn,is_recently_reset
18,540.0,G26,10,18,1099.7519,18,0,1,0,2.410281,0,0.000000,18,0,0,0
18,540.0,G27,11,18,817.7484,18,0,1,0,3.004538,0,0.000000,18,0,0,0
18,540.0,G02,12,2,5015.3772,2,0,1,0,4.197031,0,0.000000,18,0,0,0
19,570.0,G01,5,19,858.8533,19,0,1,0,3.001785,0,0.000000,19,0,0,0
19,570.0,G03,6,19,808.0303,19,0,1,0,2.056422,0,0.000000,19,0,0,0
19,570.0,G04,7,19,1254.5876,19,0,1,0,2.718104,0,0.000000,19,0,0,0
19,570.0,G16,9,19,789.2372,19,0,1,0,2.035315,0,0.000000,19,0,0,0
19,570.0,G26,10,19,1069.0554,19,0,1,0,2.416015,0,0.000000,19,0,0,0
19,570.0,G27,11,19,805.2090,19,0,1,0,2.996162,0,0.000000,19,0,0,0
19,570.0,G02,12,3,5013.1056,2,0,1,0,4.197031,0,0.000000,18,1,0,0
20,600.0,G01,5,20,450.2109,20,0,1,0,3.009600,0,0.000000,20,0,0,0
20,600.0,G03,6,20,300.4030,20,0,1,0,2.055609,0,0.000000,20,0,0,0
20,600.0,G04,7,20,525.4803,20,0,1,0,2.711348,0,0.000000,20,0,0,0
20,600.0,G16,9,20,292.1988,20,0,1,0,2.035715,0,0.000000,20,0,0,0
20,600.0,G26,10,20,435.7422,20,0,1,0,2.421837,0,0.000000,20,0,0,0
20,600.0,G27,11,20,441.9903,20,0,1,0,2.987865,0,0.000000,20,0,0,0
20,600.0,G02,12,4,5006.8429,2,0,1,0,4.197031,0,0.000000,18,2,0,0
21,630.0,G01,5,21,353.2898,21,0,1,0,3.017493,0,0.000000,21,0,0,0
21,630.0,G03,6,21,219.9074,21,0,1,0,2.054813,0,0.000000,21,0,0,0
21,630.0,G04,7,21,386.4542,21,0,1,0,2.704646,0,0.000000,21,0,0,0
21,630.0,G16,9,21,213.7668,21,0,1,0,2.036131,0,0.000000,21,0,0,0
21,630.0,G26,10,21,320.3986,21,0,1,0,2.427749,0,0.000000,21,0,0,0
21,630.0,G27,11,21,349.0016,21,0,1,0,2.979647,0,0.000000,21,0,0,0
21,630.0,G02,12,5,5005.2964,2,0,1,0,4.197031,0,0.000000,18,3,0,0
22,660.0,G01,5,22,305.2530,22,0,1,0,3.025464,0,0.000000,22,0,0,0
22,660.0,G03,6,22,181.1811,22,0,1,0,2.054034,0,0.000000,22,0,0,0
22,660.0,G04,7,22,318.3739,22,0,1,0,2.697998,0,0.000000,22,0,0,0
22,660.0,G16,9,22,176.0710,22,0,1,0,2.036561,0,0.000000,22,0,0,0
