SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
1140.0,FWD,1337935.6865,6070318.2879,1427877.7651,1337935.5599,6070317.2377,1427877.5071,+126.597,+1050.247,+258.017,+102.425,+14.157,+1083.940,1088.861,14,9,0,2.0909,0.0356,2.1264,+2713.773,1533.82,30.672
1170.0,FWD,1337935.6962,6070318.2453,1427877.7535,1337935.5599,6070317.2377,1427877.5071,+136.262,+1007.623,+246.386,+83.813,+11.735,+1042.792,1046.221,14,8,0,2.0909,0.0366,2.1275,+2724.690,1769.37,30.986
1200.0,FWD,1337935.6961,6070318.2057,1427877.7433,1337935.5599,6070317.2377,1427877.5071,+136.213,+967.965,+236.159,+75.324,+10.499,+1002.745,1005.625,14,8,0,2.0909,0.0359,2.1267,+2751.331,3302.58,29.436
1230.0,FWD,1337935.6984,6070318.1529,1427877.7308,1337935.5599,6070317.2377,1427877.5071,+138.539,+915.166,+223.702,+61.688,+9.868,+950.190,952.242,14,8,0,2.0909,0.0376,2.1284,+2772.185,1514.82,39.838
1260.0,FWD,1337935.7130,6070318.1121,1427877.7254,1337935.5599,6070317.2377,1427877.5071,+153.147,+874.381,+218.265,+38.645,+12.836,+913.223,914.131,14,8,0,2.0909,0.0403,2.1312,+2778.244,1713.53,28.820
1290.0,FWD,1337935.7244,6070318.0656,1427877.7161,1337935.5599,6070317.2377,1427877.5071,+164.502,+827.934,+208.989,+17.558,+13.467,+869.323,869.605,14,8,0,2.0909,0.0420,2.1328,+2775.353,1346.15,33.597
1320.0,FWD,1337935.7229,6070318.0383,1427877.7118,1337935.5599,6070317.2377,1427877.5071,+162.955,+800.594,+204.745,+13.185,+15.423,+842.029,842.274,14,8,0,2.0909,0.0402,2.1310,+2770.473,1678.87,20.694
1350.0,FWD,1337935.7324,6070318.0100,1427877.7058,1337935.5599,6070317.2377,1427877.5071,+172.518,+772.316,+198.671,-2.241,+15.263,+815.761,815.907,14,8,0,2.0909,0.0384,2.1292,+2763.627,1213.08,23.615
1380.0,FWD,1337935.7450,6070317.9811,1427877.7003,1337935.5599,6070317.2377,1427877.5071,+185.051,+743.442,+193.205,-20.695,+15.683,+789.686,790.113,14,8,0,2.0909,0.0380,2.1289,+2758.501,1402.16,23.119
1410.0,FWD,1337935.7501,6070317.9449,1427877.6933,1337935.5599,6070317.2377,1427877.5071,+190.184,+707.226,+186.223,-33.503,+16.601,+754.731,755.657,14,8,0,2.0909,0.0417,2.1325,+2758.929,1504.87,25.856
1440.0,FWD,1337935.7622,6070317.9210,1427877.6914,1337935.5599,6070317.2377,1427877.5071,+202.287,+683.263,+184.280,-50.480,+19.393,+734.032,736.021,14,8,0,2.0909,0.0405,2.1314,+2759.007,1890.63,20.138
1470.0,FWD,1337935.7748,6070317.9065,1427877.6902,1337935.5599,6070317.2377,1427877.5071,+214.929,+668.847,+183.103,-65.929,+20.805,+722.702,726.001,14,8,0,2.0909,0.0384,2.1292,+2761.114,1305.04,16.022
1500.0,FWD,1337935.7870,6070317.8882,1427877.6856,1337935.5599,6070317.2377,1427877.5071,+227.104,+650.484,+178.535,-81.771,+19.805,+706.754,711.744,14,8,0,2.0909,0.0388,2.1297,+2768.107,1915.86,15.891
1530.0,FWD,1337935.8002,6070317.8758,1427877.6859,1337935.5599,6070317.2377,1427877.5071,+240.343,+638.103,+178.782,-97.364,+22.128,+697.806,704.913,14,8,0,2.0909,0.0374,2.1283,+2768.146,1430.56,19.520
1560.0,FWD,1337935.8069,6070317.8780,1427877.6911,1337935.5599,6070317.2377,1427877.5071,+247.024,+640.308,+183.965,-103.414,+26.368,+702.473,710.534,14,8,0,2.0909,0.0335,2.1244,+2767.198,776.96,16.819
1590.0,FWD,1337935.8182,6070317.8866,1427877.6962,1337935.5599,6070317.2377,1427877.5071,+258.255,+648.915,+189.111,-112.529,+28.943,+714.176,723.567,14,8,0,2.0909,0.0287,2.1195,+2772.564,1163.60,18.255
1620.0,FWD,1337935.8192,6070317.8838,1427877.6947,1337935.5599,6070317.2377,1427877.5071,+259.307,+646.145,+187.613,-114.153,+28.042,+711.425,721.070,14,8,0,2.0909,0.0244,2.1152,+2788.114,1481.92,11.920
1650.0,FWD,1337935.8247,6070317.9000,1427877.6989,1337935.5599,6070317.2377,1427877.5071,+264.790,+662.260,+191.809,-116.039,+28.319,+728.853,738.575,14,8,0,2.0909,0.0167,2.1075,+2802.224,1752.86,16.590
