epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
47,1410.0,-0.990009,0.424210,1.564347,-857.8175,143.9639,73.5421,192.4378,2.1431,1.7513e+02,192.3845,129.8811,17.0927,4528.91,53.86,20000.00,75.5011,1735.6948
48,1440.0,-0.918332,0.410385,1.593755,-775.3884,144.3623,78.6987,82.4291,0.3984,1.7158e+02,188.5031,126.5616,17.0485,4525.00,52.74,20000.00,60.9067,1722.7241
49,1470.0,-0.900479,0.497586,1.582482,-1081.8857,142.3595,89.7212,306.4973,2.0028,1.5264e+02,185.1443,130.3637,17.0778,4521.77,51.90,20000.00,164.2728,1795.3421
50,1500.0,-0.843113,0.551555,1.538188,-778.4114,145.4265,90.3631,303.4743,3.0670,1.4853e+02,182.1442,128.8699,17.0938,4518.97,51.17,20000.00,162.3114,2533.9108
51,1530.0,-0.808835,0.495779,1.492491,-876.3651,143.7890,79.8379,97.9537,1.6375,1.5859e+02,178.7334,120.3765,17.0117,4516.25,50.16,20000.00,67.4806,2077.2354
52,1560.0,-0.812242,0.521957,1.481085,-840.1877,145.0932,28.7573,36.1774,1.3042,1.5518e+02,175.3889,118.1771,16.9287,4513.77,49.21,20000.00,34.0733,614.5426
53,1590.0,-0.810502,0.542904,1.459074,-1009.0514,144.3600,30.4352,168.8637,0.7332,1.5151e+02,172.2126,116.2622,16.8568,4511.53,48.32,20000.00,43.0707,1496.4106
54,1620.0,-0.856900,0.501267,1.425096,-962.8019,144.4816,70.9995,46.2495,0.1217,1.4878e+02,169.1531,114.2279,16.7885,4509.49,47.47,20000.00,65.1855,1800.4708
55,1650.0,-0.875473,0.476301,1.406986,-1129.1783,143.2050,36.0036,166.3764,1.2767,1.4578e+02,166.2203,112.3773,16.7244,4507.62,46.66,20000.00,30.8281,1873.6335
56,1680.0,-0.878971,0.418134,1.391476,-1149.1429,142.1619,60.3008,19.9645,1.0430,1.4291e+02,163.4038,110.5975,16.6633,4505.91,45.88,20000.00,62.1147,1590.2007
57,1710.0,-0.916722,0.425536,1.376847,-969.3382,144.6988,41.1575,179.8046,2.5368,1.3951e+02,160.8737,109.5991,16.6119,4504.41,45.19,20000.00,37.9260,3117.5399
58,1740.0,-0.938830,0.478197,1.383233,-1135.8833,141.8666,57.4701,166.5450,2.8322,1.1778e+02,158.7984,121.8893,16.7194,8615.17,70.17,20000.00,366.5696,1839.0405
59,1770.0,-0.926135,0.528842,1.382282,-815.6959,145.0269,52.2206,320.1873,3.1604,1.2741e+02,156.6999,113.9755,16.7793,11144.66,69.32,20000.00,43.8638,1515.8180
60,1800.0,-0.872086,0.561887,1.385324,-883.5143,143.8695,63.4228,67.8184,1.1574,1.2618e+02,154.5182,112.5099,16.8350,7378.09,68.30,20000.00,70.2992,2428.7530
61,1830.0,-0.861913,0.536502,1.414735,-1093.4015,139.4636,40.1612,209.8871,4.4059,1.2022e+02,152.3744,112.7236,16.8887,6650.91,67.15,20000.00,87.8552,1884.3262
62,1860.0,-0.878162,0.485711,1.388616,-1110.0950,137.3464,59.3790,16.6935,2.1173,1.2011e+02,150.2908,110.3308,16.9304,8205.24,65.93,20000.00,64.9249,2101.0049
