SOD,sat,d_wl,wl_residual_raw,wl_residual_corrected,wl_std,wl_fixable_before,wl_fixable_after
12540,E02,0.066973,0.099022,0.032559,0.332750,1,1
12540,E03,-0.039353,0.035515,0.076172,0.427242,1,1
12570,E02,0.067501,0.101067,0.034094,0.332146,1,1
12570,E03,-0.038100,0.034481,0.073834,0.425607,1,1
12600,E02,0.067967,0.098012,0.030511,0.332510,1,1
12600,E03,-0.036897,0.033361,0.071461,0.424022,1,1
12630,E02,0.068408,0.097070,0.029104,0.331331,1,1
12630,E03,-0.035760,0.031309,0.068206,0.422884,1,1
12660,E02,0.068852,0.097781,0.029373,0.330098,1,1
12660,E03,-0.034676,0.029827,0.065587,0.421479,1,1
12690,E02,0.069314,0.099787,0.030936,0.329550,1,1
12690,E03,-0.033643,0.028375,0.063051,0.420085,1,1
12720,E02,0.069782,0.100800,0.031486,0.328447,1,1
12720,E03,-0.032621,0.029269,0.062913,0.418520,1,1
12750,E02,0.070244,0.101031,0.031249,0.327171,1,1
12750,E03,-0.031589,0.031485,0.064106,0.417591,1,1
12780,E02,0.070693,0.100719,0.030475,0.325920,1,1
12780,E03,-0.030552,0.033459,0.065048,0.416534,1,1
12810,E02,0.071096,0.098367,0.027674,0.325761,1,1
12810,E03,-0.029539,0.033430,0.063982,0.414904,1,1
12840,E02,0.071476,0.097311,0.026215,0.324738,1,1
12840,E03,-0.028544,0.033745,0.063285,0.413308,1,1
12870,E02,0.071874,0.099202,0.027726,0.324229,1,1
12870,E03,-0.027555,0.034834,0.063378,0.411901,1,1
12900,E02,0.072310,0.102900,0.031026,0.325789,1,1
12900,E03,-0.026619,0.032969,0.060524,0.410876,1,1
12930,E02,0.072757,0.104342,0.032032,0.324997,1,1
12930,E03,-0.025689,0.033902,0.060520,0.409456,1,1
12960,E02,0.073189,0.103805,0.031047,0.323851,1,1
12960,E03,-0.024789,0.033306,0.058995,0.407971,1,1
12990,E02,0.073585,0.101897,0.028708,0.323419,1,1
12990,E03,-0.023872,0.035973,0.060762,0.407608,1,1
13020,E02,0.073961,0.100978,0.027393,0.322414,1,1
13020,E03,-0.022962,0.036939,0.060811,0.406249,1,1
13050,E02,0.074353,0.102772,0.028811,0.321929,1,1
13050,E03,-0.022074,0.036688,0.059650,0.404764,1,1
13080,E02,0.074725,0.101782,0.027429,0.320980,1,1
13080,E03,-0.021221,0.035576,0.057649,0.403492,1,1
13110,E02,0.075060,0.099685,0.024960,0.320786,1,1
13110,E03,-0.020420,0.033494,0.054715,0.402766,1,1
13140,E02,0.075416,0.101852,0.026792,0.320674,1,1
13140,E03,-0.019688,0.030299,0.050719,0.403065,1,1
13170,E02,0.075781,0.103020,0.027605,0.319844,1,1
13170,E03,-0.018999,0.028415,0.048103,0.402237,1,1
13200,E02,0.076145,0.103437,0.027656,0.318762,1,1
13200,E03,-0.018350,0.026728,0.045727,0.401305,1,1
13230,E02,0.076520,0.104728,0.028582,0.318028,1,1
13230,E03,-0.017697,0.027977,0.046328,0.400165,1,1
13260,E02,0.076895,0.105277,0.028757,0.316998,1,1
13260,E03,-0.017035,0.029560,0.047256,0.399209,1,1
13290,E02,0.077215,0.101895,0.025000,0.318524,1,1
13290,E03,-0.016372,0.030693,0.047728,0.398051,1,1
13320,E02,0.077487,0.098815,0.021600,0.319612,1,1
13320,E03,-0.015685,0.033592,0.049963,0.398199,1,1
13350,E02,0.077754,0.098730,0.021243,0.318533,1,1
13350,E03,-0.014994,0.035001,0.050686,0.397195,1,1
13380,E02,0.078021,0.099081,0.021327,0.317491,1,1
13380,E03,-0.014303,0.036001,0.050995,0.396026,1,1
13410,E02,0.078281,0.098820,0.020799,0.316446,1,1
13410,E03,-0.013609,0.037193,0.051495,0.394950,1,1
13440,E02,0.078518,0.097377,0.019097,0.315891,1,1
13440,E03,-0.012947,0.035822,0.049430,0.393976,1,1
13470,E02,0.078770,0.098970,0.020452,0.315458,1,1
13470,E03,-0.012297,0.035904,0.048851,0.392662,1,1
13500,E02,0.079008,0.098148,0.019378,0.314588,1,1
13500,E03,-0.011662,0.035581,0.047878,0.391379,1,1
13530,E02,0.079253,0.099014,0.020006,0.313749,1,1
13530,E03,-0.011044,0.035212,0.046874,0.390116,1,1
13560,E02,0.079509,0.100217,0.020964,0.313091,1,1
13560,E03,-0.010464,0.033294,0.044338,0.389558,1,1
13590,E02,0.079736,0.098319,0.018811,0.312978,1,1
13590,E03,-0.009891,0.033508,0.043972,0.388300,1,1
13620,E02,0.079941,0.096811,0.017075,0.312548,1,1
13620,E03,-0.009317,0.034416,0.044307,0.387209,1,1
13650,E02,0.080134,0.096028,0.016087,0.311712,1,1
13650,E03,-0.008749,0.034725,0.044042,0.385986,1,1
13680,E02,0.080353,0.098647,0.018513,0.312470,1,1
13680,E03,-0.008179,0.035706,0.044456,0.384950,1,1
13710,E02,0.080620,0.104096,0.023743,0.318980,1,1
13710,E03,-0.007621,0.035559,0.043738,0.383734,1,1
13740,E02,0.080903,0.105911,0.025291,0.318815,1,1
13740,E03,-0.007052,0.037265,0.044886,0.383126,1,1
13770,E02,0.081198,0.107494,0.026591,0.318464,1,1
13770,E03,-0.006468,0.039468,0.046520,0.382936,1,1
13800,E02,0.081481,0.106698,0.025500,0.317647,1,1
13800,E03,-0.005890,0.039790,0.046258,0.381767,1,1
13830,E02,0.081730,0.104228,0.022748,0.318243,1,1
13830,E03,-0.005336,0.038674,0.044564,0.380850,1,1
13860,E02,0.081983,0.104837,0.023107,0.317373,1,1
13860,E03,-0.004801,0.037896,0.043232,0.379809,1,1
13890,E02,0.082249,0.106341,0.024357,0.317005,1,1
13890,E03,-0.004280,0.037515,0.042316,0.378680,1,1
