sod,sat,const,el_deg,wu_m,wu_ok,trop_zhd_m,tropo_ok,dtrel_m,rel_ok,shapiro_m,shp_ok,setm_m,set_ok,sat_apc_m,rec_apc_m,apc_ok,pcv_sat_m,pcv_rec_m,pcv_ok,sagnac_m,sag_ok,PASS
210.0,G01,G,25.1940,-0.059930,1,4.8805,1,0.427583,1,0.015557,1,-0.000001,1,-1.911526,-0.021994,1,0.042400,-0.007635,1,24.405654,1,1
210.0,G03,G,62.3196,0.067102,1,2.3585,1,-4.314190,1,0.013140,1,-0.000002,1,-1.509735,-0.041291,1,0.023500,-0.009574,1,11.150774,1,1
210.0,G04,G,26.9111,0.056712,1,4.5938,1,2.434954,1,0.015405,1,-0.000001,1,-1.897317,-0.021145,1,0.042400,-0.008547,1,13.469876,1,1
210.0,G08,G,16.7439,-0.044216,1,7.1546,1,7.888864,1,0.016432,1,-0.000001,1,-1.352306,-0.013723,1,0.023500,-0.000356,1,-3.300723,1,1
210.0,G16,G,70.3350,-0.065035,1,2.2183,1,5.848560,1,0.012791,1,-0.000002,1,-1.383324,-0.042057,1,0.006400,-0.005675,1,-10.130725,1,1
210.0,G26,G,38.8704,0.034432,1,3.3227,1,-1.746622,1,0.014311,1,-0.000001,1,-1.367101,-0.026716,1,0.023500,-0.012825,1,-16.768544,1,1
210.0,G27,G,22.7881,-0.033295,1,5.3563,1,9.781853,1,0.015774,1,-0.000001,1,-1.336863,-0.016726,1,0.023500,-0.005832,1,-19.593312,1,1
210.0,G31,G,23.6195,0.034996,1,5.1808,1,-5.131368,1,0.015640,1,-0.000001,1,-0.817421,-0.016295,1,0.040600,-0.006471,1,-16.273208,1,1
240.0,E04,E,24.4975,0.005591,1,5.0085,1,0.101106,1,0.016604,1,-0.000001,1,-1.012892,-0.018608,1,-0.013862,-0.010455,1,-35.392148,1,1
240.0,E05,E,19.9978,0.060912,1,6.0525,1,-0.102464,1,0.017069,1,-0.000001,1,-1.083729,-0.018551,1,-0.015527,-0.007298,1,23.782365,1,1
240.0,E09,E,41.9200,0.045667,1,3.1223,1,-0.215027,1,0.015174,1,-0.000001,1,-0.994506,-0.032818,1,-0.015031,-0.014768,1,-8.705664,1,1
240.0,E16,E,63.9104,-0.052614,1,2.3256,1,0.068777,1,0.014059,1,-0.000002,1,-1.024021,-0.043815,1,-0.012545,-0.008775,1,-3.256509,1,1
240.0,G01,G,25.0946,-0.059852,1,4.8983,1,0.431699,1,0.015566,1,-0.000001,1,-1.911473,-0.021920,1,0.042400,-0.007583,1,24.353754,1,1
