SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
65160.0,FWD,1337935.6039,6070317.0860,1427877.4679,1337935.5599,6070317.2377,1427877.5071,+43.978,-151.710,-39.155,-75.601,-6.900,-143.944,162.736,12,4,0,2.0909,0.1151,2.2059,2803.67,165.260
65190.0,FWD,1337935.6039,6070317.0860,1427877.4679,1337935.5599,6070317.2377,1427877.5071,+43.959,-151.729,-39.158,-75.587,-6.897,-143.967,162.750,12,4,0,2.0909,0.1151,2.2060,2656.29,358.404
65220.0,FWD,1337935.6038,6070317.0860,1427877.4679,1337935.5599,6070317.2377,1427877.5071,+43.941,-151.740,-39.154,-75.572,-6.891,-143.981,162.754,12,4,0,2.0909,0.1151,2.2060,3010.57,191.343
65250.0,FWD,1337935.6038,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.932,-151.754,-39.142,-75.565,-6.876,-143.993,162.761,12,4,0,2.0909,0.1151,2.2060,2878.57,114.558
65280.0,FWD,1337935.6038,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.915,-151.765,-39.130,-75.552,-6.860,-144.004,162.764,12,4,0,2.0909,0.1152,2.2060,2750.01,108.608
65310.0,FWD,1337935.6038,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.898,-151.781,-39.128,-75.538,-6.854,-144.022,162.774,12,4,0,2.0909,0.1152,2.2060,3027.58,133.095
65340.0,FWD,1337935.6038,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.873,-151.789,-39.119,-75.515,-6.843,-144.034,162.773,12,4,0,2.0909,0.1152,2.2060,3008.12,112.492
65370.0,FWD,1337935.6037,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.839,-151.778,-39.093,-75.480,-6.818,-144.024,162.747,12,4,0,2.0909,0.1152,2.2061,3327.20,248.481
65400.0,FWD,1337935.6037,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.795,-151.770,-39.076,-75.436,-6.801,-144.022,162.724,12,4,0,2.0909,0.1152,2.2061,2840.91,264.882
65430.0,FWD,1337935.6036,6070317.0859,1427877.4680,1337935.5599,6070317.2377,1427877.5071,+43.740,-151.756,-39.051,-75.379,-6.778,-144.015,162.690,12,4,0,2.0909,0.1153,2.2061,3125.30,138.161
