Seconds_of_Day,X_ECEF(m),Y_ECEF(m),Z_ECEF(m)
4080.0,1337935.4658,6070317.2109,1427877.4797
4110.0,1337935.4676,6070317.2131,1427877.4807
4140.0,1337935.4706,6070317.2162,1427877.4823
4170.0,1337935.472,6070317.2149,1427877.4824
4200.0,1337935.4764,6070317.2138,1427877.4827
4230.0,1337935.4821,6070317.22,1427877.4853
4260.0,1337935.4855,6070317.2235,1427877.487
4290.0,1337935.4873,6070317.2254,1427877.4879
4320.0,1337935.488,6070317.2262,1427877.4883
4350.0,1337935.4885,6070317.2267,1427877.4885
4380.0,1337935.4897,6070317.2274,1427877.489
4410.0,1337935.4913,6070317.2288,1427877.4898
4440.0,1337935.4942,6070317.231,1427877.491
4470.0,1337935.5026,6070317.2381,1427877.4945
4500.0,1337935.4982,6070317.2304,1427877.4917
4530.0,1337935.4973,6070317.2299,1427877.4915
4560.0,1337935.4976,6070317.23,1427877.4918
4590.0,1337935.4973,6070317.2295,1427877.4916
4620.0,1337935.4967,6070317.2291,1427877.4914
4650.0,1337935.497,6070317.2294,1427877.4916
4680.0,1337935.4976,6070317.23,1427877.4919
4710.0,1337935.4988,6070317.2308,1427877.4926
4740.0,1337935.4994,6070317.2309,1427877.4932
4770.0,1337935.5034,6070317.233,1427877.4954
4800.0,1337935.5174,6070317.2463,1427877.5026
4830.0,1337935.5189,6070317.2485,1427877.5041
4860.0,1337935.5184,6070317.2483,1427877.5041
4890.0,1337935.5187,6070317.2485,1427877.5043
4920.0,1337935.5193,6070317.2489,1427877.5045
4950.0,1337935.52,6070317.2495,1427877.5047
4980.0,1337935.5209,6070317.2504,1427877.5051
5010.0,1337935.5209,6070317.2506,1427877.5051
5040.0,1337935.5193,6070317.2494,1427877.5044
5070.0,1337935.5194,6070317.2497,1427877.5047
5100.0,1337935.5199,6070317.2493,1427877.5055
5130.0,1337935.5177,6070317.2466,1427877.5052
5160.0,1337935.5177,6070317.2464,1427877.5053
5190.0,1337935.5184,6070317.2467,1427877.5056
5220.0,1337935.519,6070317.2468,1427877.5058
5250.0,1337935.5194,6070317.247,1427877.5059
5280.0,1337935.5195,6070317.2469,1427877.506
5310.0,1337935.5195,6070317.2467,1427877.506
5340.0,1337935.5185,6070317.246,1427877.5058
5370.0,1337935.5155,6070317.2432,1427877.505
5400.0,1337935.5144,6070317.2426,1427877.5052
5430.0,1337935.5136,6070317.2425,1427877.5049
5460.0,1337935.5148,6070317.2435,1427877.5052
5490.0,1337935.5159,6070317.2441,1427877.5054
5520.0,1337935.5165,6070317.2446,1427877.5055
5550.0,1337935.517,6070317.2449,1427877.5057
5580.0,1337935.5179,6070317.2455,1427877.5059
5610.0,1337935.5184,6070317.2459,1427877.506
5640.0,1337935.519,6070317.2465,1427877.5061
5670.0,1337935.5229,6070317.2497,1427877.507
5700.0,1337935.5292,6070317.2526,1427877.5084
5730.0,1337935.5297,6070317.2518,1427877.5086
5760.0,1337935.5288,6070317.2507,1427877.5084
5790.0,1337935.5285,6070317.2503,1427877.5082
5820.0,1337935.5282,6070317.2502,1427877.5082
5850.0,1337935.5281,6070317.2502,1427877.5082
5880.0,1337935.5277,6070317.2499,1427877.5081
5910.0,1337935.5267,6070317.2489,1427877.5078
5940.0,1337935.5244,6070317.2472,1427877.5073
5970.0,1337935.5206,6070317.2441,1427877.5066
6000.0,1337935.5192,6070317.2408,1427877.5064
6030.0,1337935.519,6070317.2401,1427877.5062
6060.0,1337935.519,6070317.2398,1427877.5061
6090.0,1337935.5191,6070317.2397,1427877.506
6120.0,1337935.5195,6070317.2398,1427877.5061
6150.0,1337935.5197,6070317.2398,1427877.5062
6180.0,1337935.5197,6070317.2399,1427877.5062
6210.0,1337935.5198,6070317.2402,1427877.5063
6240.0,1337935.5191,6070317.2401,1427877.5061
6270.0,1337935.5185,6070317.2394,1427877.5061
6300.0,1337935.5132,6070317.2349,1427877.5049
6330.0,1337935.5098,6070317.2323,1427877.5046
6360.0,1337935.5089,6070317.2317,1427877.5044
6390.0,1337935.5086,6070317.2314,1427877.5043
6420.0,1337935.5083,6070317.2312,1427877.5043
6450.0,1337935.5083,6070317.2311,1427877.5042
6480.0,1337935.5083,6070317.231,1427877.5042
6510.0,1337935.5086,6070317.2312,1427877.5043
6540.0,1337935.5092,6070317.232,1427877.5046
6570.0,1337935.5103,6070317.2333,1427877.5052
6600.0,1337935.5096,6070317.2342,1427877.5062
6630.0,1337935.5094,6070317.2351,1427877.5067
6660.0,1337935.5094,6070317.2357,1427877.507
6690.0,1337935.5097,6070317.2361,1427877.5071
6720.0,1337935.5096,6070317.2362,1427877.5071
6750.0,1337935.5098,6070317.2363,1427877.5072
6780.0,1337935.5102,6070317.2366,1427877.5072
6810.0,1337935.5109,6070317.2372,1427877.5074
6840.0,1337935.5115,6070317.2374,1427877.5073
6870.0,1337935.5129,6070317.238,1427877.5074
6900.0,1337935.516,6070317.2391,1427877.5088
6930.0,1337935.5172,6070317.2403,1427877.5092
6960.0,1337935.5175,6070317.2407,1427877.5093
6990.0,1337935.5177,6070317.2405,1427877.5092
7020.0,1337935.5178,6070317.2404,1427877.5092
7050.0,1337935.5179,6070317.2403,1427877.5091
7080.0,1337935.518,6070317.24,1427877.509
7110.0,1337935.5181,6070317.2396,1427877.5089
7140.0,1337935.5185,6070317.2389,1427877.5085
7170.0,1337935.5182,6070317.2365,1427877.5074
7200.0,1337935.5171,6070317.234,1427877.5066
7230.0,1337935.5186,6070317.2359,1427877.5069
7260.0,1337935.5184,6070317.2358,1427877.5069
7290.0,1337935.5184,6070317.2359,1427877.5069
7320.0,1337935.5185,6070317.2359,1427877.5068
7350.0,1337935.5182,6070317.2356,1427877.5067
7380.0,1337935.5181,6070317.2353,1427877.5066
7410.0,1337935.5181,6070317.2351,1427877.5065
7440.0,1337935.5181,6070317.235,1427877.5066
7470.0,1337935.5184,6070317.2364,1427877.507
7500.0,1337935.5159,6070317.2368,1427877.5074
7530.0,1337935.517,6070317.2381,1427877.508
7560.0,1337935.5166,6070317.238,1427877.5081
7590.0,1337935.5166,6070317.238,1427877.5081
7620.0,1337935.5169,6070317.2382,1427877.5082
7650.0,1337935.517,6070317.2382,1427877.5082
7680.0,1337935.5171,6070317.2382,1427877.5082
7710.0,1337935.5172,6070317.2382,1427877.5082
7740.0,1337935.5165,6070317.2378,1427877.5081
7770.0,1337935.5134,6070317.2355,1427877.5076
7800.0,1337935.513,6070317.2342,1427877.5076
7830.0,1337935.5143,6070317.2348,1427877.5078
7860.0,1337935.5147,6070317.2349,1427877.5078
7890.0,1337935.5155,6070317.2353,1427877.5079
7920.0,1337935.516,6070317.2356,1427877.5079
7950.0,1337935.5162,6070317.2356,1427877.5079
7980.0,1337935.5163,6070317.2357,1427877.5079
8010.0,1337935.5171,6070317.2361,1427877.508
8040.0,1337935.5179,6070317.2365,1427877.508
8070.0,1337935.5187,6070317.2366,1427877.5081
8100.0,1337935.5172,6070317.2351,1427877.5076
8130.0,1337935.515,6070317.2337,1427877.5072
8160.0,1337935.5138,6070317.2328,1427877.507
8190.0,1337935.5134,6070317.2326,1427877.507
8220.0,1337935.5136,6070317.2327,1427877.507
8250.0,1337935.5138,6070317.2328,1427877.5071
8280.0,1337935.5142,6070317.233,1427877.5071
8310.0,1337935.5152,6070317.2335,1427877.5073
8340.0,1337935.515,6070317.2333,1427877.5072
8370.0,1337935.5147,6070317.2328,1427877.5072
8400.0,1337935.5144,6070317.2313,1427877.5069
8430.0,1337935.5167,6070317.2322,1427877.5071
8460.0,1337935.5185,6070317.2331,1427877.5073
8490.0,1337935.519,6070317.2333,1427877.5073
8520.0,1337935.5193,6070317.2334,1427877.5074
8550.0,1337935.5194,6070317.2334,1427877.5074
8580.0,1337935.5193,6070317.2333,1427877.5074
8610.0,1337935.5189,6070317.2331,1427877.5074
8640.0,1337935.5187,6070317.2329,1427877.5073
8670.0,1337935.5175,6070317.232,1427877.5073
8700.0,1337935.5208,6070317.2331,1427877.5078
8730.0,1337935.5231,6070317.2341,1427877.508
8760.0,1337935.5237,6070317.2344,1427877.5081
8790.0,1337935.5236,6070317.2343,1427877.5081
8820.0,1337935.5236,6070317.2342,1427877.5081
8850.0,1337935.5236,6070317.2342,1427877.5081
8880.0,1337935.5235,6070317.2341,1427877.5081
8910.0,1337935.5228,6070317.2338,1427877.508
8940.0,1337935.522,6070317.2333,1427877.508
8970.0,1337935.523,6070317.2337,1427877.5082
9000.0,1337935.5231,6070317.2331,1427877.5086
9030.0,1337935.5251,6070317.234,1427877.5088
9060.0,1337935.5267,6070317.2347,1427877.509
9090.0,1337935.5271,6070317.2348,1427877.509
9120.0,1337935.5273,6070317.2349,1427877.509
9150.0,1337935.5276,6070317.235,1427877.509
9180.0,1337935.5282,6070317.2352,1427877.5091
9210.0,1337935.5283,6070317.2352,1427877.5091
9240.0,1337935.5283,6070317.2351,1427877.5091
9270.0,1337935.5313,6070317.2358,1427877.5094
9300.0,1337935.5324,6070317.236,1427877.5099
9330.0,1337935.5333,6070317.2365,1427877.51
9360.0,1337935.5348,6070317.2372,1427877.5102
9390.0,1337935.5351,6070317.2374,1427877.5102
9420.0,1337935.5354,6070317.2375,1427877.5103
9450.0,1337935.5357,6070317.2376,1427877.5103
9480.0,1337935.536,6070317.2377,1427877.5103
9510.0,1337935.5359,6070317.2376,1427877.5103
9540.0,1337935.5357,6070317.2373,1427877.5103
9570.0,1337935.5348,6070317.2361,1427877.5102
9600.0,1337935.5342,6070317.2344,1427877.5105
9630.0,1337935.5354,6070317.2345,1427877.5105
9660.0,1337935.5358,6070317.2345,1427877.5106
9690.0,1337935.5362,6070317.2346,1427877.5106
9720.0,1337935.5366,6070317.2347,1427877.5106
9750.0,1337935.5367,6070317.2347,1427877.5106
9780.0,1337935.537,6070317.2347,1427877.5107
9810.0,1337935.5376,6070317.2348,1427877.5107
9840.0,1337935.5395,6070317.2352,1427877.5109
9870.0,1337935.5443,6070317.2367,1427877.5114
9900.0,1337935.544,6070317.2355,1427877.5118
9930.0,1337935.5401,6070317.233,1427877.5114
9960.0,1337935.5401,6070317.2326,1427877.5113
9990.0,1337935.5406,6070317.2324,1427877.5113
10020.0,1337935.5409,6070317.2324,1427877.5113
10050.0,1337935.5412,6070317.2325,1427877.5113
10080.0,1337935.5421,6070317.2327,1427877.5114
10110.0,1337935.5444,6070317.2335,1427877.5115
10140.0,1337935.5487,6070317.235,1427877.5119
10170.0,1337935.5484,6070317.2345,1427877.5119
10200.0,1337935.5496,6070317.2334,1427877.5123
10230.0,1337935.5535,6070317.2343,1427877.513
10260.0,1337935.5546,6070317.2348,1427877.5132
10290.0,1337935.5552,6070317.2351,1427877.5133
10320.0,1337935.5555,6070317.2354,1427877.5134
10350.0,1337935.5558,6070317.2354,1427877.5134
10380.0,1337935.5559,6070317.2355,1427877.5134
10410.0,1337935.5566,6070317.2355,1427877.5135
10440.0,1337935.5585,6070317.2358,1427877.5136
10470.0,1337935.5607,6070317.2362,1427877.5138
10500.0,1337935.5572,6070317.2345,1427877.5136
10530.0,1337935.5528,6070317.2336,1427877.5134
10560.0,1337935.5512,6070317.2334,1427877.5134
10590.0,1337935.5502,6070317.2333,1427877.5133
10620.0,1337935.5496,6070317.2331,1427877.5133
10650.0,1337935.549,6070317.2331,1427877.5133
10680.0,1337935.5484,6070317.2329,1427877.5133
10710.0,1337935.5475,6070317.2328,1427877.5132
10740.0,1337935.5455,6070317.2324,1427877.5131
10770.0,1337935.542,6070317.2313,1427877.513
10800.0,1337935.5424,6070317.2307,1427877.5129
10830.0,1337935.5405,6070317.2303,1427877.5128
10860.0,1337935.5393,6070317.23,1427877.5128
10890.0,1337935.5386,6070317.2298,1427877.5127
10920.0,1337935.5382,6070317.2297,1427877.5127
10950.0,1337935.5379,6070317.2296,1427877.5127
10980.0,1337935.5375,6070317.2296,1427877.5127
11010.0,1337935.5375,6070317.2296,1427877.5127
11040.0,1337935.5373,6070317.2294,1427877.5127
11070.0,1337935.5349,6070317.2288,1427877.5125
11100.0,1337935.535,6070317.2285,1427877.5126
11130.0,1337935.5348,6070317.2283,1427877.5126
11160.0,1337935.5342,6070317.2281,1427877.5126
11190.0,1337935.5328,6070317.2278,1427877.5125
11220.0,1337935.532,6070317.2276,1427877.5125
11250.0,1337935.5315,6070317.2275,1427877.5124
11280.0,1337935.531,6070317.2274,1427877.5124
11310.0,1337935.5308,6070317.2274,1427877.5124
11340.0,1337935.5304,6070317.2271,1427877.5124
11370.0,1337935.528,6070317.2261,1427877.5123
11400.0,1337935.5253,6070317.2242,1427877.5121
11430.0,1337935.523,6070317.2235,1427877.512
11460.0,1337935.5205,6070317.2231,1427877.5118
11490.0,1337935.5193,6070317.2229,1427877.5118
11520.0,1337935.5187,6070317.2228,1427877.5117
11550.0,1337935.5185,6070317.2228,1427877.5117
11580.0,1337935.518,6070317.2227,1427877.5117
11610.0,1337935.5174,6070317.2225,1427877.5117
11640.0,1337935.5167,6070317.2223,1427877.5117
11670.0,1337935.5175,6070317.2223,1427877.5117
11700.0,1337935.5216,6070317.2217,1427877.5121
11730.0,1337935.5223,6070317.2216,1427877.5122
11760.0,1337935.5218,6070317.2215,1427877.5122
11790.0,1337935.5215,6070317.2214,1427877.5122
11820.0,1337935.5214,6070317.2214,1427877.5122
11850.0,1337935.5214,6070317.2214,1427877.5122
11880.0,1337935.5215,6070317.2214,1427877.5122
11910.0,1337935.522,6070317.2214,1427877.5122
11940.0,1337935.5234,6070317.2214,1427877.5122
11970.0,1337935.5252,6070317.221,1427877.5122
12000.0,1337935.5287,6070317.2201,1427877.5122
12030.0,1337935.5232,6070317.2195,1427877.512
12060.0,1337935.5214,6070317.2194,1427877.512
12090.0,1337935.5209,6070317.2194,1427877.512
12120.0,1337935.5206,6070317.2194,1427877.512
12150.0,1337935.5205,6070317.2194,1427877.512
12180.0,1337935.5202,6070317.2194,1427877.512
12210.0,1337935.52,6070317.2195,1427877.512
12240.0,1337935.5204,6070317.2194,1427877.512
12270.0,1337935.5231,6070317.2195,1427877.512
12300.0,1337935.5272,6070317.2194,1427877.5121
12330.0,1337935.5285,6070317.2192,1427877.5122
12360.0,1337935.529,6070317.2193,1427877.5123
12390.0,1337935.5294,6070317.2194,1427877.5123
12420.0,1337935.5294,6070317.2195,1427877.5124
12450.0,1337935.5296,6070317.2196,1427877.5124
12480.0,1337935.53,6070317.2196,1427877.5124
12510.0,1337935.5306,6070317.2195,1427877.5124
12540.0,1337935.5317,6070317.2192,1427877.5124
12570.0,1337935.5334,6070317.2193,1427877.5125
12600.0,1337935.534,6070317.2194,1427877.5126
12630.0,1337935.5339,6070317.2192,1427877.5126
12660.0,1337935.5348,6070317.219,1427877.5125
12690.0,1337935.5353,6070317.2189,1427877.5125
12720.0,1337935.5355,6070317.2189,1427877.5125
12750.0,1337935.5356,6070317.219,1427877.5125
12780.0,1337935.5355,6070317.219,1427877.5126
12810.0,1337935.5356,6070317.219,1427877.5126
12840.0,1337935.5362,6070317.2188,1427877.5125
12870.0,1337935.5381,6070317.2185,1427877.5125
12900.0,1337935.5425,6070317.2186,1427877.5127
12930.0,1337935.5444,6070317.219,1427877.5129
12960.0,1337935.5445,6070317.2193,1427877.5129
12990.0,1337935.5447,6070317.2194,1427877.513
13020.0,1337935.5449,6070317.2194,1427877.513
13050.0,1337935.545,6070317.2195,1427877.513
13080.0,1337935.5451,6070317.2195,1427877.513
13110.0,1337935.5453,6070317.2196,1427877.513
13140.0,1337935.5451,6070317.22,1427877.5131
13170.0,1337935.5444,6070317.2211,1427877.5134
13200.0,1337935.543,6070317.2209,1427877.5131
13230.0,1337935.5423,6070317.2199,1427877.5128
13260.0,1337935.5417,6070317.2193,1427877.5127
13290.0,1337935.5418,6070317.219,1427877.5126
13320.0,1337935.5421,6070317.2188,1427877.5126
13350.0,1337935.5423,6070317.2186,1427877.5125
13380.0,1337935.5426,6070317.2183,1427877.5125
13410.0,1337935.543,6070317.2177,1427877.5123
13440.0,1337935.5435,6070317.2167,1427877.5121
13470.0,1337935.5432,6070317.2159,1427877.512
13500.0,1337935.5434,6070317.2152,1427877.5119
13530.0,1337935.5435,6070317.2151,1427877.5119
13560.0,1337935.5438,6070317.2148,1427877.5118
13590.0,1337935.5441,6070317.2146,1427877.5118
13620.0,1337935.5442,6070317.2145,1427877.5118
13650.0,1337935.5443,6070317.2144,1427877.5118
13680.0,1337935.5445,6070317.2143,1427877.5118
13710.0,1337935.5449,6070317.2142,1427877.5117
13740.0,1337935.5453,6070317.2142,1427877.5117
13770.0,1337935.5454,6070317.2143,1427877.5116
13800.0,1337935.5474,6070317.2142,1427877.5113
13830.0,1337935.5487,6070317.2137,1427877.5112
13860.0,1337935.5495,6070317.2136,1427877.5112
13890.0,1337935.5499,6070317.2134,1427877.5112
13920.0,1337935.55,6070317.2134,1427877.5112
13950.0,1337935.5501,6070317.2133,1427877.5112
13980.0,1337935.5502,6070317.2133,1427877.5112
14010.0,1337935.5503,6070317.2133,1427877.5112
14040.0,1337935.5512,6070317.2132,1427877.5111
14070.0,1337935.5524,6070317.2127,1427877.511
14100.0,1337935.5549,6070317.2124,1427877.5108
14130.0,1337935.5559,6070317.213,1427877.511
14160.0,1337935.5558,6070317.2133,1427877.511
14190.0,1337935.5555,6070317.2134,1427877.5111
14220.0,1337935.5554,6070317.2135,1427877.5111
14250.0,1337935.5554,6070317.2135,1427877.5111
14280.0,1337935.5555,6070317.2134,1427877.5111
14310.0,1337935.5555,6070317.2131,1427877.511
14340.0,1337935.5554,6070317.2127,1427877.5109
14370.0,1337935.5559,6070317.2121,1427877.5109
14400.0,1337935.5565,6070317.2114,1427877.5103
14430.0,1337935.556,6070317.212,1427877.5103
14460.0,1337935.5559,6070317.2123,1427877.5103
14490.0,1337935.5558,6070317.2125,1427877.5103
14520.0,1337935.5558,6070317.2126,1427877.5103
14550.0,1337935.5558,6070317.2127,1427877.5103
14580.0,1337935.5556,6070317.2128,1427877.5103
14610.0,1337935.5556,6070317.2128,1427877.5103
14640.0,1337935.5555,6070317.2126,1427877.5102
14670.0,1337935.555,6070317.2126,1427877.51
14700.0,1337935.5553,6070317.2116,1427877.5095
14730.0,1337935.5545,6070317.2114,1427877.5093
14760.0,1337935.554,6070317.2116,1427877.5093
14790.0,1337935.5535,6070317.2117,1427877.5093
14820.0,1337935.5531,6070317.2119,1427877.5093
14850.0,1337935.5527,6070317.212,1427877.5093
14880.0,1337935.5522,6070317.2122,1427877.5094
14910.0,1337935.5516,6070317.2124,1427877.5094
14940.0,1337935.5503,6070317.213,1427877.5095
14970.0,1337935.5489,6070317.2136,1427877.5095
15000.0,1337935.5487,6070317.2134,1427877.5092
15030.0,1337935.5473,6070317.2126,1427877.5091
15060.0,1337935.5462,6070317.2121,1427877.5091
15090.0,1337935.5457,6070317.212,1427877.5091
15120.0,1337935.5453,6070317.212,1427877.5091
15150.0,1337935.545,6070317.2121,1427877.5091
15180.0,1337935.5446,6070317.2121,1427877.5091
15210.0,1337935.5442,6070317.212,1427877.5091
15240.0,1337935.5437,6070317.2118,1427877.5091
15270.0,1337935.5431,6070317.2115,1427877.5089
15300.0,1337935.5449,6070317.2105,1427877.5083
15330.0,1337935.5459,6070317.2103,1427877.5081
15360.0,1337935.5462,6070317.2102,1427877.508
15390.0,1337935.5464,6070317.2101,1427877.508
15420.0,1337935.5463,6070317.2101,1427877.508
15450.0,1337935.5463,6070317.21,1427877.508
15480.0,1337935.5463,6070317.21,1427877.5079
15510.0,1337935.5462,6070317.21,1427877.5079
15540.0,1337935.5459,6070317.21,1427877.5079
15570.0,1337935.5455,6070317.2099,1427877.5078
15600.0,1337935.5458,6070317.2093,1427877.5075
15630.0,1337935.5448,6070317.2097,1427877.5075
15660.0,1337935.5445,6070317.2099,1427877.5075
15690.0,1337935.5444,6070317.2099,1427877.5075
15720.0,1337935.5444,6070317.2099,1427877.5075
15750.0,1337935.5443,6070317.2098,1427877.5075
15780.0,1337935.5443,6070317.2098,1427877.5075
15810.0,1337935.5442,6070317.2097,1427877.5075
15840.0,1337935.544,6070317.2096,1427877.5075
15870.0,1337935.544,6070317.2096,1427877.5074
15900.0,1337935.5444,6070317.2093,1427877.507
15930.0,1337935.5441,6070317.2091,1427877.507
15960.0,1337935.5439,6070317.2092,1427877.507
15990.0,1337935.5439,6070317.2092,1427877.507
16020.0,1337935.544,6070317.2092,1427877.507
16050.0,1337935.544,6070317.2092,1427877.507
16080.0,1337935.5441,6070317.2091,1427877.507
16110.0,1337935.5441,6070317.209,1427877.507
16140.0,1337935.5442,6070317.2089,1427877.5069
16170.0,1337935.5452,6070317.2087,1427877.5068
16200.0,1337935.546,6070317.2083,1427877.5063
16230.0,1337935.5458,6070317.2081,1427877.5061
16260.0,1337935.546,6070317.2079,1427877.5061
16290.0,1337935.5459,6070317.2078,1427877.506
