SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
510.0,G01,731.8929,1097.8394,24.3964,29.2757,24.20,647.88,-420.27
510.0,G02,1148.8873,1723.3309,191.4812,229.7775,15.14,142.78,-482.34
510.0,G03,333.5411,500.3117,11.1180,13.3416,64.08,-295.72,-439.94
510.0,G04,635.0053,952.5080,21.1668,25.4002,28.19,-598.85,-424.99
510.0,G16,320.2572,480.3858,10.6752,12.8103,69.51,-788.69,-377.54
510.0,G26,500.9145,751.3717,16.6971,20.0366,36.79,-963.31,-379.74
510.0,G27,741.7667,1112.6501,24.7256,29.6707,23.86,-1280.10,-339.63
510.0,G31,791.3811,1187.0717,26.3794,31.6552,22.28,32.23,-486.00
540.0,G01,734.7403,1102.1105,24.4913,29.3896,24.10,657.95,214.03
540.0,G02,1155.8111,1733.7166,192.6352,231.1622,15.04,1343.42,149.97
540.0,G03,333.0695,499.6042,11.1023,13.3228,64.25,478.41,141.77
540.0,G04,632.3205,948.4807,21.0773,25.2928,28.32,395.25,189.41
540.0,G16,320.4698,480.7047,10.6823,12.8188,69.41,96.43,180.47
540.0,G26,503.3644,755.0465,16.7788,20.1346,36.58,-425.95,188.62
540.0,G27,738.6337,1107.9505,24.6211,29.5453,23.96,-412.01,219.61
540.0,G31,795.8527,1193.7791,26.5284,31.8341,22.15,-361.37,65.83
570.0,G01,737.6125,1106.4187,24.5871,29.5045,24.00,1052.33,36.38
570.0,G02,1162.7893,1744.1839,38.7596,46.5116,14.95,1820.95,13.97
570.0,G03,332.6070,498.9106,11.0869,13.3043,64.42,138.55,8.79
570.0,G04,629.6529,944.4793,20.9884,25.1861,28.45,-154.29,54.39
570.0,G16,320.6906,481.0358,10.6897,12.8276,69.31,25.43,34.65
570.0,G26,505.8456,758.7684,16.8615,20.2338,36.37,-67.21,9.79
570.0,G27,735.5262,1103.2894,24.5175,29.4210,24.07,-508.90,67.28
570.0,G31,800.3642,1200.5463,26.6788,32.0146,22.01,-655.98,-109.04
600.0,G01,740.5096,1110.7643,24.6837,29.6204,23.90,-488.13,24.11
600.0,G02,1169.8220,1754.7331,38.9941,46.7929,14.86,1962.24,11.57
600.0,G03,332.1537,498.2305,11.0718,13.2861,64.58,-569.16,1.82
600.0,G04,627.0024,940.5036,20.9001,25.0801,28.59,-970.91,21.47
600.0,G16,320.9196,481.3794,10.6973,12.8368,69.20,153.72,33.95
600.0,G26,508.3586,762.5378,16.9453,20.3343,36.17,147.71,-1.24
600.0,G27,732.4443,1098.6665,24.4148,29.2978,24.18,-596.97,70.82
600.0,G31,804.9160,1207.3740,26.8305,32.1966,21.88,35.52,-114.47
630.0,G01,743.4317,1115.1476,24.7811,29.7373,23.80,-1040.06,159.18
