SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
1080.0,FWD,1337935.9511,6070318.1236,1427878.3649,1337935.5599,6070317.2377,1427877.5071,+391.236,+885.885,+857.769,-191.387,+621.819,+1118.185,1293.687,14,0,0,2.0909,0.1191,2.2099,1060.03,544.727
1110.0,FWD,1337935.9525,6070318.1198,1427878.3637,1337935.5599,6070317.2377,1427877.5071,+392.644,+882.084,+856.567,-193.581,+621.415,+1114.593,1290.716,14,0,0,2.0909,0.1191,2.2099,504.95,407.071
1140.0,FWD,1337935.9550,6070318.0605,1427878.3498,1337935.5599,6070317.2377,1427877.5071,+395.145,+822.764,+842.670,-208.791,+620.806,+1055.546,1242.245,14,0,0,2.0909,0.1191,2.2099,573.69,294.125
1170.0,FWD,1337935.9567,6070318.0117,1427878.3173,1337935.5599,6070317.2377,1427877.5071,+396.763,+773.959,+810.231,-220.876,+599.862,+1002.142,1188.658,14,0,0,2.0909,0.1191,2.2099,822.18,366.542
1200.0,FWD,1337935.9450,6070317.9677,1427878.3016,1337935.5599,6070317.2377,1427877.5071,+385.114,+730.025,+794.492,-218.957,+594.760,+954.351,1145.630,14,0,0,2.0909,0.1189,2.2098,1062.62,296.426
1230.0,FWD,1337935.9219,6070317.9549,1427878.2966,1337935.5599,6070317.2377,1427877.5071,+362.033,+717.151,+789.544,-199.188,+593.890,+936.147,1126.389,14,0,0,2.0909,0.1189,2.2098,705.95,233.638
1260.0,FWD,1337935.9280,6070317.9703,1427878.2952,1337935.5599,6070317.2377,1427877.5071,+368.053,+732.626,+788.098,-201.736,+588.784,+951.808,1137.235,14,0,0,2.0909,0.1190,2.2098,643.59,218.245
1290.0,FWD,1337935.9388,6070317.9725,1427878.2780,1337935.5599,6070317.2377,1427877.5071,+378.899,+734.823,+770.862,-211.854,+570.982,+952.289,1130.379,14,0,0,2.0909,0.1190,2.2098,444.80,208.739
1320.0,FWD,1337935.9237,6070317.9533,1427878.2653,1337935.5599,6070317.2377,1427877.5071,+363.822,+715.649,+758.161,-201.258,+563.558,+928.022,1104.232,14,0,0,2.0909,0.1190,2.2098,719.68,304.566
1350.0,FWD,1337935.9250,6070317.9465,1427878.2568,1337935.5599,6070317.2377,1427877.5071,+365.140,+708.828,+749.663,-204.014,+556.715,+919.894,1094.422,14,0,0,2.0909,0.1191,2.2099,473.91,311.746
1380.0,FWD,1337935.9306,6070317.9114,1427878.2361,1337935.5599,6070317.2377,1427877.5071,+370.688,+673.653,+729.028,-217.002,+544.082,+882.941,1059.575,14,0,0,2.0909,0.1192,2.2101,549.57,202.723
1410.0,FWD,1337935.9501,6070317.8920,1427878.2311,1337935.5599,6070317.2377,1427877.5071,+390.189,+654.331,+723.952,-240.205,+542.442,+867.503,1050.953,14,0,0,2.0909,0.1192,2.2101,515.68,156.368
1440.0,FWD,1337935.9596,6070317.8726,1427878.2297,1337935.5599,6070317.2377,1427877.5071,+399.667,+634.872,+722.564,-253.650,+544.912,+850.663,1041.583,14,0,0,2.0909,0.1192,2.2100,507.84,145.426
1470.0,FWD,1337935.9651,6070317.8927,1427878.2278,1337935.5599,6070317.2377,1427877.5071,+405.234,+654.984,+720.676,-254.757,+538.377,+870.541,1054.795,14,0,0,2.0909,0.1191,2.2099,375.90,140.214
1500.0,FWD,1337935.9860,6070317.8618,1427878.2128,1337935.5599,6070317.2377,1427877.5071,+426.118,+624.060,+705.654,-281.807,+529.532,+842.114,1033.913,14,2,0,2.0909,0.1191,2.2099,593.66,113.118
1530.0,FWD,1337936.0003,6070317.7983,1427878.1882,1337935.5599,6070317.2377,1427877.5071,+440.419,+560.632,+681.066,-309.425,+518.840,+779.224,985.966,14,2,0,2.0909,0.1190,2.2099,948.30,477.794
1560.0,FWD,1337935.9953,6070317.7880,1427878.1819,1337935.5599,6070317.2377,1427877.5071,+435.393,+550.320,+674.755,-306.737,+515.203,+766.936,973.505,14,2,0,2.0909,0.1190,2.2099,366.27,379.956
1590.0,FWD,1337935.9891,6070317.7848,1427878.1938,1337935.5599,6070317.2377,1427877.5071,+429.157,+547.129,+686.721,-301.334,+527.866,+765.288,977.298,14,2,0,2.0909,0.1190,2.2098,510.15,273.092
1620.0,FWD,1337935.9735,6070317.7689,1427878.1834,1337935.5599,6070317.2377,1427877.5071,+413.619,+531.210,+676.274,-289.587,+521.944,+744.531,954.260,14,2,0,2.0909,0.1191,2.2099,528.85,222.314
1650.0,FWD,1337935.9809,6070317.7745,1427878.1774,1337935.5599,6070317.2377,1427877.5071,+420.961,+536.768,+670.251,-295.560,+514.497,+750.002,956.329,14,2,0,2.0909,0.1191,2.2100,392.55,185.010
