epoch,sat,sys,sigma_N1_m,range_100,corr_frac,frac_std,selected,reason
198,SUMMARY,,,,,,0,"GPS=0,GAL=0"
199,SUMMARY,,,,,,0,"GPS=0,GAL=0"
200,SUMMARY,,,,,,0,"GPS=0,GAL=0"
201,SUMMARY,,,,,,0,"GPS=0,GAL=0"
202,SUMMARY,,,,,,0,"GPS=0,GAL=0"
203,SUMMARY,,,,,,0,"GPS=0,GAL=0"
204,SUMMARY,,,,,,0,"GPS=0,GAL=0"
205,SUMMARY,,,,,,0,"GPS=0,GAL=0"
206,SUMMARY,,,,,,0,"GPS=0,GAL=0"
207,SUMMARY,,,,,,0,"GPS=0,GAL=0"
208,SUMMARY,,,,,,0,"GPS=0,GAL=0"
209,SUMMARY,,,,,,0,"GPS=0,GAL=0"
210,SUMMARY,,,,,,0,"GPS=0,GAL=0"
211,SUMMARY,,,,,,0,"GPS=0,GAL=0"
212,SUMMARY,,,,,,0,"GPS=0,GAL=0"
213,SUMMARY,,,,,,0,"GPS=0,GAL=0"
214,SUMMARY,,,,,,0,"GPS=0,GAL=0"
215,SUMMARY,,,,,,0,"GPS=0,GAL=0"
216,SUMMARY,,,,,,0,"GPS=0,GAL=0"
217,SUMMARY,,,,,,0,"GPS=0,GAL=0"
218,SUMMARY,,,,,,0,"GPS=0,GAL=0"
219,SUMMARY,,,,,,0,"GPS=0,GAL=0"
220,SUMMARY,,,,,,0,"GPS=0,GAL=0"
221,SUMMARY,,,,,,0,"GPS=0,GAL=0"
222,SUMMARY,,,,,,0,"GPS=0,GAL=0"
223,SUMMARY,,,,,,0,"GPS=0,GAL=0"
224,SUMMARY,,,,,,0,"GPS=0,GAL=0"
225,SUMMARY,,,,,,0,"GPS=0,GAL=0"
226,SUMMARY,,,,,,0,"GPS=0,GAL=0"
227,SUMMARY,,,,,,0,"GPS=0,GAL=0"
228,SUMMARY,,,,,,0,"GPS=0,GAL=0"
229,SUMMARY,,,,,,0,"GPS=0,GAL=0"
230,SUMMARY,,,,,,0,"GPS=0,GAL=0"
231,SUMMARY,,,,,,0,"GPS=0,GAL=0"
