epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
450,13500.0,E09,E,-885.2611,-8.615037,0.0000,0.0000,33.022,19978.7869,nan,1.0000,7,1,90
451,13530.0,E16,E,10167.8476,22.326996,0.0000,0.0000,28.667,20000.0000,nan,1.0000,3,0,91
454,13620.0,E16,E,10315.2127,22.361605,0.0000,0.0000,28.267,20000.0000,nan,1.0000,3,0,92
456,13680.0,E16,E,10415.4611,22.832986,0.0000,0.0000,28.003,20000.0000,nan,1.0000,2,0,93
457,13710.0,E16,E,10468.5613,22.666916,0.0000,0.0000,27.871,20000.0000,nan,nan,1,0,94
458,13740.0,E16,E,10520.5925,22.531935,0.0000,0.0000,27.740,20000.0000,nan,nan,1,0,95
458,13740.0,G01,G,-8640.2018,-39.605133,0.0000,0.0000,16.742,62.6044,5.0627,0.0000,347,0,96
459,13770.0,E16,E,10574.6128,22.511563,0.0000,0.0000,27.609,20000.0000,nan,nan,1,0,97
461,13830.0,E16,E,10686.2754,22.627134,0.0000,0.0000,27.348,19999.9999,nan,1.0000,2,0,98
463,13890.0,E16,E,10793.4257,22.609038,0.0000,0.0000,27.089,20000.0000,nan,1.0000,2,0,99
465,13950.0,E16,E,10893.1660,22.091921,0.0000,0.0000,26.832,20000.0000,nan,1.0000,2,0,100
466,13980.0,E16,E,10956.7556,22.140705,0.0000,0.0000,26.703,20000.0000,nan,nan,1,0,101
467,14010.0,E16,E,11015.1890,22.301641,0.0000,0.0000,26.575,20000.0000,nan,nan,1,0,102
468,14040.0,E16,E,11085.4007,22.464639,0.0000,0.0000,26.448,20000.0000,nan,nan,1,0,103
469,14070.0,E16,E,11150.1932,22.175364,0.0000,0.0000,26.321,20000.0000,nan,nan,1,0,104
470,14100.0,E16,E,11216.2533,22.259950,0.0000,0.0000,26.194,20000.0000,nan,nan,1,0,105
470,14100.0,G02,G,-7586.7740,-40.468027,0.0000,0.0000,20.709,60.7697,28.4239,0.5000,33,1,106
472,14160.0,E16,E,11349.1130,22.526329,0.0000,0.0000,25.941,20000.0000,nan,1.0000,2,0,107
473,14190.0,E16,E,11411.8189,22.307412,0.0000,0.0000,25.816,20000.0000,nan,nan,1,0,108
474,14220.0,E16,E,11473.8629,22.552802,0.0000,0.0000,25.691,20000.0000,nan,nan,1,0,109
475,14250.0,E16,E,11534.4458,23.054246,0.0000,0.0000,25.566,20000.0000,nan,nan,1,0,110
476,14280.0,E16,E,11596.3475,22.870800,0.0000,0.0000,25.441,20000.0000,nan,nan,1,0,111
477,14310.0,E16,E,11671.2322,22.720338,0.0000,0.0000,25.317,20000.0000,nan,nan,1,0,112
478,14340.0,E16,E,11736.7958,22.646256,0.0000,0.0000,25.193,20000.0000,nan,nan,1,0,113
478,14340.0,G08,G,3203.9080,-6.431357,0.0000,0.0000,33.686,59.0024,30.0208,0.8000,403,1,114
479,14370.0,E16,E,11805.6821,22.640174,0.0000,0.0000,25.070,20000.0000,nan,nan,1,0,115
480,14400.0,E16,E,11871.2606,21.973498,0.0000,0.0000,24.947,20000.0000,nan,nan,1,0,116
480,14400.0,G08,G,3300.9799,-7.028541,0.0000,0.0000,33.288,19993.8577,nan,1.0000,2,0,117
481,14430.0,E16,E,11941.4773,21.939313,0.0000,0.0000,24.824,20000.0000,nan,nan,1,0,118
481,14430.0,G08,G,3352.8699,-6.404427,0.0000,0.0000,33.088,20000.0000,nan,nan,1,0,119
482,14460.0,E16,E,12018.6058,22.272060,0.0000,0.0000,24.702,20000.0000,nan,nan,1,0,120
482,14460.0,G08,G,3407.0940,-6.504974,0.0000,0.0000,32.888,20000.0000,nan,nan,1,0,121
483,14490.0,G08,G,3461.9620,-7.146188,0.0000,0.0000,32.689,20000.0000,nan,nan,1,0,122
484,14520.0,E16,E,12139.7534,22.501422,0.0000,0.0000,24.458,19999.9738,nan,1.0000,2,0,123
484,14520.0,G08,G,3514.0613,-6.571047,0.0000,0.0000,32.489,20000.0000,nan,nan,1,0,124
485,14550.0,E16,E,12205.2707,22.642515,0.0000,0.0000,24.337,20000.0000,nan,nan,1,0,125
485,14550.0,G08,G,3572.4973,-6.246023,0.0000,0.0000,32.289,20000.0000,nan,nan,1,0,126
486,14580.0,E16,E,12269.0902,22.797586,0.0000,0.0000,24.216,20000.0000,nan,nan,1,0,127
486,14580.0,G08,G,3623.6704,-6.711448,0.0000,0.0000,32.088,20000.0000,nan,nan,1,0,128
487,14610.0,E16,E,12340.8839,22.414493,0.0000,0.0000,24.096,20000.0000,nan,nan,1,0,129
487,14610.0,G08,G,3679.3186,-7.111174,0.0000,0.0000,31.888,20000.0000,nan,nan,1,0,130
488,14640.0,E16,E,12397.9422,21.938784,0.0000,0.0000,23.976,20000.0000,nan,nan,1,0,131
488,14640.0,G01,G,-7548.0429,-37.276777,0.0000,0.0000,19.290,19977.4668,nan,nan,30,0,132
488,14640.0,G08,G,3732.1505,-7.241358,0.0000,0.0000,31.688,20000.0000,nan,nan,1,0,133
489,14670.0,E16,E,12452.8858,22.169941,0.0000,0.0000,23.856,20000.0000,nan,nan,1,0,134
489,14670.0,G08,G,3784.6906,-6.985528,0.0000,0.0000,31.487,20000.0000,nan,nan,1,0,135
490,14700.0,E16,E,12519.5812,21.920114,0.0000,0.0000,23.737,20000.0000,nan,nan,1,0,136
490,14700.0,G08,G,3847.1735,-7.192891,0.0000,0.0000,31.287,20000.0000,nan,nan,1,0,137
491,14730.0,E16,E,12580.6936,22.423453,0.0000,0.0000,23.618,20000.0000,nan,nan,1,0,138
491,14730.0,G01,G,-9500.9857,-43.793166,0.0000,0.0000,19.552,19995.8793,nan,1.0000,3,0,139
491,14730.0,G08,G,3905.3304,-6.740073,0.0000,0.0000,31.086,20000.0000,nan,nan,1,0,140
492,14760.0,E16,E,12638.6306,22.489314,0.0000,0.0000,23.500,20000.0000,nan,nan,1,0,141
