epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
152,4560.0,G07,ACTIVE,1410.0,2,0,0.686231,-241.596,18.546,0,4
153,4590.0,G03,DEGRADED,3600.0,4,0,0.471768,216.650,60.348,1,0
153,4590.0,G04,DEGRADED,3600.0,4,0,0.357530,246.767,49.681,1,0
153,4590.0,G07,DEGRADED,1440.0,3,0,1.188587,160.624,18.593,1,4
154,4620.0,G03,DEGRADED,3630.0,5,0,0.373505,572.364,60.157,1,0
154,4620.0,G04,DEGRADED,3630.0,5,0,0.317207,182.618,49.863,1,0
154,4620.0,G07,DEGRADED,1470.0,0,1,0.436243,72.398,18.640,1,4
155,4650.0,G03,DEGRADED,3660.0,6,0,0.334040,-335.249,59.965,1,0
155,4650.0,G04,DEGRADED,3660.0,6,0,0.298222,-191.873,50.046,1,0
155,4650.0,G07,DEGRADED,1500.0,1,0,0.386551,-330.959,18.687,1,4
156,4680.0,G03,DEGRADED,3690.0,7,0,0.334040,250.187,59.772,1,0
156,4680.0,G04,DEGRADED,3690.0,7,0,0.298222,252.257,50.228,1,0
156,4680.0,G07,DEGRADED,1530.0,2,0,0.386551,245.488,18.734,1,4
157,4710.0,G03,DEGRADED,3720.0,0,1,0.317952,1.519,59.579,1,0
157,4710.0,G04,DEGRADED,3720.0,0,1,0.282752,-0.995,50.411,1,0
157,4710.0,G07,DEGRADED,1560.0,0,1,0.365801,-3.902,18.781,1,4
158,4740.0,G03,DEGRADED,3750.0,0,2,0.317178,86.238,59.384,1,0
158,4740.0,G04,DEGRADED,3750.0,0,2,0.282721,85.113,50.594,1,0
158,4740.0,G07,DEGRADED,1590.0,0,2,0.364052,82.466,18.827,1,4
159,4770.0,G03,DEGRADED,3780.0,1,0,0.317178,286.298,59.189,1,0
159,4770.0,G04,DEGRADED,3780.0,1,0,0.282721,293.461,50.777,1,0
159,4770.0,G07,DEGRADED,1620.0,1,0,0.364052,277.114,18.874,1,4
160,4800.0,G03,DEGRADED,3810.0,2,0,0.317178,379.940,58.993,1,0
160,4800.0,G04,DEGRADED,3810.0,2,0,0.282721,384.432,50.961,1,0
160,4800.0,G07,DEGRADED,1650.0,2,0,0.364052,377.035,18.921,1,4
161,4830.0,G03,DEGRADED,3840.0,0,1,0.303444,-13.981,58.797,1,0
161,4830.0,G04,DEGRADED,3840.0,0,1,0.269314,-12.249,51.145,1,0
161,4830.0,G07,DEGRADED,1680.0,0,1,0.346813,-1.228,18.967,1,4
162,4860.0,G03,DEGRADED,3870.0,0,2,0.284039,-64.331,58.599,1,0
162,4860.0,G04,DEGRADED,3870.0,0,2,0.257636,-32.553,51.329,1,0
162,4860.0,G07,DEGRADED,1710.0,0,2,0.324448,-70.276,19.014,1,4
163,4890.0,G03,DEGRADED,3900.0,0,3,0.270686,-25.351,58.401,1,0
163,4890.0,G04,DEGRADED,3900.0,0,3,0.247411,-14.055,51.513,1,0
163,4890.0,G07,DEGRADED,1740.0,0,3,0.309221,-17.746,19.060,1,4
164,4920.0,G03,DEGRADED,3930.0,1,0,0.270686,256.224,58.202,1,0
164,4920.0,G04,DEGRADED,3930.0,1,0,0.247411,256.598,51.697,1,0
164,4920.0,G07,DEGRADED,1770.0,1,0,0.309221,266.576,19.107,1,4
165,4950.0,G03,DEGRADED,3960.0,2,0,0.270686,211.795,58.003,1,0
165,4950.0,G04,DEGRADED,3960.0,2,0,0.247411,209.614,51.882,1,0
165,4950.0,G07,DEGRADED,1800.0,2,0,0.309221,230.258,19.153,1,4
166,4980.0,G03,DEGRADED,3990.0,3,0,0.270686,304.003,57.803,1,0
166,4980.0,G04,DEGRADED,3990.0,3,0,0.247411,300.038,52.066,1,0
166,4980.0,G07,DEGRADED,1830.0,3,0,0.309221,326.851,19.200,1,4
167,5010.0,G03,DEGRADED,4020.0,4,0,0.270686,223.266,57.602,1,0
167,5010.0,G04,DEGRADED,4020.0,4,0,0.247411,221.951,52.251,1,0
167,5010.0,G07,DEGRADED,1860.0,4,0,0.309221,247.202,19.246,1,4
