SOD,sat,arc_age,slip_detected,dGF_m,dMW_cyc,WL_before,WL_after,WL_jump,NL_fixed_before,NL_fixed_after,N1_before,N1_after,N2_before,N2_after,iono_before,iono_after,phase_rms_L1_mm,phase_rms_L2_mm,fallback_used,primary_signal_pair,osb_signal_pair,missing_prev_epoch,epochs_since_last_obs,mw_buffer_std,gf_consistency_triggered,iono_health_gate_triggered,reset_path,event_type
15630.0,G04,522,0,,,6,6,0,0,0,12.9375,12.9338,6.8842,6.8784,10.0756,10.1409,703.6631,1025.4356,0,C1C/L1C,C1C/L1C,0,,0.2492,0,0,NONE,L2_RMS_SPIKE
15660.0,E09,523,0,,,-9,-9,0,0,0,93.4934,93.4785,111.3330,111.3185,15.4967,15.4838,687.8856,1076.8756,0,C1C/L1C,C1C/L1C,0,,0.2081,0,0,NONE,L2_RMS_SPIKE
15660.0,E16,523,0,,,22,22,0,0,0,23.7456,23.7392,10.7199,10.7133,15.6337,15.7369,737.0610,1250.5841,0,C1C/L1C,C1C/L1C,0,,0.1775,0,0,NONE,L2_RMS_SPIKE
15660.0,G04,523,0,,,6,6,0,0,0,12.9338,12.9304,6.8784,6.8739,10.1409,10.2178,725.8113,1037.4636,0,C1C/L1C,C1C/L1C,0,,0.2497,0,0,NONE,L2_RMS_SPIKE
15690.0,G08,8,1,0.0653,-0.5205,,,,0,0,10.1600,10.1600,9.0706,9.0706,11.8250,11.8250,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.4560,0,0,MW_GF_SLIP,SLIP
15690.0,E09,524,0,,,-9,-9,0,0,0,93.4785,93.4668,111.3185,111.3073,15.4838,15.5039,737.8442,1177.1645,0,C1C/L1C,C1C/L1C,0,,0.2089,0,0,NONE,L2_RMS_SPIKE
15690.0,E16,524,0,,,22,22,0,0,0,23.7392,23.7341,10.7133,10.7081,15.7369,15.8337,732.9316,1238.6414,0,C1C/L1C,C1C/L1C,0,,0.1774,0,0,NONE,L2_RMS_SPIKE
15690.0,G04,524,0,,,6,6,0,0,0,12.9304,12.9273,6.8739,6.8692,10.2178,10.2827,712.8347,1016.6037,0,C1C/L1C,C1C/L1C,0,,0.2496,0,0,NONE,L2_RMS_SPIKE
15720.0,E09,525,0,,,-9,-9,0,0,0,93.4668,93.4563,111.3073,111.2968,15.5039,15.4738,749.0657,1213.9392,0,C1C/L1C,C1C/L1C,0,,0.2144,0,0,NONE,L2_RMS_SPIKE
15720.0,E16,525,0,,,22,22,0,0,0,23.7341,23.7299,10.7081,10.7036,15.8337,15.9110,706.2279,1234.5066,0,C1C/L1C,C1C/L1C,0,,0.1780,0,0,NONE,L2_RMS_SPIKE
