SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
83220.0,G16,-2.1152,1.3574,neg(-2.115m),1,7.337,3.000
83220.0,G26,-2.1932,1.3680,neg(-2.193m),1,7.315,3.000
83220.0,G31,-2.1295,1.5968,neg(-2.129m),1,6.917,3.000
83250.0,G03,-2.3285,1.6076,neg(-2.328m),1,6.901,3.000
83250.0,G16,-2.1131,1.3556,neg(-2.113m),1,7.340,3.000
83250.0,G26,-2.1640,1.3691,neg(-2.164m),1,7.312,3.000
83250.0,G31,-2.3662,1.6003,neg(-2.366m),1,6.913,3.000
83280.0,G03,-2.2592,1.6038,neg(-2.259m),1,6.909,3.000
83280.0,G16,-2.1292,1.3538,neg(-2.129m),1,7.343,3.000
83280.0,G26,-2.1562,1.3702,neg(-2.156m),1,7.309,3.000
83280.0,G31,-2.3771,1.6039,neg(-2.377m),1,6.909,3.000
83310.0,G03,-2.2615,1.6001,neg(-2.261m),1,6.917,3.000
83310.0,G16,-2.1001,1.3520,neg(-2.100m),1,7.346,3.000
83310.0,G26,-2.1747,1.3714,neg(-2.175m),1,7.306,3.000
83310.0,G31,-2.3811,1.6074,neg(-2.381m),1,6.905,3.000
83340.0,G03,-2.2881,1.5964,neg(-2.288m),1,6.924,3.000
83340.0,G16,-2.0533,1.3502,neg(-2.053m),1,7.349,3.000
83340.0,G26,-2.1969,1.3725,neg(-2.197m),1,7.303,3.000
83340.0,G31,-2.2651,1.6110,neg(-2.265m),1,6.901,3.000
83370.0,G03,-2.3642,1.5927,neg(-2.364m),1,6.932,3.000
83370.0,G16,-2.1467,1.3484,neg(-2.147m),1,7.352,3.000
83370.0,G26,-2.1065,1.3737,neg(-2.106m),1,7.301,3.000
83370.0,G31,-2.4602,1.6146,neg(-2.460m),1,6.897,3.000
83400.0,G03,-2.4009,1.5890,neg(-2.401m),1,6.939,3.000
83400.0,G16,-2.2387,1.3467,neg(-2.239m),1,7.355,3.000
83400.0,G31,-2.4092,1.6183,neg(-2.409m),1,6.893,3.000
83430.0,G03,-2.2701,1.5853,neg(-2.270m),1,6.947,3.000
83430.0,G16,-2.1543,1.3450,neg(-2.154m),1,7.358,3.000
83430.0,G26,-2.0745,1.3762,neg(-2.075m),1,7.295,3.000
83430.0,G31,-2.3192,1.6219,neg(-2.319m),1,6.889,3.000
83460.0,G03,-2.2789,1.5816,neg(-2.279m),1,6.954,3.000
83460.0,G16,-2.1963,1.3433,neg(-2.196m),1,7.361,3.000
83460.0,G26,-2.1222,1.3774,neg(-2.122m),1,7.292,3.000
83460.0,G31,-2.1365,1.6256,neg(-2.136m),1,6.885,3.000
83490.0,G03,-2.2497,1.5780,neg(-2.250m),1,6.961,3.000
83490.0,G16,-2.1281,1.3416,neg(-2.128m),1,7.363,3.000
83490.0,G26,-2.2555,1.3787,neg(-2.256m),1,7.289,3.000
83490.0,G31,-2.1746,1.6294,neg(-2.175m),1,6.882,3.000
83520.0,G03,-2.3259,1.5743,neg(-2.326m),1,6.968,3.000
83520.0,G16,-2.1311,1.3399,neg(-2.131m),1,7.366,3.000
83520.0,G26,-2.3321,1.3800,neg(-2.332m),1,7.286,3.000
83520.0,G31,-2.0702,1.6337,neg(-2.070m),1,6.880,3.000
83550.0,G03,-2.3759,1.5707,neg(-2.376m),1,6.975,3.000
83550.0,G16,-2.2015,1.3383,neg(-2.202m),1,7.369,3.000
83550.0,G26,-2.2732,1.3814,neg(-2.273m),1,7.283,3.000
83550.0,G31,-2.2723,1.6381,neg(-2.272m),1,6.879,3.000
83580.0,G03,-2.3132,1.5671,neg(-2.313m),1,6.982,3.000
83580.0,G16,-2.1898,1.3366,neg(-2.190m),1,7.371,3.000
83580.0,G26,-2.2626,1.3827,neg(-2.263m),1,7.280,3.000
