epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
135,4320.0,E09,ACTIVE,4050.0,1,0,4.368562,-217.259,50.348,0,0
135,4320.0,E16,ACTIVE,4050.0,1,0,4.368538,-199.318,83.368,0,0
135,4320.0,E25,ACTIVE,2790.0,1,0,4.369146,-246.304,44.015,0,0
136,4350.0,E09,ACTIVE,4080.0,2,0,4.368562,-434.355,50.401,0,0
136,4350.0,E16,ACTIVE,4080.0,2,0,4.368538,-418.491,83.218,0,0
136,4350.0,E25,ACTIVE,2820.0,2,0,4.369146,-466.102,44.186,0,0
137,4380.0,E09,DEGRADED,4110.0,3,0,5.000000,-222.014,50.454,1,0
137,4380.0,E16,DEGRADED,4110.0,3,0,5.000000,-202.552,83.064,1,0
137,4380.0,E25,DEGRADED,2850.0,3,0,5.000000,-255.016,44.357,1,0
138,4410.0,E09,DEGRADED,4140.0,4,0,5.000000,-283.097,50.506,1,0
138,4410.0,E16,DEGRADED,4140.0,4,0,5.000000,-261.416,82.906,1,0
138,4410.0,E25,DEGRADED,2880.0,4,0,5.000000,-314.114,44.527,1,0
139,4440.0,E09,DEGRADED,4170.0,5,0,5.000000,-608.945,50.558,1,0
139,4440.0,E16,DEGRADED,4170.0,5,0,5.000000,-585.016,82.745,1,0
139,4440.0,E25,DEGRADED,2910.0,5,0,5.000000,-642.603,44.697,1,0
140,4470.0,E09,DEGRADED,4200.0,6,0,5.000000,-277.262,50.610,1,0
140,4470.0,E16,DEGRADED,4200.0,6,0,5.000000,-252.187,82.582,1,0
140,4470.0,E25,DEGRADED,2940.0,6,0,5.000000,-311.635,44.867,1,0
141,4500.0,E09,DEGRADED,4230.0,0,1,5.000000,-137.242,50.661,1,0
141,4500.0,E16,DEGRADED,4230.0,0,1,5.000000,-103.069,82.415,1,0
141,4500.0,E25,DEGRADED,2970.0,7,0,5.000000,-163.310,45.037,1,0
142,4530.0,E09,DEGRADED,4260.0,1,0,5.000000,-632.002,50.712,1,0
142,4530.0,E16,DEGRADED,4260.0,1,0,5.000000,-604.328,82.246,1,0
142,4530.0,E25,DEGRADED,3000.0,8,0,5.000000,-669.861,45.207,1,0
143,4560.0,E09,DEGRADED,4290.0,2,0,5.000000,-500.805,50.762,1,0
143,4560.0,E16,DEGRADED,4290.0,2,0,5.000000,-471.952,82.074,1,0
143,4560.0,E25,DEGRADED,3030.0,9,0,5.000000,-540.657,45.376,1,0
144,4590.0,E09,DEGRADED,4320.0,0,1,5.000000,-98.293,50.812,1,0
144,4590.0,E16,DEGRADED,4320.0,0,1,5.000000,-66.382,81.901,1,0
144,4590.0,E25,DEGRADED,3060.0,0,1,5.000000,-133.401,45.545,1,0
145,4620.0,E09,DEGRADED,4350.0,1,0,5.000000,-358.936,50.861,1,0
145,4620.0,E16,DEGRADED,4350.0,1,0,5.000000,-327.588,81.725,1,0
145,4620.0,E25,DEGRADED,3090.0,1,0,5.000000,-404.346,45.714,1,0
146,4650.0,E09,DEGRADED,4380.0,2,0,5.000000,-312.477,50.910,1,0
146,4650.0,E16,DEGRADED,4380.0,2,0,5.000000,-284.997,81.547,1,0
146,4650.0,E25,DEGRADED,3120.0,2,0,5.000000,-356.756,45.883,1,0
147,4680.0,E09,DEGRADED,4410.0,0,1,5.000000,-65.487,50.959,1,0
147,4680.0,E16,DEGRADED,4410.0,0,1,5.000000,-36.613,81.367,1,0
147,4680.0,E25,DEGRADED,3150.0,0,1,5.000000,-103.423,46.051,1,0
148,4710.0,E09,DEGRADED,4440.0,1,0,5.000000,-165.429,51.007,1,0
148,4710.0,E16,DEGRADED,4440.0,0,2,5.000000,-133.638,81.186,1,0
148,4710.0,E25,DEGRADED,3180.0,1,0,5.000000,-204.084,46.219,1,0
149,4740.0,E09,DEGRADED,4470.0,2,0,5.000000,-376.350,51.055,1,0
149,4740.0,E16,DEGRADED,4470.0,1,0,5.000000,-350.746,81.003,1,0
149,4740.0,E25,DEGRADED,3210.0,2,0,5.000000,-415.822,46.387,1,0
150,4770.0,E09,DEGRADED,4500.0,3,0,5.000000,-163.881,51.102,1,0
150,4770.0,E16,DEGRADED,4500.0,0,1,5.000000,-135.590,80.818,1,0
150,4770.0,E25,DEGRADED,3240.0,3,0,5.000000,-206.414,46.555,1,0
151,4800.0,E09,DEGRADED,4530.0,0,1,5.000000,-74.053,51.149,1,0
151,4800.0,E16,DEGRADED,4530.0,0,2,5.000000,-44.063,80.632,1,0
151,4800.0,E25,DEGRADED,3270.0,0,1,5.000000,-112.876,46.722,1,0
152,4830.0,E09,DEGRADED,4560.0,1,0,5.000000,-313.448,51.196,1,0
152,4830.0,E16,DEGRADED,4560.0,1,0,5.000000,-277.511,80.445,1,0
152,4830.0,E25,DEGRADED,3300.0,1,0,5.000000,-352.010,46.889,1,0
153,4860.0,E09,DEGRADED,4590.0,2,0,5.000000,-294.957,51.242,1,0
153,4860.0,E16,DEGRADED,4590.0,2,0,5.000000,-260.030,80.257,1,0
153,4860.0,E25,DEGRADED,3330.0,2,0,5.000000,-333.239,47.056,1,0
154,4890.0,E09,DEGRADED,4620.0,3,0,5.000000,-325.502,51.287,1,0
154,4890.0,E16,DEGRADED,4620.0,3,0,5.000000,-283.751,80.067,1,0
154,4890.0,E25,DEGRADED,3360.0,3,0,5.000000,-370.038,47.222,1,0
155,4920.0,E09,DEGRADED,4650.0,0,1,5.000000,-73.924,51.332,1,0
155,4920.0,E16,DEGRADED,4650.0,0,1,5.000000,-26.692,79.877,1,0
155,4920.0,E25,DEGRADED,3390.0,0,1,5.000000,-113.083,47.389,1,0
156,4950.0,E09,DEGRADED,4680.0,0,2,5.000000,-116.973,51.377,1,0
156,4950.0,E16,DEGRADED,4680.0,0,2,5.000000,-71.594,79.685,1,0
156,4950.0,E25,DEGRADED,3420.0,1,0,5.000000,-160.712,47.555,1,0
157,4980.0,E09,DEGRADED,4710.0,0,3,5.000000,-23.975,51.421,1,0
157,4980.0,E16,DEGRADED,4710.0,0,3,5.000000,20.250,79.493,1,0
157,4980.0,E25,DEGRADED,3450.0,0,1,5.000000,-69.513,47.720,1,0
158,5010.0,E09,DEGRADED,4740.0,0,4,5.000000,-107.639,51.464,1,0
158,5010.0,E16,DEGRADED,4740.0,0,4,5.000000,-60.055,79.299,1,0
158,5010.0,E25,DEGRADED,3480.0,1,0,5.000000,-151.928,47.886,1,0
159,5040.0,E09,DEGRADED,4770.0,1,0,5.000000,-420.033,51.507,1,0
159,5040.0,E16,DEGRADED,4770.0,1,0,5.000000,-370.981,79.105,1,0
159,5040.0,E25,DEGRADED,3510.0,2,0,5.000000,-469.438,48.051,1,0
160,5070.0,E09,DEGRADED,4800.0,2,0,5.000000,-184.188,51.549,1,0
160,5070.0,E16,DEGRADED,4800.0,0,1,5.000000,-131.767,78.910,1,0
160,5070.0,E25,DEGRADED,3540.0,3,0,5.000000,-225.785,48.215,1,0
161,5100.0,E09,DEGRADED,4830.0,0,1,5.000000,-50.212,51.591,1,0
161,5100.0,E16,DEGRADED,4830.0,0,2,5.000000,-2.450,78.714,1,0
161,5100.0,E25,DEGRADED,3570.0,0,1,5.000000,-93.766,48.380,1,0
162,5130.0,E09,DEGRADED,4860.0,1,0,5.000000,-223.735,51.633,1,0
162,5130.0,E16,DEGRADED,4860.0,1,0,5.000000,-172.851,78.518,1,0
162,5130.0,E25,DEGRADED,3600.0,1,0,5.000000,-269.474,48.544,1,0
163,5160.0,E09,DEGRADED,4890.0,2,0,5.000000,-334.765,51.674,1,0
163,5160.0,E16,DEGRADED,4890.0,2,0,5.000000,-280.946,78.321,1,0
163,5160.0,E25,DEGRADED,3630.0,2,0,5.000000,-381.735,48.707,1,0
164,5190.0,E09,DEGRADED,4920.0,3,0,5.000000,-315.716,51.714,1,0
164,5190.0,E16,DEGRADED,4920.0,3,0,5.000000,-259.475,78.123,1,0
164,5190.0,E25,DEGRADED,3660.0,3,0,5.000000,-368.959,48.871,1,0
165,5220.0,E09,DEGRADED,4950.0,4,0,5.000000,-218.855,51.754,1,0
165,5220.0,E16,DEGRADED,4950.0,4,0,5.000000,-168.967,77.925,1,0
165,5220.0,E25,DEGRADED,3690.0,4,0,5.000000,-274.005,49.034,1,0
166,5250.0,E09,DEGRADED,4980.0,0,1,5.000000,-133.960,51.793,1,0
