SOD,sat,epochs_since_entry,old_I_state,GF_measured,GF_test_skipped,skip_reason,reset_triggered,trigger_reason
53970.0,G12,0,0.0000,8.8388,1,old_I_zero,0,guarded
55440.0,G24,0,0.0000,6.1832,1,old_I_zero,0,guarded
55770.0,G25,0,0.0000,6.0295,1,old_I_zero,0,guarded
56460.0,G13,0,0.0000,10.0260,1,old_I_zero,0,guarded
60720.0,G10,0,0.0000,9.6221,1,old_I_zero,0,guarded
60810.0,G10,0,0.0000,8.2634,1,old_I_zero,0,guarded
61140.0,G15,0,0.0000,6.7513,1,old_I_zero,0,guarded
61560.0,G27,0,0.0000,6.9287,1,old_I_zero,0,guarded
61710.0,G27,0,0.0000,7.6830,1,old_I_zero,0,guarded
62160.0,G27,0,0.0000,7.5980,1,old_I_zero,0,guarded
62970.0,G10,0,0.0000,4.3929,1,old_I_zero,0,guarded
63060.0,G10,0,0.0000,5.5569,1,old_I_zero,0,guarded
63180.0,G27,0,0.0000,7.7495,1,old_I_zero,0,guarded
63300.0,G27,0,0.0000,7.1899,1,old_I_zero,0,guarded
63390.0,G27,0,0.0000,6.9086,1,old_I_zero,0,guarded
63390.0,G28,0,0.0000,9.5467,1,old_I_zero,0,guarded
63480.0,G27,0,0.0000,6.6319,1,old_I_zero,0,guarded
63780.0,G27,0,0.0000,4.8203,1,old_I_zero,0,guarded
63780.0,G28,0,0.0000,9.0026,1,old_I_zero,0,guarded
63870.0,G27,0,0.0000,4.9316,1,old_I_zero,0,guarded
63870.0,G28,0,0.0000,9.6920,1,old_I_zero,0,guarded
63960.0,G28,0,0.0000,8.3178,1,old_I_zero,0,guarded
68310.0,G31,0,0.0000,6.9346,1,old_I_zero,0,guarded
68850.0,G31,0,0.0000,6.7738,1,old_I_zero,0,guarded
69720.0,G08,0,0.0000,5.3487,1,old_I_zero,0,guarded
71010.0,G26,0,0.0000,6.1088,1,old_I_zero,0,guarded
71190.0,G26,0,0.0000,6.5833,1,old_I_zero,0,guarded
71820.0,G08,0,0.0000,5.0535,1,old_I_zero,0,guarded
72840.0,G26,0,0.0000,4.3080,1,old_I_zero,0,guarded
73380.0,G26,0,0.0000,2.6201,1,old_I_zero,0,guarded
73500.0,G23,0,0.0000,3.9058,1,old_I_zero,0,guarded
75480.0,G25,0,0.0000,1.5531,1,old_I_zero,0,guarded
75870.0,G25,0,0.0000,2.2719,1,old_I_zero,0,guarded
82350.0,G04,0,0.0000,-1.3757,1,old_I_zero,0,guarded
83100.0,G32,0,0.0000,-0.1073,1,old_I_zero,0,guarded
83460.0,G32,0,0.0000,-1.2805,1,old_I_zero,0,guarded
83970.0,G27,0,0.0000,-0.0781,1,old_I_zero,0,guarded
