SOD,sat,epochs_since_entry,old_I_state,GF_measured,GF_test_skipped,skip_reason,reset_triggered,trigger_reason
38400.0,G06,0,0.0000,18.7443,1,old_I_zero,0,guarded
38490.0,G06,0,0.0000,18.1507,1,old_I_zero,0,guarded
38730.0,G06,0,0.0000,18.0657,1,old_I_zero,0,guarded
38820.0,G06,0,0.0000,18.3980,1,old_I_zero,0,guarded
38910.0,G06,0,0.0000,19.7923,1,old_I_zero,0,guarded
39030.0,G06,0,0.0000,18.7520,1,old_I_zero,0,guarded
39150.0,G06,0,0.0000,19.4259,1,old_I_zero,0,guarded
39240.0,G06,0,0.0000,20.2730,1,old_I_zero,0,guarded
39330.0,G06,0,0.0000,20.3379,1,old_I_zero,0,guarded
39420.0,G06,0,0.0000,21.2824,1,old_I_zero,0,guarded
39660.0,G06,0,0.0000,21.5173,1,old_I_zero,0,guarded
39780.0,G06,0,0.0000,22.4231,1,old_I_zero,0,guarded
39780.0,G22,0,0.0000,15.9489,1,old_I_zero,0,guarded
39900.0,G22,0,0.0000,15.8670,1,old_I_zero,0,guarded
39930.0,G06,0,0.0000,21.7136,1,old_I_zero,0,guarded
40140.0,G06,0,0.0000,22.2994,1,old_I_zero,0,guarded
40140.0,G22,0,0.0000,16.9614,1,old_I_zero,0,guarded
40320.0,G22,0,0.0000,17.3633,1,old_I_zero,0,guarded
40500.0,G25,0,0.0000,21.9845,1,old_I_zero,0,guarded
40590.0,G25,0,0.0000,21.7372,1,old_I_zero,0,guarded
40770.0,G25,0,0.0000,21.3848,1,old_I_zero,0,guarded
41040.0,G25,0,0.0000,20.6908,1,old_I_zero,0,guarded
41250.0,G25,0,0.0000,19.5485,1,old_I_zero,0,guarded
41340.0,G25,0,0.0000,19.4851,1,old_I_zero,0,guarded
41550.0,G25,0,0.0000,18.6025,1,old_I_zero,0,guarded
41760.0,G25,0,0.0000,18.7308,1,old_I_zero,0,guarded
41850.0,G25,0,0.0000,16.9161,1,old_I_zero,0,guarded
41940.0,G25,0,0.0000,16.8125,1,old_I_zero,0,guarded
42150.0,G25,0,0.0000,15.9222,1,old_I_zero,0,guarded
42330.0,G25,0,0.0000,16.3365,1,old_I_zero,0,guarded
42420.0,G25,0,0.0000,15.1926,1,old_I_zero,0,guarded
42570.0,G25,0,0.0000,15.1215,1,old_I_zero,0,guarded
42660.0,G25,0,0.0000,14.8773,1,old_I_zero,0,guarded
42690.0,G15,0,0.0000,20.0152,1,old_I_zero,0,guarded
42750.0,G25,0,0.0000,15.3256,1,old_I_zero,0,guarded
42840.0,G25,0,0.0000,14.7660,1,old_I_zero,0,guarded
42960.0,G25,0,0.0000,13.3238,1,old_I_zero,0,guarded
43140.0,G25,0,0.0000,14.2760,1,old_I_zero,0,guarded
43470.0,G15,0,0.0000,19.8962,1,old_I_zero,0,guarded
43590.0,G15,0,0.0000,18.9966,1,old_I_zero,0,guarded
44250.0,G29,0,0.0000,20.1875,1,old_I_zero,0,guarded
44550.0,G15,0,0.0000,16.0736,1,old_I_zero,0,guarded
44610.0,G29,0,0.0000,19.5167,1,old_I_zero,0,guarded
44700.0,G13,0,0.0000,16.3774,1,old_I_zero,0,guarded
44760.0,G15,0,0.0000,15.8093,1,old_I_zero,0,guarded
44850.0,G15,0,0.0000,14.3779,1,old_I_zero,0,guarded
44850.0,G29,0,0.0000,19.3745,1,old_I_zero,0,guarded
44940.0,G13,0,0.0000,17.4563,1,old_I_zero,0,guarded
44940.0,G15,0,0.0000,14.2867,1,old_I_zero,0,guarded
45030.0,G13,0,0.0000,17.3868,1,old_I_zero,0,guarded
45060.0,G15,0,0.0000,15.0333,1,old_I_zero,0,guarded
45120.0,G29,0,0.0000,18.3327,1,old_I_zero,0,guarded
45180.0,G15,0,0.0000,14.7381,1,old_I_zero,0,guarded
45210.0,G13,0,0.0000,15.7947,1,old_I_zero,0,guarded
45210.0,G29,0,0.0000,18.3806,1,old_I_zero,0,guarded
45270.0,G15,0,0.0000,15.3084,1,old_I_zero,0,guarded
45330.0,G13,0,0.0000,15.6061,1,old_I_zero,0,guarded
45330.0,G29,0,0.0000,18.2678,1,old_I_zero,0,guarded
45420.0,G15,0,0.0000,12.6993,1,old_I_zero,0,guarded
45450.0,G29,0,0.0000,18.5553,1,old_I_zero,0,guarded
45570.0,G15,0,0.0000,13.0702,1,old_I_zero,0,guarded
45660.0,G15,0,0.0000,13.0610,1,old_I_zero,0,guarded
45780.0,G15,0,0.0000,13.6344,1,old_I_zero,0,guarded
45870.0,G15,0,0.0000,13.1568,1,old_I_zero,0,guarded
45900.0,G13,0,0.0000,14.6725,1,old_I_zero,0,guarded
45960.0,G15,0,0.0000,11.3761,1,old_I_zero,0,guarded
46020.0,G13,0,0.0000,14.6323,1,old_I_zero,0,guarded
46050.0,G15,0,0.0000,11.3916,1,old_I_zero,0,guarded
46110.0,G13,0,0.0000,13.3493,1,old_I_zero,0,guarded
46170.0,G29,0,0.0000,15.7652,1,old_I_zero,0,guarded
46200.0,G13,0,0.0000,13.6322,1,old_I_zero,0,guarded
46230.0,G15,0,0.0000,11.5199,1,old_I_zero,0,guarded
46320.0,G15,0,0.0000,10.8057,1,old_I_zero,0,guarded
46320.0,G29,0,0.0000,14.6090,1,old_I_zero,0,guarded
46500.0,G24,0,0.0000,18.8411,1,old_I_zero,0,guarded
46560.0,G29,0,0.0000,14.6724,1,old_I_zero,0,guarded
46590.0,G23,0,0.0000,19.2595,1,old_I_zero,0,guarded
46650.0,G29,0,0.0000,14.1515,1,old_I_zero,0,guarded
46740.0,G13,0,0.0000,11.7340,1,old_I_zero,0,guarded
46740.0,G29,0,0.0000,13.5950,1,old_I_zero,0,guarded
46770.0,G23,0,0.0000,18.5701,1,old_I_zero,0,guarded
46950.0,G23,0,0.0000,16.7755,1,old_I_zero,0,guarded
47040.0,G13,0,0.0000,12.2333,1,old_I_zero,0,guarded
47040.0,G23,0,0.0000,16.2453,1,old_I_zero,0,guarded
47130.0,G23,0,0.0000,16.2654,1,old_I_zero,0,guarded
47160.0,G13,0,0.0000,11.3770,1,old_I_zero,0,guarded
47220.0,G23,0,0.0000,15.9826,1,old_I_zero,0,guarded
47250.0,G13,0,0.0000,11.3121,1,old_I_zero,0,guarded
47310.0,G23,0,0.0000,14.8573,1,old_I_zero,0,guarded
47400.0,G23,0,0.0000,16.1248,1,old_I_zero,0,guarded
47430.0,G13,0,0.0000,11.1760,1,old_I_zero,0,guarded
47490.0,G23,0,0.0000,14.9315,1,old_I_zero,0,guarded
47550.0,G29,0,0.0000,12.5717,1,old_I_zero,0,guarded
47580.0,G13,0,0.0000,10.4109,1,old_I_zero,0,guarded
47580.0,G18,0,0.0000,20.9614,1,old_I_zero,0,guarded
47610.0,G23,0,0.0000,14.3379,1,old_I_zero,0,guarded
47670.0,G29,0,0.0000,11.5577,1,old_I_zero,0,guarded
47700.0,G23,0,0.0000,14.1462,1,old_I_zero,0,guarded
