SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,NL_genuine,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
1980.0,BWD,1337935.7774,6070317.2403,1427877.4937,1337935.5599,6070317.2377,1427877.5071,+217.469,+2.644,-13.411,-211.803,-24.194,+45.098,217.899,5,11,8,0,2.0909,0.0959,2.1867,662.93,6.748
2010.0,BWD,1337935.7778,6070317.2402,1427877.4948,1337935.5599,6070317.2377,1427877.5071,+217.895,+2.528,-12.264,-212.243,-23.072,+45.336,218.254,5,11,8,0,2.0909,0.0958,2.1867,312.18,4.193
2040.0,BWD,1337935.7782,6070317.2403,1427877.4953,1337935.5599,6070317.2377,1427877.5071,+218.294,+2.576,-11.798,-212.623,-22.647,+45.570,218.627,5,11,8,2,2.0909,0.0958,2.1867,560.85,4.805
2070.0,BWD,1337935.7781,6070317.2399,1427877.4962,1337935.5599,6070317.2377,1427877.5071,+218.200,+2.154,-10.905,-212.622,-21.680,+45.351,218.483,5,11,8,1,2.0909,0.0957,2.1866,530.29,3.999
2100.0,BWD,1337935.7784,6070317.2401,1427877.4966,1337935.5599,6070317.2377,1427877.5071,+218.483,+2.385,-10.453,-212.849,-21.305,+45.731,218.746,5,11,8,2,2.0909,0.0959,2.1868,621.99,5.017
2130.0,BWD,1337935.7786,6070317.2398,1427877.4971,1337935.5599,6070317.2377,1427877.5071,+218.739,+2.136,-10.006,-213.152,-20.826,+45.648,218.978,5,11,8,0,2.0909,0.0958,2.1866,231.57,5.468
2160.0,BWD,1337935.7789,6070317.2398,1427877.4970,1337935.5599,6070317.2377,1427877.5071,+218.989,+2.116,-10.105,-213.401,-20.931,+45.660,219.233,5,11,8,5,2.0909,0.0956,2.1865,470.26,11.516
2190.0,BWD,1337935.7797,6070317.2396,1427877.4982,1337935.5599,6070317.2377,1427877.5071,+219.775,+1.930,-8.893,-214.208,-19.747,+45.921,219.963,5,11,8,0,2.0909,0.0953,2.1862,784.30,7.549
2220.0,BWD,1337935.7798,6070317.2394,1427877.4994,1337935.5599,6070317.2377,1427877.5071,+219.898,+1.711,-7.709,-214.375,-18.552,+46.005,220.040,5,11,8,0,2.0909,0.0953,2.1861,1046.44,3.691
2250.0,BWD,1337935.7799,6070317.2395,1427877.5000,1337935.5599,6070317.2377,1427877.5071,+220.019,+1.812,-7.150,-214.472,-18.035,+46.252,220.142,5,11,8,0,2.0909,0.0954,2.1862,1068.73,3.735
