SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
79500.0,FWD,-6.021,+0.982,-74.225,74.476,12,4,0,0.1373,2890.58,120.014
79530.0,FWD,-8.263,-2.251,-71.927,72.435,12,4,0,0.1393,2653.42,122.384
79560.0,FWD,-8.286,-2.242,-71.875,72.386,12,4,0,0.1392,2435.81,113.782
79590.0,FWD,-7.439,-2.228,-71.509,71.930,12,4,0,0.1392,2307.54,234.473
79620.0,FWD,-7.455,-2.227,-71.458,71.880,12,4,0,0.1391,2692.35,347.547
79650.0,FWD,-7.480,-2.219,-71.406,71.831,12,4,0,0.1391,2689.90,112.178
79680.0,FWD,-7.504,-2.211,-71.355,71.783,12,4,0,0.1390,2458.06,101.783
79710.0,FWD,-7.527,-2.201,-71.300,71.730,12,4,0,0.1390,2158.87,107.291
79740.0,FWD,-7.548,-2.192,-71.247,71.679,12,4,0,0.1389,1927.58,184.371
79770.0,FWD,-7.568,-2.184,-71.194,71.629,12,4,0,0.1389,2332.35,127.201
79800.0,FWD,-6.664,-2.096,-70.887,71.230,12,4,0,0.1388,2628.54,243.717
79830.0,FWD,-8.491,-1.001,-71.585,72.094,12,4,0,0.1382,2528.01,109.811
79860.0,FWD,-8.502,-0.989,-71.519,72.030,12,4,0,0.1381,2505.09,136.311
79890.0,FWD,-8.515,-0.986,-71.463,71.976,12,4,0,0.1381,2324.43,337.585
79920.0,FWD,-8.533,-0.982,-71.416,71.930,12,4,0,0.1380,2227.87,145.553
79950.0,FWD,-8.561,-0.972,-71.368,71.886,12,4,0,0.1380,2199.86,289.740
79980.0,FWD,-9.267,-3.356,-68.433,69.139,12,4,0,0.1389,2173.03,112.328
80010.0,FWD,-9.282,-3.348,-68.374,69.083,12,4,0,0.1388,2433.12,174.564
80040.0,FWD,-9.303,-3.338,-68.317,69.028,12,4,0,0.1388,2174.84,106.115
80070.0,FWD,-9.325,-3.325,-68.259,68.973,12,4,0,0.1387,2158.71,340.115
80100.0,FWD,-8.189,-5.633,-66.669,67.406,12,4,0,0.1396,2426.28,106.472
80130.0,FWD,-8.207,-5.625,-66.611,67.350,12,4,0,0.1395,2578.01,121.326
80160.0,FWD,-8.077,-5.632,-66.517,67.241,12,4,0,0.1395,2777.48,244.702
80190.0,FWD,-8.095,-5.624,-66.458,67.185,12,4,0,0.1394,2874.51,103.225
80220.0,FWD,-8.118,-5.613,-66.401,67.131,12,4,0,0.1394,2709.33,323.654
80250.0,FWD,-8.135,-5.604,-66.346,67.077,12,4,0,0.1393,2783.10,113.944
80280.0,FWD,-8.448,-5.042,-66.734,67.455,12,4,0,0.1387,2715.05,115.413
80310.0,FWD,-10.037,-3.254,-67.217,68.040,12,4,0,0.1390,2340.64,111.578
80340.0,FWD,-10.063,-3.242,-67.160,67.987,12,4,0,0.1389,2075.59,177.288
80370.0,FWD,-12.678,-3.077,-68.121,69.359,12,4,0,0.1387,2072.18,111.940
80400.0,FWD,-13.209,-2.704,-67.757,69.086,12,4,0,0.1393,2220.09,114.848
80430.0,FWD,-13.224,-2.696,-67.692,69.024,12,4,0,0.1392,2392.30,235.879
80460.0,FWD,-13.570,-3.355,-66.338,67.794,12,4,0,0.1396,2573.97,112.724
80490.0,FWD,-13.590,-3.344,-66.269,67.731,12,4,0,0.1396,2407.20,133.888
80520.0,FWD,-13.605,-3.337,-66.202,67.668,12,4,0,0.1395,2741.91,107.737
