epoch,sod,gps_phase_mean_mm,gps_phase_median_mm,gps_phase_rms_mm,gps_code_mean_mm,gps_amb_sigma_mean_mm,gps_mean_elev_deg,dx_mm,dy_mm,dz_mm,clock_mm,zwd_mm
99,2970.0,22.3707,24.6761,45.6920,49.8881,564.0749,32.8031,-1129.2240,23.0038,1171.2768,-1035.4433,129.5457
100,3000.0,-27.6789,-9.3795,51.9149,889.9710,382.9845,32.8070,-1122.6455,27.2015,1155.1213,-1058.4257,129.1792
101,3030.0,-44.1947,-34.6800,62.9076,500.9813,291.2301,32.8106,-1116.9421,45.4904,1141.0907,-1113.9734,130.0814
102,3060.0,-11.0205,4.4459,40.0398,-844.1424,255.6955,34.9107,-1124.7313,63.6958,1133.8702,-1097.5290,131.1501
103,3090.0,1.1318,18.9039,36.1688,-1281.1041,1248.5559,32.8170,-1126.6394,66.8878,1116.2075,-1204.6388,131.0374
104,3120.0,-13.5757,1.3461,38.6717,-798.0478,686.5873,32.8198,-1120.4144,97.3590,1090.7935,-1267.8243,134.5243
105,3150.0,-8.8383,5.7133,35.6347,-752.9088,462.4281,32.8224,-1109.3990,112.0802,1078.0850,-1305.7690,136.5235
106,3180.0,16.8234,27.0203,32.7761,-107.9530,347.8909,32.8247,-1122.7359,116.0185,1073.8751,-1269.9982,137.9941
107,3210.0,8.9945,25.9068,38.8773,156.0426,279.2895,32.8269,-1121.0732,140.0433,1060.4911,-1190.5371,140.7633
108,3240.0,-31.4494,-19.3515,45.5843,1130.5245,233.8301,32.8288,-1131.0853,155.5037,1049.7908,-1266.1464,142.2092
109,3270.0,-13.5864,-8.9365,42.1170,872.2892,201.5607,32.8305,-1135.8734,166.2227,1039.3073,-1321.1428,142.8583
110,3300.0,0.2432,11.6791,40.1199,1172.6477,177.4996,32.8319,-1151.5684,173.9735,1046.2978,-1206.3540,145.2810
111,3330.0,30.2569,36.2211,36.6619,-228.6707,171.7486,35.0126,-1158.1549,165.5131,1039.9873,-1130.6408,145.6843
112,3360.0,15.3939,10.4950,27.8975,-412.8715,1235.2411,32.8343,-1143.7351,175.9831,1028.6669,-1144.4301,146.9873
113,3390.0,28.4018,34.7069,35.7215,-631.9002,141.6415,35.0352,-1137.0786,178.9718,1012.7890,-1139.0940,147.3176
114,3420.0,-6.4224,-1.9473,24.8854,-293.1480,130.4602,35.0460,-1135.2539,166.9874,1008.5856,-1228.6501,146.3667
115,3450.0,5.6282,5.3544,24.0265,243.0787,121.0582,35.0567,-1142.3294,161.7451,1009.9848,-1170.3187,148.2413
116,3480.0,-22.3809,-21.5944,32.3156,264.0234,113.0513,35.0671,-1139.4507,177.6089,1004.0939,-1331.2355,150.9053
117,3510.0,97.0777,106.1293,101.3733,644.6642,106.5609,35.0772,-1131.4227,189.5349,1000.8794,-1015.8854,154.9127
118,3540.0,-23.7092,-15.6854,43.1961,-13.7154,100.5034,35.0871,-1123.9791,182.2900,1002.9736,-1184.8053,154.6374
119,3570.0,-7.1560,1.3258,36.0399,-550.5442,95.2030,35.0968,-1119.8273,173.6119,998.9544,-1379.3025,153.4665
