sod,sat,const,signal_family,PIF_before_osb,PIF_after_osb,LIF_before_osb,LIF_after_osb,osb_code_L1_m,osb_code_L2_m,osb_phase_L1_m,osb_phase_L2_m,osb_IF_code_m,osb_IF_phase_m,code_shift_mm,phase_shift_mm,plaus_ok,sign_ok,PASS
210.0,E04,E,E1+E5a,26406506.9345,26406506.9344,26406522.2389,26406522.2858,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
210.0,E05,E,E1+E5a,26817525.5123,26817525.5122,26817532.6746,26817532.6879,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
210.0,E09,E,E1+E5a,25030934.0468,25030934.0467,25030938.7267,25030938.7477,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
210.0,E16,E,E1+E5a,23756755.9306,23756755.9306,23756762.6894,23756762.6478,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
210.0,G01,G,L1C+L2W,23141852.8376,23141852.8376,23141857.2213,23141857.2096,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
210.0,G03,G,L1C+L2W,20543493.9822,20543493.9822,20543497.5709,20543497.5878,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
210.0,G04,G,L1C+L2W,23083852.5085,23083852.5085,23083855.5664,23083855.5229,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
210.0,G08,G,L1C+L2W,23868241.4104,23868241.4104,23868239.0490,23868239.0620,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
210.0,G16,G,L1C+L2W,20075770.5698,20075770.5698,20075773.8845,20075773.9300,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
210.0,G26,G,L1C+L2W,21902336.7881,21902336.7881,21902341.1268,21902341.1028,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
210.0,G27,G,L1C+L2W,23416669.6923,23416669.6923,23416681.2754,23416681.2664,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
210.0,G31,G,L1C+L2W,23198429.6341,23198429.6341,23198442.1671,23198442.1250,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
240.0,E04,E,E1+E5a,26408256.6653,26408256.6653,26408272.5565,26408272.6034,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
240.0,E05,E,E1+E5a,26810319.0321,26810319.0320,26810325.7048,26810325.7181,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
240.0,E09,E,E1+E5a,25026855.8438,25026855.8438,25026860.3357,25026860.3566,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
240.0,E16,E,E1+E5a,23748371.6038,23748371.6038,23748378.2593,23748378.2176,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
240.0,G01,G,L1C+L2W,23150714.5866,23150714.5866,23150720.0182,23150720.0065,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
240.0,G03,G,L1C+L2W,20536775.6650,20536775.6650,20536778.6544,20536778.6712,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
240.0,G04,G,L1C+L2W,23072301.4158,23072301.4158,23072304.3352,23072304.2917,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
240.0,G08,G,L1C+L2W,23855026.5208,23855026.5208,23855025.8997,23855025.9127,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
240.0,G16,G,L1C+L2W,20076706.3084,20076706.3084,20076710.6937,20076710.7392,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
240.0,G26,G,L1C+L2W,21917890.5856,21917890.5856,21917896.4015,21917896.3776,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
240.0,G27,G,L1C+L2W,23405149.9310,23405149.9310,23405162.5028,23405162.4938,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
240.0,G31,G,L1C+L2W,23211854.7648,23211854.7649,23211867.4129,23211867.3708,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
270.0,E04,E,E1+E5a,26410021.5747,26410021.5746,26410036.7056,26410036.7525,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
270.0,E05,E,E1+E5a,26803084.1772,26803084.1771,26803090.4557,26803090.4691,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
270.0,E09,E,E1+E5a,25022767.3933,25022767.3932,25022771.7877,25022771.8087,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
270.0,E16,E,E1+E5a,23740050.1017,23740050.1017,23740056.5054,23740056.4638,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
270.0,G01,G,L1C+L2W,23159594.4952,23159594.4952,23159598.6585,23159598.6469,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
270.0,G03,G,L1C+L2W,20530161.7588,20530161.7588,20530165.2451,20530165.2620,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
270.0,G04,G,L1C+L2W,23060729.6701,23060729.6701,23060733.1363,23060733.0927,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
270.0,G08,G,L1C+L2W,23841775.2174,23841775.2174,23841777.7495,23841777.7625,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
270.0,G16,G,L1C+L2W,20077764.6152,20077764.6152,20077768.7610,20077768.8065,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0052,-45.5341,1,1,1
270.0,G26,G,L1C+L2W,21933515.3990,21933515.3990,21933521.1883,21933521.1643,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
270.0,G27,G,L1C+L2W,23393628.8146,23393628.8146,23393641.1006,23393641.0916,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
270.0,G31,G,L1C+L2W,23225262.9519,23225262.9519,23225275.5431,23225275.5010,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
