epoch,sod,sat,lineage_id,generation,parent_lineage_id,old_state,new_state,reason,sigma_mm,state_index,active,observable,in_filter,gap_length_epochs,convergence_score,rolling_sigma_mm,rolling_residual_rms_mm,acceptance_ratio,continuous_active_epochs,continuous_filter_epochs
529,15870.0,E16,LIN-001655,72,LIN-001653,RESET,REBORN,post_reset_rebirth,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
529,15870.0,E16,LIN-001655,72,LIN-001653,REBORN,ACTIVE,reborn_to_active,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
529,15870.0,G08,LIN-001656,51,LIN-001654,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
529,15870.0,G08,LIN-001656,51,LIN-001654,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,E16,LIN-001655,72,LIN-001653,ACTIVE,SLIPPED,cycle_slip,20000.00,8,0,1,0,0,0.0000,nan,nan,0.0044,0,0
-1,nan,E16,LIN-001655,72,LIN-001653,SLIPPED,RESET,cycle_slip,20000.00,8,0,1,0,0,0.0000,nan,nan,0.0044,0,0
-1,nan,G08,LIN-001656,51,LIN-001654,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001656,51,LIN-001654,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
530,15900.0,E16,LIN-001657,73,LIN-001655,RESET,REBORN,post_reset_rebirth,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
530,15900.0,E16,LIN-001657,73,LIN-001655,REBORN,ACTIVE,reborn_to_active,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
530,15900.0,G08,LIN-001658,52,LIN-001656,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
530,15900.0,G08,LIN-001658,52,LIN-001656,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,E09,LIN-001652,10,LIN-001645,ACTIVE,SLIPPED,cycle_slip,164.82,7,0,1,0,0,0.0000,nan,nan,0.0308,0,0
-1,nan,E09,LIN-001652,10,LIN-001645,SLIPPED,RESET,cycle_slip,164.82,7,0,1,0,0,0.0000,nan,nan,0.0308,0,0
-1,nan,E16,LIN-001657,73,LIN-001655,ACTIVE,SLIPPED,cycle_slip,20000.00,8,0,1,0,0,0.0000,nan,nan,0.0044,0,0
-1,nan,E16,LIN-001657,73,LIN-001655,SLIPPED,RESET,cycle_slip,20000.00,8,0,1,0,0,0.0000,nan,nan,0.0044,0,0
-1,nan,G08,LIN-001658,52,LIN-001656,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001658,52,LIN-001656,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
