pass_label,epoch_sod,satellite,system,elevation_deg,azimuth_deg,raw_phase_L1_m,raw_phase_L2_m,raw_code_P1_m,raw_code_P2_m,LIF_raw_m,PIF_raw_m,sat_pco_x_mm,sat_pco_y_mm,sat_pco_z_mm,sat_apc_range_mm,sat_pcv_mm,rec_pco_x_mm,rec_pco_y_mm,rec_pco_z_mm,rec_apc_range_mm,rec_pcv_mm,osb_code_L1_mm,osb_code_L2_mm,osb_phase_L1_mm,osb_phase_L2_mm,osb_IF_code_mm,osb_IF_phase_mm,tropo_hydro_m,tropo_wet_m,sagnac_mm,relativity_mm,phase_windup_cycles,phase_windup_mm,solid_earth_tide_mm,ocean_loading_mm,geom_range_m,corrected_phase_m,corrected_code_m,predicted_phase_m,predicted_code_m,phase_residual_mm,code_residual_mm,float_ambiguity_state_m,float_ambiguity_cycles,wl_fixed,nl_fixed
GPS-only,60.0,G27,G,22.260,144.134,123357870.689000,96123005.056000,23474218.354000,23474219.542000,23474226.458952,23474216.517675,394.000,0.000,1436.320,-1337.1384,23.5000,-0.851,-2.922,45.739,-16.3805,-5.4259,2595.2134,4274.1711,213.1884,345.3099,0.0018,8.9645,5.478189,0.437899,-19236.1476,9789.9370,-0.239280,-33.9482,-0.0008,3.2915,23463594.074311,23474226.483936,23474216.517674,23474225.283500,23474213.592567,1200.4356,2925.1062,11.690933,82.402290,0,0
GPS-only,90.0,G01,G,25.591,-128.958,121425881.165000,94617559.121000,23106576.488000,23106575.915000,23106580.907760,23106577.373702,-68.444,20.595,1965.013,-1911.7366,42.4000,-0.851,-2.922,45.739,-22.2886,-7.8457,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.814020,0.378751,24608.8654,411.2232,-0.424588,-60.2389,-0.0008,-2.2373,23207117.767431,23106580.956338,23106577.373703,23106580.620270,23106577.761186,336.0677,-387.4829,2.859085,20.151951,0,0
GPS-only,90.0,G03,G,61.573,-48.491,108103591.618000,84236566.337000,20571426.764000,20571427.661000,20571428.948163,20571425.377482,394.000,0.000,1482.260,-1509.1819,23.5000,-0.851,-2.922,45.739,-40.9975,-9.9158,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.376633,0.186457,11181.3448,-4299.1223,0.470923,66.8129,-0.0018,3.7167,20744429.767989,20571428.898221,20571425.377507,20571429.820171,20571425.541924,-921.9501,-164.4177,4.278246,30.154762,0,0
GPS-only,90.0,G04,G,26.410,-26.354,121548251.318000,94712923.118000,23129858.289000,23129857.947000,23129863.160589,23129858.817639,-60.991,20.386,1940.252,-1897.0278,42.4000,-0.851,-2.922,45.739,-20.8234,-8.2808,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.676626,0.367864,13911.9034,2421.1163,0.402160,57.0569,-0.0009,2.0896,23142653.156875,23129863.059969,23129858.817640,23129864.280430,23129859.240016,-1220.4611,-422.3754,5.040414,35.526818,0,0
GPS-only,90.0,G08,G,16.270,175.220,125704357.949000,97951457.122000,23920743.307000,23920741.274000,23920740.424041,23920746.449465,394.000,0.000,1427.680,-1352.0967,23.5000,-0.851,-2.922,45.739,-13.3948,0.1297,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.355325,0.581543,-2911.1518,7882.0035,-0.314369,-44.6015,-0.0006,0.0259,24069148.199492,23920740.481643,23920746.449448,23920740.481643,23920739.239878,nan,7209.5697,1.241765,8.752445,0,0
GPS-only,90.0,G16,G,70.560,84.606,105485630.417000,82196601.035000,20073240.506000,20073238.803000,20073245.810517,20073243.138374,12.600,-6.900,1389.150,-1383.4542,6.4000,-0.851,-2.922,45.739,-42.1371,-5.5693,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.216896,0.173905,-10086.4537,5998.5264,-0.448526,-63.6352,-0.0020,6.9155,20134102.446927,20073245.919686,20073243.138369,20073246.427153,20073242.520328,-507.4670,618.0408,3.906824,27.536834,0,0
GPS-only,90.0,G26,G,39.699,41.260,114774386.310000,89434607.007000,21840830.322000,21840832.492000,21840831.861807,21840826.967771,394.000,0.000,1433.580,-1367.3967,23.5000,-0.851,-2.922,45.739,-27.2413,-13.0108,3901.1093,6424.9121,357.4276,573.1642,-0.0028,23.9574,3.267258,0.256540,-16681.5331,-1616.4452,0.246789,35.0135,-0.0014,7.2078,21743934.794322,21840831.802836,21840826.967774,21840832.748422,21840828.420123,-945.5858,-1452.3498,4.328299,30.507551,0,0
GPS-only,90.0,G27,G,22.365,143.926,123297435.056000,96075912.444000,23462717.477000,23462719.060000,23462725.906770,23462715.030113,394.000,0.000,1436.320,-1337.0843,23.5000,-0.851,-2.922,45.739,-16.4493,-5.5068,2595.2134,4274.1711,213.1884,345.3099,0.0018,8.9645,5.454143,0.429565,-19308.3938,9788.6044,-0.238364,-33.8182,-0.0008,3.3077,23452094.374498,23462725.931624,23462715.030111,23462725.123401,23462715.105133,808.2231,-75.0219,10.018268,70.612688,0,0
GPS-only,120.0,G01,G,25.492,-129.187,121472084.777000,94653561.936000,23115368.447000,23115368.641000,23115373.162613,23115368.147129,-68.444,20.595,1965.013,-1911.6840,42.4000,-0.851,-2.922,45.739,-22.2151,-7.7932,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.831228,0.376928,24558.7246,415.2780,-0.424047,-60.1622,-0.0008,-2.2504,23215909.942126,23115373.211114,23115368.147130,23115373.184990,23115371.370861,26.1233,-3223.7313,1.814130,12.786698,0,0
GPS-only,120.0,G03,G,61.762,-48.865,108066069.517000,84207328.333000,20564286.630000,20564286.989000,20564288.730968,20564286.075084,394.000,0.000,1482.260,-1509.3273,23.5000,-0.851,-2.922,45.739,-41.0722,-9.8294,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.372431,0.184567,11173.4945,-4303.0625,0.471423,66.8838,-0.0018,3.7062,20737288.144757,20564288.680955,20564286.075108,20564289.571429,20564285.397672,-890.4736,677.4360,4.173757,29.418276,0,0
