ep,sod,sat,const,el_deg,rng_m,scm_m,rp_m,LIF_corr_m,pre_amb_res_m,dT_est_m,res_after_clk_m,mag_ok,PASS
7,210.0,G31,G,23.6195,23147934.0481,-50487.3087,23198431.7186,23198442.0900,10.3713,-0.8352,11.2066,1,1
8,240.0,E04,E,24.4975,26389160.2383,-19089.2996,26408254.4375,26408272.5978,18.1602,-1.4374,19.5977,1,1
8,240.0,E05,E,19.9978,26813571.6769,3260.9349,26810316.8913,26810325.6572,8.7659,-1.4374,10.2033,1,1
8,240.0,E09,E,41.9200,24965911.6006,-60938.7343,25026853.6576,25026860.3110,6.6533,-1.4374,8.0907,1,1
8,240.0,E16,E,63.9104,23744897.8916,-3468.1444,23748368.2856,23748378.2702,9.9846,-1.4374,11.4220,1,1
8,240.0,G01,G,25.0946,23251256.2020,100544.9334,23150715.7855,23150720.0664,4.2809,-1.4374,5.7183,1,1
8,240.0,G03,G,62.5029,20709780.0168,173010.9228,20536775.7934,20536778.6041,2.8107,-1.4374,4.2481,1,1
8,240.0,G04,G,27.0373,23085095.2877,12796.9982,23072300.4745,23072304.2350,3.7605,-1.4374,5.1980,1,1
8,240.0,G08,G,16.8637,24003433.7040,148409.1430,23855023.8169,23855025.9568,2.1399,-1.4374,3.5773,1,1
8,240.0,G16,G,70.2692,20137569.0286,60856.9887,20076708.4618,20076710.8046,2.3429,-1.4374,3.7803,1,1
8,240.0,G26,G,38.6629,21821000.2649,-96888.4149,21917893.8215,21917896.3433,2.5218,-1.4374,3.9592,1,1
8,240.0,G27,G,22.8943,23394531.3169,-10624.7034,23405151.6070,23405162.5270,10.9200,-1.4374,12.3575,1,1
8,240.0,G31,G,23.4832,23161359.1539,-50487.2289,23211856.7966,23211867.3360,10.5394,-1.4374,11.9769,1,1
9,270.0,E04,E,24.4779,26390924.6876,-19089.3995,26410018.9898,26410036.7471,17.7572,-1.4291,19.1863,1,1
9,270.0,E05,E,20.0729,26806336.8925,3260.9644,26803082.0560,26803090.4082,8.3523,-1.4291,9.7813,1,1
9,270.0,E09,E,41.9781,24961823.3545,-60938.8460,25022765.5194,25022771.7632,6.2438,-1.4291,7.6728,1,1
9,270.0,E16,E,64.1226,23736576.5334,-3468.1685,23740046.9465,23740056.5164,9.5699,-1.4291,10.9989,1,1
9,270.0,G01,G,24.9952,23260135.1786,100544.8959,23159594.8136,23159598.7066,3.8930,-1.4291,5.3221,1,1
9,270.0,G03,G,62.6848,20703166.9147,173010.8169,20530162.7968,20530165.1948,2.3979,-1.4291,3.8270,1,1
9,270.0,G04,G,27.1640,23073524.5568,12797.0172,23060729.7017,23060733.0362,3.3344,-1.4291,4.7635,1,1
9,270.0,G08,G,16.9840,23990185.9819,148409.0968,23841776.0921,23841777.8065,1.7145,-1.4291,3.1435,1,1
9,270.0,G16,G,70.1995,20138627.5548,60857.0775,20077766.9380,20077768.8723,1.9343,-1.4291,3.3634,1,1
9,270.0,G26,G,38.4553,21836625.3326,-96888.4706,21933518.9925,21933521.1302,2.1377,-1.4291,3.5667,1,1
9,270.0,G27,G,23.0005,23383010.2807,-10624.7879,23393630.6347,23393641.1246,10.4899,-1.4291,11.9190,1,1
9,270.0,G31,G,23.3474,23174767.6500,-50487.1929,23225265.3086,23225275.4664,10.1578,-1.4291,11.5869,1,1
