SOD,X,Y,Z
2100.0,1337935.3945,6070316.9062,1427877.3941
2130.0,1337935.3908,6070316.8941,1427877.3896
2160.0,1337935.3844,6070316.881,1427877.3831
2190.0,1337935.38,6070316.8752,1427877.3796
2220.0,1337935.3799,6070316.8748,1427877.3795
2250.0,1337935.3769,6070316.8705,1427877.3768
2280.0,1337935.3688,6070316.8587,1427877.371
2310.0,1337935.3677,6070316.8591,1427877.3707
2340.0,1337935.3666,6070316.8578,1427877.3704
2370.0,1337935.3706,6070316.8655,1427877.3741
2400.0,1337935.379,6070316.8807,1427877.3814
2430.0,1337935.3867,6070316.8917,1427877.3872
2460.0,1337935.392,6070316.8972,1427877.3906
2490.0,1337935.3971,6070316.9058,1427877.3955
2520.0,1337935.3996,6070316.9073,1427877.397
2550.0,1337935.4048,6070316.9182,1427877.402
2580.0,1337935.4311,6070316.9675,1427877.4247
2610.0,1337935.4567,6070317.0143,1427877.4461
2640.0,1337935.4932,6070317.0737,1427877.4736
2670.0,1337935.5091,6070317.0956,1427877.4838
2700.0,1337935.5274,6070317.1205,1427877.4961
2730.0,1337935.5465,6070317.1475,1427877.5096
2760.0,1337935.5621,6070317.1679,1427877.5196
2790.0,1337935.5694,6070317.1828,1427877.5262
2820.0,1337935.5713,6070317.1857,1427877.5279
2850.0,1337935.579,6070317.1975,1427877.5334
2880.0,1337935.5876,6070317.2058,1427877.5374
2910.0,1337935.5838,6070317.1994,1427877.5348
2940.0,1337935.5748,6070317.1858,1427877.5288
2970.0,1337935.5694,6070317.1788,1427877.5253
3000.0,1337935.5611,6070317.1705,1427877.52
3030.0,1337935.5548,6070317.1682,1427877.5175
3060.0,1337935.5447,6070317.1594,1427877.5124
3090.0,1337935.5335,6070317.1468,1427877.5059
3120.0,1337935.5258,6070317.1384,1427877.5022
3150.0,1337935.5212,6070317.1336,1427877.5001
3180.0,1337935.5126,6070317.126,1427877.4964
3210.0,1337935.5111,6070317.1299,1427877.4973
3240.0,1337935.5064,6070317.126,1427877.4954
3270.0,1337935.5025,6070317.1256,1427877.4944
3300.0,1337935.4954,6070317.1225,1427877.4919
3330.0,1337935.4876,6070317.1125,1427877.487
3360.0,1337935.479,6070317.0904,1427877.4786
3390.0,1337935.4701,6070317.0771,1427877.4726
3420.0,1337935.4615,6070317.0641,1427877.4672
3450.0,1337935.4516,6070317.0479,1427877.4603
3480.0,1337935.4456,6070317.0378,1427877.456
3510.0,1337935.4447,6070317.0338,1427877.4543
3540.0,1337935.4427,6070317.0263,1427877.4512
3570.0,1337935.4423,6070317.0218,1427877.4494
3600.0,1337935.4462,6070317.0234,1427877.4505
3630.0,1337935.4498,6070317.0258,1427877.4522
3660.0,1337935.4511,6070317.0247,1427877.4521
3690.0,1337935.4455,6070317.0166,1427877.449
3720.0,1337935.4438,6070317.0142,1427877.4485
3750.0,1337935.4455,6070317.0164,1427877.4498
3780.0,1337935.4471,6070317.0181,1427877.4507
3810.0,1337935.4487,6070317.0204,1427877.452
3840.0,1337935.4506,6070317.0228,1427877.4532
3870.0,1337935.4511,6070317.023,1427877.4535
3900.0,1337935.4518,6070317.0233,1427877.4539
3930.0,1337935.4542,6070317.0246,1427877.4549
3960.0,1337935.4569,6070317.0265,1427877.4561
3990.0,1337935.4601,6070317.0295,1427877.4576
4020.0,1337935.463,6070317.0327,1427877.4595
4050.0,1337935.4672,6070317.0373,1427877.4621
4080.0,1337935.4712,6070317.0418,1427877.4643
4110.0,1337935.4736,6070317.0446,1427877.4658
4140.0,1337935.4769,6070317.0476,1427877.4676
4170.0,1337935.4806,6070317.0506,1427877.4693
4200.0,1337935.4849,6070317.054,1427877.4713
4230.0,1337935.4878,6070317.0569,1427877.4728
4260.0,1337935.4909,6070317.0589,1427877.4742
4290.0,1337935.4932,6070317.0603,1427877.4752
4320.0,1337935.4957,6070317.0625,1427877.4764
4350.0,1337935.4993,6070317.0656,1427877.4783
4380.0,1337935.5038,6070317.0687,1427877.4802
4410.0,1337935.5074,6070317.0714,1427877.4816
4440.0,1337935.5101,6070317.0727,1427877.4825
4470.0,1337935.5129,6070317.074,1427877.4834
4500.0,1337935.5149,6070317.075,1427877.4839
4530.0,1337935.5166,6070317.0772,1427877.4848
4560.0,1337935.5182,6070317.0792,1427877.4855
4590.0,1337935.5204,6070317.0812,1427877.4864
4620.0,1337935.522,6070317.0832,1427877.4874
4650.0,1337935.5224,6070317.0845,1427877.4879
4680.0,1337935.5222,6070317.0851,1427877.4883
4710.0,1337935.523,6070317.0862,1427877.489
4740.0,1337935.5217,6070317.0859,1427877.4889
4770.0,1337935.5202,6070317.0852,1427877.4885
4800.0,1337935.5197,6070317.086,1427877.4887
4830.0,1337935.5204,6070317.0882,1427877.4895
4860.0,1337935.5213,6070317.0898,1427877.4902
4890.0,1337935.5222,6070317.0911,1427877.4909
4920.0,1337935.5241,6070317.0926,1427877.4918
4950.0,1337935.5264,6070317.0948,1427877.493
4980.0,1337935.5272,6070317.096,1427877.4937
5010.0,1337935.5266,6070317.0957,1427877.4936
5040.0,1337935.526,6070317.0956,1427877.4936
5070.0,1337935.5262,6070317.0964,1427877.494
5100.0,1337935.5259,6070317.0965,1427877.4941
5130.0,1337935.5259,6070317.0967,1427877.4943
5160.0,1337935.5258,6070317.0969,1427877.4946
5190.0,1337935.5254,6070317.0969,1427877.4948
5220.0,1337935.5252,6070317.097,1427877.4949
5250.0,1337935.5251,6070317.0971,1427877.495
5280.0,1337935.5253,6070317.0977,1427877.4953
5310.0,1337935.5254,6070317.0984,1427877.4956
5340.0,1337935.5244,6070317.0984,1427877.4955
5370.0,1337935.5232,6070317.0983,1427877.4954
5400.0,1337935.5231,6070317.0989,1427877.4956
5430.0,1337935.522,6070317.0992,1427877.4957
5460.0,1337935.5216,6070317.0995,1427877.4957
5490.0,1337935.5224,6070317.1004,1427877.4961
5520.0,1337935.5229,6070317.101,1427877.4965
5550.0,1337935.5237,6070317.102,1427877.4969
5580.0,1337935.5236,6070317.1022,1427877.4971
5610.0,1337935.5239,6070317.1031,1427877.4974
5640.0,1337935.5245,6070317.1041,1427877.4977
5670.0,1337935.5258,6070317.1056,1427877.4981
5700.0,1337935.5272,6070317.107,1427877.4985
5730.0,1337935.5286,6070317.1084,1427877.4989
5760.0,1337935.5289,6070317.109,1427877.499
5790.0,1337935.5297,6070317.1096,1427877.4993
5820.0,1337935.5303,6070317.1105,1427877.4996
5850.0,1337935.5301,6070317.1108,1427877.4998
5880.0,1337935.529,6070317.1106,1427877.4998
5910.0,1337935.5276,6070317.1097,1427877.4995
5940.0,1337935.5265,6070317.1093,1427877.4995
5970.0,1337935.5263,6070317.1093,1427877.4997
6000.0,1337935.5257,6070317.1089,1427877.4996
6030.0,1337935.5251,6070317.1084,1427877.4995
6060.0,1337935.5255,6070317.1083,1427877.4996
6090.0,1337935.5258,6070317.1081,1427877.4996
6120.0,1337935.526,6070317.1078,1427877.4997
6150.0,1337935.5258,6070317.1075,1427877.4998
6180.0,1337935.5262,6070317.1075,1427877.5001
6210.0,1337935.5268,6070317.1076,1427877.5003
6240.0,1337935.5262,6070317.1072,1427877.5003
6270.0,1337935.5249,6070317.1065,1427877.5001
6300.0,1337935.5245,6070317.1063,1427877.5001
6330.0,1337935.524,6070317.106,1427877.5001
6360.0,1337935.5235,6070317.1059,1427877.5001
6390.0,1337935.5241,6070317.1061,1427877.5002
6420.0,1337935.5241,6070317.1058,1427877.5001
6450.0,1337935.5236,6070317.1056,1427877.4999
6480.0,1337935.5229,6070317.1052,1427877.4997
6510.0,1337935.5225,6070317.105,1427877.4997
6540.0,1337935.5222,6070317.105,1427877.4997
6570.0,1337935.5215,6070317.105,1427877.4998
6600.0,1337935.5213,6070317.1053,1427877.5
6630.0,1337935.521,6070317.1055,1427877.5002
6660.0,1337935.5203,6070317.1057,1427877.5003
6690.0,1337935.5199,6070317.1058,1427877.5003
6720.0,1337935.5188,6070317.1058,1427877.5002
6750.0,1337935.5179,6070317.1058,1427877.5001
6780.0,1337935.5178,6070317.106,1427877.5001
6810.0,1337935.5181,6070317.1064,1427877.5002
6840.0,1337935.5186,6070317.1067,1427877.5003
6870.0,1337935.5194,6070317.107,1427877.5005
6900.0,1337935.52,6070317.1076,1427877.5009
6930.0,1337935.5208,6070317.1083,1427877.5013
6960.0,1337935.5217,6070317.1086,1427877.5015
6990.0,1337935.5221,6070317.1086,1427877.5015
7020.0,1337935.5216,6070317.1084,1427877.5013
7050.0,1337935.5214,6070317.1085,1427877.5013
7080.0,1337935.5211,6070317.1086,1427877.5014
7110.0,1337935.521,6070317.1086,1427877.5013
7140.0,1337935.5212,6070317.1085,1427877.5012
7170.0,1337935.5213,6070317.1086,1427877.5011
7200.0,1337935.5216,6070317.1087,1427877.5012
7230.0,1337935.5223,6070317.1091,1427877.5012
7260.0,1337935.5229,6070317.1095,1427877.5013
7290.0,1337935.5233,6070317.1098,1427877.5014
7320.0,1337935.5231,6070317.1098,1427877.5014
7350.0,1337935.5225,6070317.1095,1427877.5013
7380.0,1337935.5221,6070317.1094,1427877.5012
7410.0,1337935.522,6070317.1097,1427877.5012
7440.0,1337935.5219,6070317.1101,1427877.5013
7470.0,1337935.5216,6070317.1108,1427877.5014
7500.0,1337935.5218,6070317.1117,1427877.5016
7530.0,1337935.5221,6070317.1129,1427877.502
7560.0,1337935.5218,6070317.1138,1427877.5022
7590.0,1337935.5216,6070317.1143,1427877.5023
7620.0,1337935.5218,6070317.1145,1427877.5023
7650.0,1337935.5216,6070317.1145,1427877.5023
7680.0,1337935.5211,6070317.1149,1427877.5023
7710.0,1337935.5203,6070317.1147,1427877.5024
7740.0,1337935.52,6070317.1146,1427877.5025
7770.0,1337935.5199,6070317.1143,1427877.5025
7800.0,1337935.5201,6070317.1141,1427877.5026
7830.0,1337935.5205,6070317.1142,1427877.5027
7860.0,1337935.5214,6070317.1147,1427877.5027
7890.0,1337935.5219,6070317.1144,1427877.5026
7920.0,1337935.5217,6070317.1138,1427877.5025
7950.0,1337935.5219,6070317.1141,1427877.5024
7980.0,1337935.5227,6070317.1151,1427877.5025
8010.0,1337935.5231,6070317.1153,1427877.5025
8040.0,1337935.5236,6070317.1166,1427877.5026
8070.0,1337935.5244,6070317.1187,1427877.5028
8100.0,1337935.5242,6070317.1198,1427877.5029
8130.0,1337935.5252,6070317.1222,1427877.5032
8160.0,1337935.5257,6070317.1233,1427877.5034
8190.0,1337935.526,6070317.1242,1427877.5035
8220.0,1337935.5253,6070317.1233,1427877.5035
8250.0,1337935.5255,6070317.1232,1427877.5036
8280.0,1337935.5263,6070317.1242,1427877.504
8310.0,1337935.5267,6070317.1246,1427877.5042
8340.0,1337935.5265,6070317.1247,1427877.5042
8370.0,1337935.5262,6070317.1247,1427877.5042
8400.0,1337935.5264,6070317.1248,1427877.5042
8430.0,1337935.5267,6070317.125,1427877.5041
8460.0,1337935.5268,6070317.1252,1427877.5041
8490.0,1337935.5267,6070317.1254,1427877.5041
8520.0,1337935.5262,6070317.1255,1427877.5041
8550.0,1337935.5262,6070317.1258,1427877.5041
8580.0,1337935.5261,6070317.1259,1427877.5041
8610.0,1337935.5262,6070317.1261,1427877.5041
8640.0,1337935.5268,6070317.1265,1427877.5042
8670.0,1337935.5278,6070317.1269,1427877.5043
8700.0,1337935.5294,6070317.1275,1427877.5045
8730.0,1337935.5305,6070317.128,1427877.5045
8760.0,1337935.5316,6070317.1284,1427877.5046
8790.0,1337935.5322,6070317.1287,1427877.5047
8820.0,1337935.5326,6070317.1289,1427877.5047
8850.0,1337935.5329,6070317.1291,1427877.5047
8880.0,1337935.5325,6070317.1292,1427877.5046
8910.0,1337935.5324,6070317.1294,1427877.5047
8940.0,1337935.533,6070317.1297,1427877.5048
8970.0,1337935.5334,6070317.1301,1427877.5049
9000.0,1337935.5333,6070317.1302,1427877.5049
9030.0,1337935.5329,6070317.1302,1427877.5049
9060.0,1337935.5333,6070317.1304,1427877.5049
9090.0,1337935.5343,6070317.1307,1427877.5049
9120.0,1337935.5349,6070317.1309,1427877.5049
9150.0,1337935.5352,6070317.131,1427877.5049
9180.0,1337935.5353,6070317.1309,1427877.5049
9210.0,1337935.5355,6070317.1311,1427877.5049
9240.0,1337935.5354,6070317.1311,1427877.505
9270.0,1337935.5352,6070317.131,1427877.5049
9300.0,1337935.5352,6070317.1312,1427877.5049
9330.0,1337935.5346,6070317.1312,1427877.5049
9360.0,1337935.5342,6070317.1313,1427877.5049
9390.0,1337935.5344,6070317.1314,1427877.505
9420.0,1337935.5346,6070317.1316,1427877.505
9450.0,1337935.5345,6070317.1317,1427877.505
9480.0,1337935.5339,6070317.1314,1427877.505
9510.0,1337935.5334,6070317.1312,1427877.505
9540.0,1337935.5331,6070317.131,1427877.505
9570.0,1337935.5328,6070317.1307,1427877.5051
9600.0,1337935.5328,6070317.1305,1427877.5051
9630.0,1337935.5329,6070317.1304,1427877.5051
9660.0,1337935.5332,6070317.1303,1427877.5051
9690.0,1337935.5334,6070317.1303,1427877.5052
9720.0,1337935.5338,6070317.1303,1427877.5051
9750.0,1337935.5339,6070317.1303,1427877.5051
9780.0,1337935.534,6070317.1303,1427877.5052
9810.0,1337935.5344,6070317.1304,1427877.5052
9840.0,1337935.5346,6070317.1303,1427877.5053
9870.0,1337935.5346,6070317.1302,1427877.5053
9900.0,1337935.5348,6070317.1301,1427877.5054
9930.0,1337935.5349,6070317.1297,1427877.5053
9960.0,1337935.5352,6070317.1293,1427877.5052
9990.0,1337935.5354,6070317.1287,1427877.5052
10020.0,1337935.5359,6070317.1284,1427877.5051
10050.0,1337935.5368,6070317.1283,1427877.5052
10080.0,1337935.5382,6070317.1288,1427877.5053
10110.0,1337935.5401,6070317.1295,1427877.5054
10140.0,1337935.541,6070317.1299,1427877.5054
10170.0,1337935.542,6070317.13,1427877.5055
10200.0,1337935.5419,6070317.1297,1427877.5054
10230.0,1337935.5421,6070317.1296,1427877.5054
10260.0,1337935.5431,6070317.1302,1427877.5054
10290.0,1337935.5432,6070317.1305,1427877.5054
10320.0,1337935.5433,6070317.1312,1427877.5053
10350.0,1337935.5432,6070317.1316,1427877.5053
10380.0,1337935.5429,6070317.1317,1427877.5052
10410.0,1337935.543,6070317.1315,1427877.5051
10440.0,1337935.5432,6070317.1315,1427877.5051
10470.0,1337935.5428,6070317.1318,1427877.505
10500.0,1337935.5428,6070317.1322,1427877.505
10530.0,1337935.543,6070317.1329,1427877.5051
10560.0,1337935.5429,6070317.1339,1427877.5052
10590.0,1337935.5429,6070317.1343,1427877.5053
10620.0,1337935.5426,6070317.1349,1427877.5053
10650.0,1337935.5419,6070317.1352,1427877.5053
10680.0,1337935.5405,6070317.1354,1427877.5052
10710.0,1337935.5391,6070317.1356,1427877.5051
10740.0,1337935.5376,6070317.1355,1427877.505
10770.0,1337935.5368,6070317.1351,1427877.5049
10800.0,1337935.5365,6070317.135,1427877.5047
10830.0,1337935.536,6070317.1348,1427877.5046
10860.0,1337935.5355,6070317.1346,1427877.5045
10890.0,1337935.5351,6070317.1343,1427877.5044
10920.0,1337935.5353,6070317.1343,1427877.5044
10950.0,1337935.5355,6070317.1341,1427877.5044
10980.0,1337935.5355,6070317.1341,1427877.5044
11010.0,1337935.5355,6070317.134,1427877.5044
11040.0,1337935.5354,6070317.1338,1427877.5043
11070.0,1337935.5352,6070317.1331,1427877.5042
11100.0,1337935.5348,6070317.1326,1427877.5041
11130.0,1337935.5346,6070317.1323,1427877.5041
11160.0,1337935.5342,6070317.132,1427877.504
11190.0,1337935.5339,6070317.1316,1427877.5039
11220.0,1337935.5333,6070317.1311,1427877.5038
11250.0,1337935.5328,6070317.1311,1427877.5039
11280.0,1337935.5324,6070317.1314,1427877.5039
11310.0,1337935.5323,6070317.1319,1427877.504
11340.0,1337935.5314,6070317.1317,1427877.5039
11370.0,1337935.5303,6070317.1316,1427877.5038
11400.0,1337935.5291,6070317.1321,1427877.5039
11430.0,1337935.5281,6070317.1321,1427877.5038
11460.0,1337935.5279,6070317.132,1427877.5038
11490.0,1337935.5278,6070317.132,1427877.5038
11520.0,1337935.5278,6070317.1322,1427877.5038
11550.0,1337935.5278,6070317.1322,1427877.5038
11580.0,1337935.5277,6070317.1319,1427877.5038
11610.0,1337935.5277,6070317.1317,1427877.5037
11640.0,1337935.5277,6070317.1317,1427877.5037
11670.0,1337935.5279,6070317.1318,1427877.5037
11700.0,1337935.5281,6070317.1318,1427877.5037
11730.0,1337935.5284,6070317.1319,1427877.5037
11760.0,1337935.5286,6070317.1319,1427877.5038
11790.0,1337935.529,6070317.132,1427877.5038
11820.0,1337935.5295,6070317.132,1427877.5037
11850.0,1337935.5299,6070317.1321,1427877.5037
11880.0,1337935.5301,6070317.1322,1427877.5038
11910.0,1337935.5305,6070317.1324,1427877.5038
11940.0,1337935.5308,6070317.1324,1427877.5037
11970.0,1337935.5311,6070317.1324,1427877.5037
12000.0,1337935.5312,6070317.1323,1427877.5037
12030.0,1337935.5313,6070317.1323,1427877.5037
12060.0,1337935.5314,6070317.1323,1427877.5036
12090.0,1337935.5314,6070317.1324,1427877.5036
12120.0,1337935.5314,6070317.1324,1427877.5036
12150.0,1337935.5313,6070317.1325,1427877.5036
12180.0,1337935.5313,6070317.1326,1427877.5036
12210.0,1337935.5314,6070317.1326,1427877.5036
12240.0,1337935.5315,6070317.1325,1427877.5035
12270.0,1337935.5315,6070317.1324,1427877.5035
12300.0,1337935.5314,6070317.1324,1427877.5035
12330.0,1337935.5314,6070317.1323,1427877.5035
12360.0,1337935.5316,6070317.1323,1427877.5035
12390.0,1337935.5317,6070317.1322,1427877.5035
12420.0,1337935.5318,6070317.1321,1427877.5035
12450.0,1337935.5319,6070317.1321,1427877.5035
12480.0,1337935.5319,6070317.1322,1427877.5035
12510.0,1337935.5317,6070317.1323,1427877.5035
12540.0,1337935.5315,6070317.1322,1427877.5035
12570.0,1337935.5312,6070317.1322,1427877.5036
12600.0,1337935.5309,6070317.1321,1427877.5036
12630.0,1337935.5308,6070317.1323,1427877.5036
12660.0,1337935.531,6070317.1325,1427877.5037
12690.0,1337935.5315,6070317.1328,1427877.5037
12720.0,1337935.5318,6070317.133,1427877.5038
12750.0,1337935.532,6070317.1332,1427877.5038
12780.0,1337935.5322,6070317.1334,1427877.5038
12810.0,1337935.5325,6070317.1334,1427877.5038
12840.0,1337935.5326,6070317.1334,1427877.5038
12870.0,1337935.5328,6070317.1333,1427877.5038
12900.0,1337935.533,6070317.1334,1427877.5038
12930.0,1337935.5332,6070317.1336,1427877.5038
12960.0,1337935.5332,6070317.1338,1427877.5039
12990.0,1337935.5332,6070317.1338,1427877.5039
13020.0,1337935.5335,6070317.1338,1427877.5039
13050.0,1337935.5336,6070317.1337,1427877.5039
13080.0,1337935.5335,6070317.1335,1427877.5038
13110.0,1337935.5335,6070317.1334,1427877.5038
13140.0,1337935.5332,6070317.1333,1427877.5038
13170.0,1337935.5329,6070317.1333,1427877.5038
13200.0,1337935.5324,6070317.1333,1427877.5038
13230.0,1337935.532,6070317.1333,1427877.5039
13260.0,1337935.5313,6070317.1332,1427877.5039
13290.0,1337935.5309,6070317.1331,1427877.5039
13320.0,1337935.5304,6070317.133,1427877.5039
13350.0,1337935.53,6070317.1329,1427877.5039
13380.0,1337935.5293,6070317.1327,1427877.5039
13410.0,1337935.5287,6070317.1325,1427877.5039
13440.0,1337935.5283,6070317.1325,1427877.5039
13470.0,1337935.528,6070317.1325,1427877.5039
13500.0,1337935.5278,6070317.1325,1427877.504
13530.0,1337935.5278,6070317.1325,1427877.504
13560.0,1337935.5276,6070317.1325,1427877.504
13590.0,1337935.5277,6070317.1325,1427877.504
13620.0,1337935.5278,6070317.1325,1427877.5041
13650.0,1337935.5278,6070317.1325,1427877.5041
13680.0,1337935.528,6070317.1325,1427877.5041
13710.0,1337935.5281,6070317.1326,1427877.5041
13740.0,1337935.5283,6070317.1326,1427877.504
13770.0,1337935.5285,6070317.1327,1427877.504
13800.0,1337935.5287,6070317.1328,1427877.504
13830.0,1337935.529,6070317.133,1427877.504
13860.0,1337935.5292,6070317.1332,1427877.5041
13890.0,1337935.5293,6070317.1334,1427877.5041
13920.0,1337935.5294,6070317.1333,1427877.5041
13950.0,1337935.5296,6070317.1332,1427877.5041
13980.0,1337935.5299,6070317.1331,1427877.5041
14010.0,1337935.53,6070317.1328,1427877.504
14040.0,1337935.53,6070317.1325,1427877.5039
14070.0,1337935.53,6070317.1321,1427877.5038
14100.0,1337935.5297,6070317.1317,1427877.5038
14130.0,1337935.5295,6070317.1314,1427877.5037
14160.0,1337935.5295,6070317.1311,1427877.5037
14190.0,1337935.5295,6070317.1309,1427877.5036
14220.0,1337935.5295,6070317.1306,1427877.5036
14250.0,1337935.5296,6070317.1303,1427877.5035
14280.0,1337935.5297,6070317.1301,1427877.5035
14310.0,1337935.5299,6070317.1299,1427877.5034
14340.0,1337935.5301,6070317.1298,1427877.5034
14370.0,1337935.5302,6070317.1298,1427877.5034
14400.0,1337935.5302,6070317.1298,1427877.5035
14430.0,1337935.5304,6070317.1298,1427877.5035
14460.0,1337935.5306,6070317.1299,1427877.5034
14490.0,1337935.5306,6070317.1298,1427877.5034
14520.0,1337935.5306,6070317.1298,1427877.5034
14550.0,1337935.5306,6070317.1298,1427877.5034
14580.0,1337935.5306,6070317.1299,1427877.5035
14610.0,1337935.5306,6070317.13,1427877.5035
14640.0,1337935.5307,6070317.13,1427877.5035
14670.0,1337935.5308,6070317.1303,1427877.5035
14700.0,1337935.5309,6070317.1304,1427877.5036
14730.0,1337935.5311,6070317.1305,1427877.5036
14760.0,1337935.5313,6070317.1308,1427877.5037
14790.0,1337935.5313,6070317.1311,1427877.5037
14820.0,1337935.5313,6070317.1315,1427877.5038
14850.0,1337935.5314,6070317.1319,1427877.504
14880.0,1337935.5314,6070317.1321,1427877.5041
14910.0,1337935.5312,6070317.1322,1427877.5042
14940.0,1337935.531,6070317.1322,1427877.5042
14970.0,1337935.5308,6070317.1325,1427877.5043
15000.0,1337935.5307,6070317.1326,1427877.5044
15030.0,1337935.5305,6070317.1327,1427877.5045
15060.0,1337935.5303,6070317.1328,1427877.5045
15090.0,1337935.5302,6070317.1329,1427877.5046
15120.0,1337935.5301,6070317.1329,1427877.5046
15150.0,1337935.5302,6070317.1331,1427877.5047
15180.0,1337935.5301,6070317.1331,1427877.5047
15210.0,1337935.53,6070317.133,1427877.5047
15240.0,1337935.5299,6070317.1329,1427877.5047
15270.0,1337935.5297,6070317.1327,1427877.5048
15300.0,1337935.5297,6070317.1326,1427877.5048
15330.0,1337935.5299,6070317.1326,1427877.5048
15360.0,1337935.53,6070317.1328,1427877.5048
15390.0,1337935.5301,6070317.1327,1427877.5048
15420.0,1337935.53,6070317.1325,1427877.5048
15450.0,1337935.53,6070317.1324,1427877.5048
15480.0,1337935.5299,6070317.1324,1427877.5048
15510.0,1337935.5299,6070317.1323,1427877.5049
15540.0,1337935.5298,6070317.1324,1427877.5049
15570.0,1337935.5297,6070317.1323,1427877.5049
15600.0,1337935.5296,6070317.1322,1427877.505
15630.0,1337935.5294,6070317.1321,1427877.505
15660.0,1337935.5292,6070317.1319,1427877.5051
15690.0,1337935.529,6070317.1319,1427877.5051
15720.0,1337935.5289,6070317.1318,1427877.5051
15750.0,1337935.5286,6070317.1317,1427877.5052
15780.0,1337935.5284,6070317.1314,1427877.5051
15810.0,1337935.5281,6070317.131,1427877.5051
15840.0,1337935.5278,6070317.1307,1427877.505
15870.0,1337935.5276,6070317.1305,1427877.505
15900.0,1337935.5274,6070317.1302,1427877.5049
15930.0,1337935.5272,6070317.1297,1427877.5048
15960.0,1337935.527,6070317.1293,1427877.5047
15990.0,1337935.5268,6070317.1289,1427877.5047
16020.0,1337935.5266,6070317.1286,1427877.5047
16050.0,1337935.5266,6070317.1285,1427877.5047
16080.0,1337935.5265,6070317.1283,1427877.5046
16110.0,1337935.5264,6070317.1281,1427877.5046
16140.0,1337935.5263,6070317.128,1427877.5046
16170.0,1337935.5263,6070317.1281,1427877.5045
16200.0,1337935.5263,6070317.1282,1427877.5046
16230.0,1337935.5263,6070317.1282,1427877.5045
16260.0,1337935.5262,6070317.1281,1427877.5045
16290.0,1337935.5263,6070317.1284,1427877.5046
16320.0,1337935.5262,6070317.1283,1427877.5047
16350.0,1337935.5262,6070317.1282,1427877.5047
16380.0,1337935.5262,6070317.1283,1427877.5048
16410.0,1337935.5261,6070317.1282,1427877.5048
16440.0,1337935.526,6070317.1284,1427877.5049
16470.0,1337935.526,6070317.1286,1427877.505
16500.0,1337935.5259,6070317.1285,1427877.5051
