SOD,nGPS,nGal,NL_count,WL_count,n_sats,GPS_NE_frac,gal_sig_scale,Gal_leverage,sigma_U_comb_mm,sigma_U_GPS_mm,ISB_m,P_ISB_m2,ISB_observable,ZWD_m,P_ZWD_m2,corr_U_ZWD,corr_mean_60ep,Q_ZWD_m2s,decorr_active,trace_P_pos_m2,nml_sc_gps,nml_sc_gal
46800.0,8,3,0,2,11,0.7481,1.0000,162.581,14.72,2393.91,+1.458985,0.004286,1,0.119745,0.00003116,-0.0357,0.0377,5.000e-11,0,0.001132,1.0098,0.9902
46860.0,9,3,0,2,12,0.7658,1.0000,98.693,14.72,1452.64,+1.457402,0.004303,1,0.119777,0.00003112,-0.0356,0.0376,5.000e-11,0,0.001132,1.0143,0.9857
46920.0,9,3,0,2,12,0.8745,1.0000,101.630,14.71,1495.26,+1.461384,0.004042,1,0.119807,0.00003108,-0.0356,0.0375,5.000e-11,0,0.001126,1.0000,1.0000
46980.0,9,3,0,2,12,0.7812,1.0000,100.146,14.71,1472.86,+1.461788,0.003984,1,0.119812,0.00003103,-0.0355,0.0375,5.000e-11,0,0.001125,1.0050,0.9950
47040.0,9,3,0,2,12,0.5203,1.0000,104.770,14.70,1540.28,+1.460454,0.003978,1,0.119779,0.00003099,-0.0355,0.0374,5.000e-11,0,0.001124,1.0000,1.0000
47100.0,9,3,0,2,12,0.8203,1.0000,117.271,14.70,1723.42,+1.449823,0.003946,1,0.119764,0.00003095,-0.0354,0.0373,5.000e-11,0,0.001124,1.0050,0.9950
47160.0,9,3,0,2,12,0.8212,1.0000,127.511,14.69,1873.20,+1.445825,0.003953,1,0.119774,0.00003091,-0.0353,0.0372,5.000e-11,0,0.001124,1.0098,0.9902
47220.0,9,3,0,2,12,0.7930,1.0000,127.916,14.69,1878.46,+1.443748,0.003973,1,0.119760,0.00003087,-0.0353,0.0372,5.000e-11,0,0.001124,1.0143,0.9857
47280.0,9,3,0,2,12,0.7951,1.0000,128.251,14.68,1882.70,+1.444448,0.003999,1,0.119738,0.00003083,-0.0352,0.0371,5.000e-11,0,0.001124,1.0185,0.9815
47340.0,9,3,0,2,12,0.7974,1.0000,128.543,14.67,1886.29,+1.442122,0.004026,1,0.119758,0.00003079,-0.0351,0.0370,5.000e-11,0,0.001124,1.0226,0.9774
47400.0,9,3,0,2,12,0.8004,1.0000,125.448,14.67,1840.22,+1.439875,0.004053,1,0.119754,0.00003074,-0.0351,0.0370,5.000e-11,0,0.001124,1.0265,0.9735
47460.0,9,3,0,2,12,0.9504,1.0000,133.495,14.66,1957.56,+1.439560,0.004081,1,0.119751,0.00003070,-0.0350,0.0369,5.000e-11,0,0.001124,1.0000,1.0000
47520.0,9,3,0,2,12,0.8491,1.0000,134.504,14.66,1971.64,+1.439443,0.004108,1,0.119732,0.00003066,-0.0349,0.0368,5.000e-11,0,0.001124,1.0050,0.9950
47580.0,9,3,0,2,12,0.8493,1.0000,139.534,14.65,2044.67,+1.438471,0.004135,1,0.119718,0.00003062,-0.0349,0.0368,5.000e-11,0,0.001124,1.0098,0.9902
47640.0,9,3,0,2,12,0.8298,1.0000,138.351,14.65,2026.61,+1.436751,0.004160,1,0.119689,0.00003058,-0.0348,0.0367,5.000e-11,0,0.001124,1.0143,0.9857
47700.0,9,3,0,2,12,0.9573,1.0000,151.063,14.64,2212.05,+1.436063,0.004186,1,0.119682,0.00003054,-0.0347,0.0366,5.000e-11,0,0.001124,1.0000,1.0000
47760.0,9,3,0,2,12,0.8458,1.0000,145.259,14.64,2126.33,+1.435790,0.004211,1,0.119698,0.00003050,-0.0347,0.0366,5.000e-11,0,0.001124,1.0050,0.9950
47820.0,9,3,0,2,12,0.5095,1.0000,123.833,14.63,1812.06,+1.436563,0.004131,1,0.119658,0.00003046,-0.0346,0.0365,5.000e-11,0,0.001122,1.0000,1.0000
47880.0,9,3,0,2,12,0.8017,1.0000,163.414,14.63,2390.43,+1.433533,0.004114,1,0.119646,0.00003042,-0.0346,0.0364,5.000e-11,0,0.001122,1.0050,0.9950
47940.0,9,3,0,2,12,0.8958,1.0000,162.369,14.62,2374.29,+1.431691,0.004120,1,0.119613,0.00003037,-0.0346,0.0364,5.000e-11,0,0.001121,1.0000,1.0000
48000.0,9,3,0,2,12,0.4936,1.0000,105.113,14.62,1536.53,+1.428949,0.004029,1,0.119615,0.00003033,-0.0345,0.0363,5.000e-11,0,0.001119,1.0000,1.0000
48060.0,9,3,0,2,12,0.8158,1.0000,173.810,14.61,2539.95,+1.426405,0.003996,1,0.119616,0.00003029,-0.0344,0.0363,5.000e-11,0,0.001119,1.0050,0.9950
48120.0,10,3,0,2,13,0.8339,1.0000,127.525,14.61,1862.98,+1.423516,0.004001,1,0.119603,0.00003026,-0.0343,0.0362,5.000e-11,0,0.001119,1.0098,0.9902
48180.0,10,3,0,2,13,0.9659,1.0000,120.335,14.60,1757.40,+1.422706,0.004023,1,0.119583,0.00003022,-0.0342,0.0361,5.000e-11,0,0.001119,1.0000,1.0000
48240.0,10,3,0,2,13,0.8320,1.0000,126.690,14.60,1849.64,+1.418348,0.004051,1,0.119572,0.00003018,-0.0341,0.0361,5.000e-11,0,0.001120,1.0050,0.9950
48300.0,10,3,0,2,13,0.8346,1.0000,125.309,14.60,1828.92,+1.417639,0.004082,1,0.119560,0.00003014,-0.0340,0.0360,5.000e-11,0,0.001120,1.0098,0.9902
48360.0,10,3,0,2,13,0.4955,1.0000,144.884,14.59,2113.98,+1.416325,0.004025,1,0.119556,0.00003010,-0.0339,0.0359,5.000e-11,0,0.001119,1.0000,1.0000
48420.0,10,3,0,2,13,0.5081,1.0000,145.490,14.59,2122.19,+1.413572,0.004037,1,0.119549,0.00003006,-0.0338,0.0359,5.000e-11,0,0.001119,1.0000,1.0000
48480.0,9,3,0,2,12,0.8530,1.0000,264.239,14.58,3853.16,+1.410575,0.004011,1,0.119536,0.00003002,-0.0337,0.0358,5.000e-11,0,0.001119,1.0050,0.9950
48540.0,9,3,0,2,12,0.5096,1.0000,268.406,14.58,3912.77,+1.412015,0.004020,1,0.119546,0.00002999,-0.0336,0.0357,5.000e-11,0,0.001119,1.0000,1.0000
48600.0,9,3,0,2,12,0.8635,1.0000,275.481,14.57,4014.73,+1.413273,0.004001,1,0.119534,0.00002995,-0.0335,0.0357,5.000e-11,0,0.001119,1.0050,0.9950
48660.0,9,3,0,2,12,0.8664,1.0000,280.231,14.57,4082.76,+1.413583,0.004011,1,0.119536,0.00002991,-0.0334,0.0356,5.000e-11,0,0.001119,1.0098,0.9902
48720.0,9,3,0,2,12,0.8694,1.0000,283.124,14.57,4123.71,+1.410518,0.004035,1,0.119519,0.00002987,-0.0333,0.0355,5.000e-11,0,0.001119,1.0143,0.9857
48780.0,9,3,0,2,12,0.8726,1.0000,284.030,14.56,4135.72,+1.409430,0.004065,1,0.119512,0.00002984,-0.0332,0.0355,5.000e-11,0,0.001119,1.0185,0.9815
