SOD,nGPS,nGal,GPS_NE_up,Gal_NE_up,GPS_NE_frac,ISB_val,ISB_P,ISB_delta,ISB_P_reduction,ISB_gain_proxy,GPS_only_sigma_U_mm,combined_sigma_U_mm,Gal_leverage_ratio,GPS_ph_rms_mm,Gal_ph_rms_mm,gal_sig_scale,nml_sc_gps,nml_sc_gal,ISB_observable
16680.0,11,4,123.3683,328.8368,0.2728,+1.768959,0.004949,-0.002665,+0.000047,-0.0487,3122.60,75.96,41.1062,517.602,40.667,1.0000,1.0000,1.0000,1
16740.0,11,4,45.4634,37.9270,0.5452,+1.766472,0.004950,-0.002487,+0.000059,-0.0497,3230.66,75.88,42.5750,610.786,66.605,1.0000,1.0000,1.0000,1
16800.0,11,4,555.4436,461.4151,0.5462,+1.760550,0.004916,-0.005922,+0.000093,-0.0585,2636.60,75.73,34.8161,345.349,86.097,1.0000,1.0000,1.0000,1
16860.0,10,4,44.3711,37.3931,0.5427,+1.761001,0.004903,+0.000450,+0.000073,+0.0628,3512.56,75.62,46.4480,43.809,25.803,1.0000,1.0000,1.0000,1
16920.0,11,4,417.5765,37.1275,0.9183,+1.762401,0.004896,+0.001400,+0.000068,+0.0250,3449.50,75.46,45.7156,69.957,57.803,1.0000,1.0000,1.0000,1
16980.0,11,4,43.2448,36.8630,0.5398,+1.762035,0.004907,-0.000365,+0.000048,-0.0035,3523.47,75.36,46.7539,107.471,105.545,1.0000,1.0050,0.9950,1
17040.0,11,4,42.1376,36.9684,0.5327,+1.765627,0.004922,+0.003592,+0.000045,+0.6378,3775.37,75.28,50.1521,97.791,103.023,1.0000,1.0098,0.9902,1
17100.0,11,4,237.4018,37.0565,0.8650,+1.762325,0.004937,-0.003303,+0.000045,-1.1888,4565.88,75.19,60.7272,566.113,103.552,1.0000,1.0000,1.0000,1
17160.0,10,4,219.2070,164.4930,0.5713,+1.762313,0.004948,-0.000012,+0.000048,-0.0001,4622.91,75.09,61.5633,1400.277,125.419,1.0000,1.0000,1.0000,1
17220.0,10,4,40.2965,35.8172,0.5294,+1.761599,0.004963,-0.000714,+0.000045,-0.0344,5342.33,75.01,71.2212,229.539,117.087,1.0000,1.0050,0.9950,1
17280.0,10,4,40.4767,35.9175,0.5298,+1.759751,0.004978,-0.001848,+0.000046,-0.0299,5286.15,74.93,70.5450,72.664,106.698,1.0000,1.0098,0.9902,1
17340.0,10,4,1525.5504,588.6681,0.7216,+1.764358,0.004974,+0.004607,+0.000063,+0.0268,2880.11,74.85,38.4767,67.799,83.215,1.0000,1.0000,1.0000,1
17400.0,10,4,48.3613,35.0480,0.5798,+1.763257,0.004991,-0.001102,+0.000044,-0.0656,5922.25,74.78,79.1964,186.350,13.091,1.0000,1.0050,0.9950,1
17460.0,10,4,568.7843,2213.5978,0.2044,+1.760813,0.004928,-0.002444,+0.000123,-0.0452,3939.28,74.67,52.7524,471.422,132.798,1.0000,1.0000,1.0000,1
17520.0,10,4,31.9749,34.5433,0.4807,+1.753718,0.004928,-0.007095,+0.000060,-0.0791,5397.91,74.59,72.3687,63.051,30.382,1.0000,0.9950,1.0050,1
17580.0,10,4,58.1663,33.9531,0.6314,+1.755748,0.004935,+0.002030,+0.000053,+0.0160,3941.76,74.51,52.9040,66.298,93.242,1.0000,0.9902,1.0098,1
17640.0,10,4,286.0377,33.3911,0.8955,+1.753521,0.004946,-0.002228,+0.000049,-0.0487,3303.41,74.37,44.4180,175.958,90.124,1.0000,1.0000,1.0000,1
17700.0,10,4,31.4032,33.7991,0.4816,+1.753222,0.004961,-0.000298,+0.000045,-0.0078,4452.74,74.27,59.9520,288.150,97.464,1.0000,1.0000,1.0000,1
17760.0,9,4,109.0626,437.1800,0.1997,+1.749939,0.004928,-0.003284,+0.000093,-0.0375,5809.77,74.14,78.3650,1381.994,92.665,1.0000,1.0000,1.0000,1
17820.0,9,4,104.7908,33.3117,0.7588,+1.750352,0.004930,+0.000414,+0.000058,+0.0028,4871.42,74.03,65.8022,93.459,32.238,1.0000,1.0000,1.0000,1
17880.0,9,4,25.2297,33.0707,0.4328,+1.754376,0.004939,+0.004024,+0.000051,+14.8952,4865.55,73.93,65.8115,53.508,30.913,1.0000,0.9955,1.0045,1
17940.0,9,4,25.7761,32.5373,0.4420,+1.753558,0.004953,-0.000818,+0.000047,-0.0150,4639.59,73.84,62.8351,70.860,48.958,1.0000,0.9912,1.0088,1
18000.0,9,4,25.4138,445.9311,0.0539,+1.746948,0.004956,-0.006610,+0.000056,-2.8753,5836.21,73.75,79.1385,104.300,94.899,1.0000,1.0000,1.0000,1
18060.0,9,4,26.2214,32.3579,0.4476,+1.744457,0.004961,-0.002491,+0.000055,-0.5329,4291.17,73.65,58.2647,64.736,23.275,1.0000,0.9950,1.0050,1
18120.0,9,4,405.2768,31.8049,0.9272,+1.739594,0.004958,-0.004863,+0.000064,-0.1281,5062.41,73.42,68.9487,128.464,100.589,1.0000,1.0000,1.0000,1
18180.0,9,4,282.1142,981.3704,0.2233,+1.738024,0.004899,-0.001570,+0.000119,-0.0144,3964.62,73.14,54.2027,121.232,75.132,1.0000,1.0000,1.0000,1
18240.0,9,4,866.6515,31.6601,0.9648,+1.740602,0.004878,+0.002578,+0.000081,+0.0432,4675.38,72.94,64.1018,99.148,9.994,1.0000,1.0000,1.0000,1
18300.0,9,4,40.5712,31.4306,0.5635,+1.738688,0.004880,-0.001914,+0.000058,-0.0735,5244.93,72.77,72.0711,131.308,74.803,1.0000,1.0000,1.0000,1
18360.0,9,4,28.1876,31.2027,0.4746,+1.736168,0.004891,-0.002519,+0.000049,-0.0243,3574.55,72.65,49.2034,168.009,108.209,1.0000,1.0000,1.0000,1
18420.0,9,4,71.8143,30.9761,0.6986,+1.737805,0.004908,+0.001637,+0.000043,+0.0297,4883.62,72.54,67.3201,128.320,80.194,1.0000,1.0000,1.0000,1
18480.0,9,4,28.3499,491.7487,0.0545,+1.734229,0.004918,-0.003577,+0.000050,-0.0875,5073.43,72.42,70.0532,83.977,53.790,1.0000,1.0000,1.0000,1
18540.0,9,4,185.1479,30.5270,0.8585,+1.731902,0.004933,-0.002327,+0.000045,-0.0167,4745.06,72.31,65.6212,250.140,60.018,1.0000,1.0000,1.0000,1
18600.0,9,4,34.5220,30.3043,0.5325,+1.730794,0.004948,-0.001108,+0.000045,-0.0069,3184.86,72.21,44.1046,73.914,44.527,1.0000,1.0000,1.0000,1
18660.0,9,4,35.4560,30.0828,0.5410,+1.727682,0.004963,-0.003112,+0.000044,-0.0775,3088.33,72.12,42.8234,96.712,88.081,1.0000,1.0000,1.0000,1
18720.0,9,4,362.1376,29.8624,0.9238,+1.726604,0.004979,-0.001078,+0.000044,-0.0341,4197.63,72.02,58.2823,147.042,123.220,1.0000,1.0000,1.0000,1
18780.0,9,4,37.4334,29.6430,0.5581,+1.722289,0.004993,-0.004315,+0.000046,-0.0567,2911.46,71.92,40.4797,101.742,94.858,1.0000,1.0050,0.9950,1
18840.0,9,4,57.6818,29.7209,0.6600,+1.724088,0.005007,+0.001799,+0.000046,+0.0199,4711.24,71.83,65.5877,129.981,89.660,1.0000,1.0098,0.9902,1
