SOD,sat,event_type,corr_frac,sigma
2400.0,G16,SKIP_SIGMA,+0.3142,0.1121
2430.0,G03,SKIP_SIGMA,-0.2819,0.1191
2430.0,G16,SKIP_SIGMA,+0.2944,0.1114
2460.0,G03,SKIP_SIGMA,-0.3327,0.1183
2460.0,G16,SKIP_SIGMA,+0.2087,0.1079
2490.0,G03,SKIP_SIGMA,-0.3931,0.1171
2490.0,G16,SKIP_SIGMA,+0.0677,0.1065
2520.0,G03,SKIP_SIGMA,-0.3297,0.1163
2520.0,G16,SKIP_SIGMA,+0.0187,0.1057
2550.0,G03,SKIP_SIGMA,-0.2694,0.1152
2550.0,G16,SKIP_SIGMA,+0.0732,0.1047
2580.0,G03,SKIP_SIGMA,-0.3115,0.1145
2580.0,G16,SKIP_SIGMA,+0.0633,0.1039
2610.0,G03,SKIP_SIGMA,-0.2743,0.1138
2610.0,G16,SKIP_SIGMA,+0.1438,0.1033
2640.0,G03,SKIP_SIGMA,-0.1823,0.1131
2640.0,G16,SKIP_SIGMA,+0.2477,0.1024
2670.0,G03,SKIP_SIGMA,-0.1609,0.1124
2670.0,G16,SKIP_SIGMA,+0.2369,0.1017
2700.0,G03,SKIP_SIGMA,-0.1942,0.1117
2700.0,G16,SKIP_SIGMA,+0.1777,0.1011
2730.0,G03,SKIP_SIGMA,-0.2631,0.1111
2730.0,G16,SKIP_SIGMA,+0.1144,0.1006
2760.0,G03,SKIP_SIGMA,-0.2723,0.1104
2760.0,G16,SKIP_SIGMA,+0.1118,0.1000
2790.0,G03,SKIP_SIGMA,-0.2614,0.1098
2790.0,G16,SKIP_SIGMA,+0.1711,0.0995
2820.0,G03,SKIP_SIGMA,-0.2804,0.1092
2820.0,G16,SKIP_SIGMA,+0.2415,0.0990
2850.0,G03,SKIP_SIGMA,-0.2261,0.1086
2850.0,G16,SKIP_SIGMA,+0.3227,0.0985
2880.0,G03,SKIP_SIGMA,-0.2711,0.1078
2880.0,G16,SKIP_SIGMA,+0.3030,0.0980
2910.0,G03,SKIP_SIGMA,-0.2298,0.1072
2910.0,G16,SKIP_SIGMA,+0.2914,0.0976
2940.0,G03,SKIP_SIGMA,-0.2193,0.1066
2940.0,G16,SKIP_SIGMA,+0.3032,0.0972
2970.0,G03,SKIP_SIGMA,-0.2001,0.1060
2970.0,G16,SKIP_SIGMA,+0.2798,0.0967
3000.0,G03,SKIP_SIGMA,-0.2221,0.1054
3000.0,G16,SKIP_SIGMA,+0.2142,0.0963
3030.0,G03,SKIP_SIGMA,-0.2727,0.1048
3030.0,G16,SKIP_SIGMA,+0.1911,0.0959
3060.0,G03,SKIP_SIGMA,-0.2786,0.1042
3060.0,G16,SKIP_SIGMA,+0.1921,0.0954
3090.0,G03,SKIP_SIGMA,-0.2356,0.1037
3090.0,G16,SKIP_SIGMA,+0.2413,0.0950
3120.0,G03,SKIP_SIGMA,-0.1825,0.1033
3120.0,G16,SKIP_SIGMA,+0.3007,0.0946
3150.0,G03,SKIP_SIGMA,-0.1319,0.1028
3150.0,G16,SKIP_SIGMA,+0.3341,0.0942
3180.0,G03,SKIP_SIGMA,-0.1326,0.1021
3180.0,G16,SKIP_SIGMA,+0.3856,0.0938
3210.0,G03,SKIP_SIGMA,-0.1105,0.1016
3210.0,G16,SKIP_SIGMA,+0.4287,0.0934
3240.0,G03,SKIP_SIGMA,-0.1194,0.1011
3240.0,G16,SKIP_SIGMA,+0.4347,0.0931
3270.0,G03,SKIP_SIGMA,-0.1105,0.1007
3270.0,G16,SKIP_SIGMA,+0.4436,0.0927
3300.0,G03,SKIP_SIGMA,-0.1584,0.1001
3300.0,G16,SKIP_SIGMA,+0.4195,0.0916
3330.0,G03,SKIP_SIGMA,-0.1427,0.0996
3330.0,G16,SKIP_SIGMA,+0.4541,0.0911
3360.0,G03,SKIP_SIGMA,-0.0673,0.0990
3360.0,G16,SKIP_SIGMA,+0.4929,0.0904
3390.0,G03,SKIP_SIGMA,-0.0117,0.0984
3390.0,G16,SKIP_SIGMA,-0.4695,0.0899
3420.0,G03,SKIP_SIGMA,-0.0013,0.0980
3420.0,G16,SKIP_SIGMA,+0.4998,0.0895
3450.0,G03,SKIP_SIGMA,-0.0113,0.0976
3450.0,G16,SKIP_SIGMA,+0.4750,0.0891
3480.0,G03,SKIP_SIGMA,+0.0178,0.0972
3480.0,G16,SKIP_SIGMA,+0.4746,0.0887
3510.0,G03,SKIP_SIGMA,+0.0016,0.0968
3510.0,G16,SKIP_SIGMA,+0.4323,0.0883
3540.0,G03,SKIP_SIGMA,+0.0128,0.0965
3540.0,G16,SKIP_SIGMA,+0.4211,0.0880
3570.0,G03,SKIP_SIGMA,+0.0716,0.0961
3570.0,G16,SKIP_SIGMA,+0.4506,0.0876
3600.0,G03,SKIP_SIGMA,+0.0608,0.0955
3600.0,G16,SKIP_SIGMA,+0.4586,0.0867
3630.0,G03,SKIP_SIGMA,+0.0423,0.0951
3630.0,G16,SKIP_SIGMA,+0.4131,0.0863
3660.0,G03,SKIP_SIGMA,+0.0501,0.0947
3660.0,G16,SKIP_SIGMA,+0.4049,0.0859
3690.0,G03,SKIP_SIGMA,+0.0161,0.0944
3690.0,G16,SKIP_SIGMA,+0.3830,0.0855
3720.0,G03,SKIP_SIGMA,-0.0149,0.0941
3720.0,G16,SKIP_SIGMA,+0.0885,0.0852
3750.0,G03,SKIP_SIGMA,+0.0296,0.0932
3750.0,G16,SKIP_SIGMA,+0.0135,0.0842
3780.0,G03,SKIP_SIGMA,+0.0674,0.0929
3780.0,G16,SKIP_SIGMA,+0.0517,0.0839
3810.0,G03,SKIP_SIGMA,+0.0420,0.0925
3810.0,G16,SKIP_SIGMA,+0.0223,0.0835
3840.0,G03,SKIP_SIGMA,+0.0216,0.0922
3840.0,G16,SKIP_SIGMA,+0.0053,0.0832
3870.0,G03,SKIP_SIGMA,+0.0202,0.0919
3870.0,G16,SKIP_SIGMA,+0.0543,0.0829
3900.0,G03,SKIP_SIGMA,+0.0415,0.0915
3900.0,G16,SKIP_SIGMA,+0.1137,0.0826
3930.0,G03,SKIP_SIGMA,+0.0783,0.0912
3930.0,G16,SKIP_SIGMA,+0.1351,0.0823
3960.0,G03,SKIP_SIGMA,+0.0567,0.0909
3960.0,G16,SKIP_SIGMA,+0.0368,0.0817
3990.0,G03,SKIP_SIGMA,+0.0477,0.0906
3990.0,G16,SKIP_SIGMA,+0.0029,0.0814
4020.0,G03,SKIP_SIGMA,-0.0138,0.0900
4020.0,G16,SKIP_SIGMA,-0.0352,0.0807
4050.0,G03,SKIP_SIGMA,+0.0451,0.0896
4050.0,G16,SKIP_SIGMA,+0.0272,0.0800
4080.0,G03,SKIP_SIGMA,+0.0493,0.0891
4080.0,G16,SKIP_SIGMA,+0.0218,0.0797
4110.0,G03,SKIP_SIGMA,+0.0457,0.0888
4110.0,G16,SKIP_SIGMA,+0.0170,0.0794
4140.0,G03,SKIP_SIGMA,+0.0250,0.0884
4140.0,G16,SKIP_SIGMA,-0.0245,0.0791
4170.0,G03,SKIP_SIGMA,+0.0071,0.0881
4170.0,G16,SKIP_SIGMA,-0.0399,0.0788
4200.0,G03,SKIP_SIGMA,-0.0164,0.0877
4200.0,G16,SKIP_SIGMA,-0.0284,0.0785
4230.0,G03,SKIP_SIGMA,+0.0096,0.0874
4230.0,G16,SKIP_SIGMA,-0.0166,0.0782
4260.0,G03,SKIP_SIGMA,-0.0207,0.0871
4260.0,G16,SKIP_SIGMA,-0.0331,0.0780
4290.0,G03,SKIP_SIGMA,-0.0281,0.0868
4290.0,G16,SKIP_SIGMA,-0.0265,0.0777
4320.0,G03,SKIP_SIGMA,-0.0275,0.0866
4320.0,G16,SKIP_SIGMA,-0.0154,0.0775
4350.0,G03,SKIP_SIGMA,-0.0198,0.0863
4350.0,G16,SKIP_SIGMA,+0.0071,0.0772
4380.0,G03,SKIP_SIGMA,-0.0518,0.0859
4380.0,G16,SKIP_SIGMA,-0.0319,0.0769
4410.0,G03,SKIP_SIGMA,-0.0475,0.0856
4410.0,G16,SKIP_SIGMA,-0.0537,0.0767
4440.0,G03,SKIP_SIGMA,-0.0463,0.0854
4440.0,G16,SKIP_SIGMA,-0.0815,0.0764
4470.0,G03,SKIP_SIGMA,-0.0080,0.0851
4470.0,G16,SKIP_SIGMA,-0.0843,0.0762
4500.0,G03,SKIP_SIGMA,+0.0056,0.0849
4500.0,G16,SKIP_SIGMA,-0.0740,0.0760
4530.0,G03,SKIP_SIGMA,-0.0050,0.0846
4530.0,G16,SKIP_SIGMA,-0.0718,0.0758
4560.0,G03,SKIP_SIGMA,-0.0443,0.0843
4560.0,G16,SKIP_SIGMA,-0.0958,0.0755
4590.0,G03,SKIP_SIGMA,-0.1105,0.0838
4590.0,G16,SKIP_SIGMA,-0.1745,0.0751
4620.0,G03,SKIP_SIGMA,-0.0387,0.0835
4620.0,G16,SKIP_SIGMA,-0.1229,0.0748
4650.0,G03,SKIP_SIGMA,+0.0080,0.0833
4650.0,G16,SKIP_SIGMA,-0.0982,0.0746
4680.0,G03,SKIP_SIGMA,+0.0100,0.0829
4680.0,G16,SKIP_SIGMA,-0.0728,0.0742
4710.0,G03,SKIP_SIGMA,+0.0461,0.0825
4710.0,G16,SKIP_SIGMA,-0.0400,0.0740
4740.0,G03,SKIP_SIGMA,+0.0292,0.0822
4740.0,G16,SKIP_SIGMA,-0.0290,0.0737
4770.0,G03,SKIP_SIGMA,-0.0570,0.0817
4770.0,G16,SKIP_SIGMA,-0.0615,0.0733
