SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
4200.0,G03,-0.08625,-0.06985,-0.01640,0.0877,32,0
4200.0,G16,+0.29025,+0.31862,-0.02836,0.0785,26,0
4230.0,G03,-0.06027,-0.06985,+0.00958,0.0874,32,0
4230.0,G16,+0.30121,+0.31781,-0.01659,0.0782,27,0
4260.0,G03,-0.09056,-0.06985,-0.02071,0.0871,32,0
4260.0,G16,+0.28409,+0.31717,-0.03308,0.0780,28,0
4290.0,G03,-0.09180,-0.06372,-0.02808,0.0868,33,0
4290.0,G16,+0.29897,+0.32545,-0.02648,0.0777,29,0
4320.0,G03,-0.08561,-0.05816,-0.02745,0.0866,34,0
4320.0,G16,+0.31427,+0.32969,-0.01542,0.0775,30,0
4350.0,G03,-0.07017,-0.05038,-0.01980,0.0863,35,0
4350.0,G16,+0.33676,+0.32969,+0.00708,0.0772,30,0
4380.0,G03,-0.10213,-0.05038,-0.05175,0.0859,35,0
4380.0,G16,+0.29776,+0.32969,-0.03193,0.0769,30,0
4410.0,G03,-0.09607,-0.04858,-0.04749,0.0856,36,0
4410.0,G16,+0.27596,+0.32969,-0.05372,0.0767,30,0
4440.0,G03,-0.09362,-0.04729,-0.04633,0.0854,37,0
4440.0,G16,+0.24821,+0.32969,-0.08148,0.0764,30,0
4470.0,G03,-0.05533,-0.04729,-0.00804,0.0851,37,0
4470.0,G16,+0.24980,+0.33413,-0.08433,0.0762,31,0
4500.0,G03,-0.03793,-0.04351,+0.00559,0.0849,38,0
4500.0,G16,+0.25776,+0.33173,-0.07398,0.0760,32,0
4530.0,G03,-0.04358,-0.03863,-0.00495,0.0846,39,0
4530.0,G16,+0.25814,+0.32998,-0.07183,0.0758,33,0
4560.0,G03,-0.08290,-0.03863,-0.04428,0.0843,39,0
4560.0,G16,+0.23415,+0.32998,-0.09583,0.0755,33,0
4590.0,G03,-0.14912,-0.03863,-0.11050,0.0838,39,0
4590.0,G16,+0.15544,+0.32998,-0.17454,0.0751,33,0
4620.0,G03,-0.07728,-0.03863,-0.03866,0.0835,39,0
4620.0,G16,+0.20707,+0.32998,-0.12291,0.0748,33,0
4650.0,G03,-0.03066,-0.03863,+0.00796,0.0833,39,0
4650.0,G16,+0.23174,+0.32998,-0.09824,0.0746,33,0
4680.0,G03,-0.03009,-0.04012,+0.01003,0.0829,40,0
4680.0,G16,+0.25719,+0.32998,-0.07278,0.0742,33,0
4710.0,G03,+0.00601,-0.04012,+0.04613,0.0825,40,0
4710.0,G16,+0.29002,+0.32998,-0.03996,0.0740,33,0
4740.0,G03,-0.01093,-0.04010,+0.02917,0.0822,41,0
4740.0,G16,+0.30079,+0.32984,-0.02905,0.0737,34,0
