SOD,ISB_E_m,P_ISB_m2,NL_count,isb_reinitialized
12900.0,+1.796221,0.004747,0,0
12960.0,+1.793703,0.004741,0,0
13020.0,+1.790321,0.004698,0,0
13080.0,+1.787535,0.004697,0,0
13140.0,+1.788606,0.004508,0,0
13200.0,+1.787000,0.004507,0,0
13260.0,+1.779664,0.004451,0,0
13320.0,+1.783288,0.004444,0,0
13380.0,+1.786377,0.004445,0,0
13440.0,+1.792209,0.004430,0,0
13500.0,+1.793845,0.004436,0,0
13560.0,+1.790425,0.004448,0,0
13620.0,+1.794795,0.004459,0,0
13680.0,+1.795812,0.004468,0,0
13740.0,+1.798873,0.004478,0,0
13800.0,+1.796134,0.004490,0,0
13860.0,+1.796571,0.004496,0,0
13920.0,+1.795560,0.004505,0,0
13980.0,+1.794093,0.004514,0,0
14040.0,+1.791012,0.004482,0,0
14100.0,+1.794051,0.004481,0,0
14160.0,+1.795974,0.004487,0,0
14220.0,+1.796619,0.004494,0,0
14280.0,+1.801634,0.004501,0,0
14340.0,+1.802944,0.004457,0,0
14400.0,+1.798154,0.004456,0,0
14460.0,+1.797289,0.004462,0,0
14520.0,+1.794190,0.004470,0,0
14580.0,+1.792793,0.004472,0,0
14640.0,+1.792327,0.004476,0,0
14700.0,+1.789956,0.004480,0,0
14760.0,+1.793895,0.004491,0,0
14820.0,+1.795512,0.004498,0,0
14880.0,+1.802913,0.004474,0,0
14940.0,+1.798270,0.004480,0,0
15000.0,+1.797610,0.004489,0,0
15060.0,+1.796119,0.004501,0,0
15120.0,+1.797705,0.004512,0,0
15180.0,+1.799009,0.004523,0,0
15240.0,+1.798859,0.004557,0,0
15300.0,+1.798245,0.004591,0,0
15360.0,+1.797723,0.004614,0,0
15420.0,+1.795227,0.004646,0,0
15480.0,+1.793359,0.004678,0,0
15540.0,+1.795050,0.004710,0,0
15600.0,+1.793070,0.004733,0,0
15660.0,+1.791420,0.004755,0,0
15720.0,+1.789455,0.004777,0,0
15780.0,+1.790020,0.004798,0,0
15840.0,+1.789391,0.004810,0,0
15900.0,+1.790099,0.004829,0,0
15960.0,+1.788816,0.004848,0,0
16020.0,+1.785707,0.004869,0,0
16080.0,+1.782037,0.004886,0,0
16140.0,+1.781174,0.004904,0,0
16200.0,+1.778892,0.004921,0,0
16260.0,+1.776417,0.004937,0,0
16320.0,+1.773013,0.004953,0,0
16380.0,+1.771284,0.004937,0,0
16440.0,+1.771093,0.004934,0,0
16500.0,+1.773845,0.004927,0,0
16560.0,+1.773661,0.004935,0,0
16620.0,+1.771624,0.004935,0,0
16680.0,+1.768959,0.004949,0,0
16740.0,+1.766472,0.004950,0,0
16800.0,+1.760550,0.004916,0,0
16860.0,+1.761001,0.004903,0,0
16920.0,+1.762401,0.004896,0,0
16980.0,+1.762035,0.004907,0,0
17040.0,+1.765627,0.004922,0,0
17100.0,+1.762325,0.004937,0,0
17160.0,+1.762313,0.004948,0,0
17220.0,+1.761599,0.004963,0,0
17280.0,+1.759751,0.004978,0,0
17340.0,+1.764358,0.004974,0,0
17400.0,+1.763257,0.004991,0,0
17460.0,+1.760813,0.004928,0,0
17520.0,+1.753718,0.004928,0,0
17580.0,+1.755748,0.004935,0,0
17640.0,+1.753521,0.004946,0,0
17700.0,+1.753222,0.004961,0,0
17760.0,+1.749939,0.004928,0,0
17820.0,+1.750352,0.004930,0,0
17880.0,+1.754376,0.004939,0,0
17940.0,+1.753558,0.004953,0,0
18000.0,+1.746948,0.004956,0,0
18060.0,+1.744457,0.004961,0,0
18120.0,+1.739594,0.004958,0,0
18180.0,+1.738024,0.004899,0,0
18240.0,+1.740602,0.004878,0,0
18300.0,+1.738688,0.004880,0,0
18360.0,+1.736168,0.004891,0,0
18420.0,+1.737805,0.004908,0,0
18480.0,+1.734229,0.004918,0,0
18540.0,+1.731902,0.004933,0,0
18600.0,+1.730794,0.004948,0,0
18660.0,+1.727682,0.004963,0,0
18720.0,+1.726604,0.004979,0,0
18780.0,+1.722289,0.004993,0,0
18840.0,+1.724088,0.005007,0,0
18900.0,+1.723348,0.005017,0,0
18960.0,+1.722953,0.005026,0,0
19020.0,+1.722190,0.005035,0,0
19080.0,+1.716490,0.005043,0,0
19140.0,+1.714954,0.005050,0,0
19200.0,+1.713044,0.005014,0,0
19260.0,+1.716493,0.004941,0,0
19320.0,+1.719161,0.004895,0,0
19380.0,+1.718029,0.004883,0,0
19440.0,+1.716148,0.004890,0,0
19500.0,+1.722005,0.004880,0,0
19560.0,+1.720544,0.004889,0,0
19620.0,+1.719194,0.004888,0,0
19680.0,+1.712236,0.004887,0,0
19740.0,+1.714942,0.004892,0,0
19800.0,+1.712094,0.004899,0,0
19860.0,+1.710135,0.004903,0,0
19920.0,+1.708341,0.004893,0,0
19980.0,+1.703623,0.004892,0,0
20040.0,+1.701940,0.004895,0,0
20100.0,+1.697381,0.004896,0,0
20160.0,+1.695126,0.004896,0,0
20220.0,+1.692775,0.004897,0,0
20280.0,+1.693405,0.004883,0,0
20340.0,+1.689604,0.004876,0,0
20400.0,+1.684203,0.004862,0,0
20460.0,+1.685189,0.004777,0,0
20520.0,+1.685794,0.004749,0,0
20580.0,+1.688391,0.004739,0,0
20640.0,+1.684088,0.004737,0,0
20700.0,+1.683889,0.004739,0,0
20760.0,+1.680973,0.004742,0,0
20820.0,+1.678150,0.004745,0,0
20880.0,+1.675395,0.004748,0,0
20940.0,+1.670065,0.004718,0,0
21000.0,+1.668431,0.004635,0,0
21060.0,+1.665753,0.004604,0,0
21120.0,+1.661983,0.004596,0,0
21180.0,+1.660321,0.004598,0,0
21240.0,+1.653402,0.004571,0,0
21300.0,+1.648560,0.004484,0,0
21360.0,+1.648375,0.004456,0,0
21420.0,+1.646173,0.004452,0,0
21480.0,+1.637477,0.004450,0,0
21540.0,+1.633748,0.004439,0,0
21600.0,+1.634880,0.004427,0,0
21660.0,+1.636383,0.004434,0,0
21720.0,+1.634309,0.004447,0,0
21780.0,+1.633527,0.004464,0,0
21840.0,+1.632859,0.004466,0,0
21900.0,+1.634313,0.004477,0,0
21960.0,+1.629750,0.004492,0,0
22020.0,+1.631291,0.004509,0,0
22080.0,+1.627777,0.004425,0,0
22140.0,+1.627781,0.004411,0,0
22200.0,+1.629387,0.004416,0,0
22260.0,+1.631290,0.004423,0,0
22320.0,+1.634376,0.004437,0,0
22380.0,+1.631979,0.004450,0,0
22440.0,+1.630239,0.004465,0,0
22500.0,+1.629299,0.004481,0,0
22560.0,+1.629267,0.004496,0,0
22620.0,+1.628859,0.004511,0,0
22680.0,+1.626615,0.004529,0,0
22740.0,+1.621404,0.004540,0,0
22800.0,+1.621094,0.004551,0,0
22860.0,+1.616076,0.004562,0,0
22920.0,+1.609487,0.004520,0,0
22980.0,+1.604921,0.004520,0,0
23040.0,+1.602631,0.004525,0,0
23100.0,+1.604180,0.004535,0,0
23160.0,+1.602739,0.004546,0,0
23220.0,+1.600033,0.004556,0,0
23280.0,+1.598199,0.004566,0,0
23340.0,+1.598657,0.004575,0,0
23400.0,+1.596049,0.004583,0,0
23460.0,+1.595195,0.004592,0,0
23520.0,+1.591972,0.004600,0,0
23580.0,+1.590343,0.004607,0,0
23640.0,+1.589815,0.004614,0,0
23700.0,+1.597523,0.004488,0,0
23760.0,+1.600786,0.004456,0,0
23820.0,+1.602100,0.004446,0,0
23880.0,+1.605380,0.004448,0,0
23940.0,+1.606650,0.004446,0,0
24000.0,+1.609119,0.004437,0,0
24060.0,+1.611156,0.004442,0,0
24120.0,+1.609710,0.004449,0,0
24180.0,+1.606815,0.004457,0,0
24240.0,+1.606896,0.004333,0,0
24300.0,+1.602082,0.004287,0,0
24360.0,+1.598917,0.004267,0,0
24420.0,+1.603618,0.004271,0,0
24480.0,+1.602576,0.004284,0,0
24540.0,+1.600151,0.004290,0,0
24600.0,+1.598022,0.004296,0,0
24660.0,+1.598929,0.004307,0,0
24720.0,+1.600258,0.004320,0,0
24780.0,+1.600835,0.004337,0,0
24840.0,+1.600202,0.004272,0,0
24900.0,+1.599696,0.004272,0,0
24960.0,+1.602325,0.004279,0,0
25020.0,+1.603551,0.004281,0,0
25080.0,+1.604227,0.004288,0,0
25140.0,+1.604014,0.004298,0,0
25200.0,+1.605496,0.004283,0,0
25260.0,+1.602935,0.004289,0,0
25320.0,+1.607505,0.004293,0,0
25380.0,+1.607126,0.004303,0,0
25440.0,+1.607733,0.004273,0,0
25500.0,+1.608491,0.004271,0,0
25560.0,+1.607566,0.004183,0,0
25620.0,+1.609619,0.004165,0,0
25680.0,+1.608870,0.004164,0,0
25740.0,+1.607438,0.004174,0,0
25800.0,+1.606919,0.004162,0,0
25860.0,+1.603851,0.004169,0,0
25920.0,+1.605147,0.004182,0,0
25980.0,+1.607533,0.004199,0,0
26040.0,+1.606100,0.004207,0,0
26100.0,+1.604012,0.004223,0,0
26160.0,+1.602874,0.004241,0,0
26220.0,+1.599784,0.004255,0,0
26280.0,+1.598959,0.004260,0,0
26340.0,+1.599507,0.004268,0,0
26400.0,+1.598447,0.004280,0,0
26460.0,+1.594745,0.004286,0,0
26520.0,+1.595321,0.004295,0,0
26580.0,+1.599832,0.004304,0,0
26640.0,+1.604723,0.004300,0,0
26700.0,+1.601358,0.004305,0,0
26760.0,+1.602366,0.004311,0,0
26820.0,+1.599734,0.004331,0,0
26880.0,+1.602783,0.004303,0,0
26940.0,+1.604883,0.004301,0,0
27000.0,+1.602425,0.004310,0,0
27060.0,+1.605016,0.004315,0,0
27120.0,+1.605923,0.004330,0,0
27180.0,+1.607497,0.004344,0,0
27240.0,+1.609048,0.004360,0,0
27300.0,+1.611470,0.004376,0,0
27360.0,+1.610885,0.004285,0,0
27420.0,+1.610163,0.004278,0,0
27480.0,+1.611729,0.004265,0,0
27540.0,+1.609805,0.004279,0,0
27600.0,+1.611137,0.004290,0,0
27660.0,+1.612389,0.004301,0,0
27720.0,+1.615450,0.004315,0,0
27780.0,+1.615879,0.004321,0,0
27840.0,+1.617156,0.004320,0,0
27900.0,+1.617928,0.004329,0,0
27960.0,+1.620856,0.004346,0,0
28020.0,+1.618923,0.004357,0,0
28080.0,+1.622964,0.004368,0,0
28140.0,+1.621737,0.004380,0,0
28200.0,+1.622867,0.004386,0,0
28260.0,+1.621835,0.004397,0,0
28320.0,+1.619982,0.004405,0,0
28380.0,+1.625421,0.004391,0,0
28440.0,+1.626459,0.004394,0,0
28500.0,+1.628162,0.004386,0,0
28560.0,+1.627135,0.004388,0,0
28620.0,+1.629428,0.004312,0,0
28680.0,+1.628567,0.004298,0,0
28740.0,+1.630302,0.004291,0,0
28800.0,+1.633476,0.004297,0,0
28860.0,+1.637743,0.004298,0,0
28920.0,+1.636292,0.004301,0,0
28980.0,+1.639837,0.004306,0,0
29040.0,+1.639534,0.004276,0,0
29100.0,+1.640276,0.004258,0,0
29160.0,+1.643486,0.004233,0,0
29220.0,+1.642781,0.004221,0,0
29280.0,+1.636944,0.004112,0,0
29340.0,+1.638318,0.004071,0,0
29400.0,+1.642372,0.004054,0,0
29460.0,+1.638980,0.004037,0,0
29520.0,+1.637441,0.003910,0,0
29580.0,+1.631447,0.003879,0,0
29640.0,+1.627433,0.003878,0,0
29700.0,+1.629869,0.003879,0,0
29760.0,+1.625835,0.003815,0,0
29820.0,+1.626265,0.003804,0,0
29880.0,+1.624644,0.003797,0,0
29940.0,+1.621412,0.003803,0,0
30000.0,+1.621529,0.003816,0,0
30060.0,+1.618615,0.003714,0,0
30120.0,+1.621649,0.003705,0,0
30180.0,+1.619874,0.003699,0,0
30240.0,+1.616803,0.003687,0,0
30300.0,+1.615929,0.003655,0,0
30360.0,+1.616826,0.003639,0,0
30420.0,+1.614977,0.003643,0,0
30480.0,+1.616174,0.003656,0,0
30540.0,+1.618243,0.003671,0,0
30600.0,+1.618727,0.003687,0,0
30660.0,+1.617029,0.003703,0,0
30720.0,+1.616739,0.003682,0,0
30780.0,+1.618362,0.003691,0,0
30840.0,+1.621550,0.003703,0,0
30900.0,+1.619167,0.003700,0,0
30960.0,+1.614964,0.003643,0,0
31020.0,+1.615861,0.003651,0,0
